X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
4.3404,13.0328,4.3404,3.7203,4.3404,15.9665,4.3404,4.9569,4.3404,4.9064
4.4092,10.2767,4.4092,3.1477,4.4092,17.2867,4.4092,4.8308,4.4092,4.9790
4.4781,7.9066,4.4781,3.7543,4.4781,15.9760,4.4781,4.7685,4.4781,3.5529
4.5470,4.8040,4.5470,4.0867,4.5470,12.0626,4.5470,4.4624,4.5470,3.2794
4.6159,3.7298,4.6159,4.0477,4.6159,9.5133,4.6159,3.7192,4.6159,3.9451
4.6848,3.2085,4.6848,3.4665,4.6848,8.1362,4.6848,3.7402,4.6848,4.1001
4.7537,3.2618,4.7537,3.2649,4.7537,7.1368,4.7537,4.0260,4.7537,4.0798
4.8226,2.7945,4.8226,2.3928,4.8226,5.4523,4.8226,4.4728,4.8226,4.7463
4.8915,2.5521,4.8915,2.4979,4.8915,4.0927,4.8915,5.8076,4.8915,5.7951
4.9604,2.4584,4.9604,2.9129,4.9604,3.3616,4.9604,8.6826,4.9604,6.0224
5.0293,2.1253,5.0293,3.4820,5.0293,2.3175,5.0293,8.5220,5.0293,5.4289
5.0982,1.7375,5.0982,3.1172,5.0982,1.9264,5.0982,7.7572,5.0982,5.8826
5.1671,1.8719,5.1671,3.3127,5.1671,2.4455,5.1671,7.3312,5.1671,6.0586
5.2360,1.8071,5.2360,3.9301,5.2360,2.7736,5.2360,5.2738,5.2360,3.3974
5.3049,2.3536,5.3049,3.9544,5.3049,3.4810,5.3049,4.5127,5.3049,3.4065
5.3738,2.2005,5.3738,3.7764,5.3738,2.4269,5.3738,3.8635,5.3738,3.5017
5.4427,1.6961,5.4427,3.9185,5.4427,2.8480,5.4427,2.9589,5.4427,2.9553
5.5116,1.6978,5.5116,5.0169,5.5116,3.6301,5.5116,2.5202,5.5116,2.6480
5.5805,1.3583,5.5805,4.1796,5.5805,3.8346,5.5805,2.3737,5.5805,3.3631
5.6493,1.8831,5.6493,4.9019,5.6493,4.1167,5.6493,2.9926,5.6493,3.4749
5.7182,1.9964,5.7182,4.9170,5.7182,4.1711,5.7182,2.7299,5.7182,3.1137
5.7871,2.2772,5.7871,4.9185,5.7871,4.8548,5.7871,2.4728,5.7871,3.2092
5.8560,1.9797,5.8560,4.1690,5.8560,4.3023,5.8560,2.8667,5.8560,2.9318
5.9249,1.7511,5.9249,3.4072,5.9249,5.3784,5.9249,2.4225,5.9249,2.9819
5.9938,1.8403,5.9938,2.5092,5.9938,5.6239,5.9938,2.7324,5.9938,1.7435
6.0627,2.0881,6.0627,1.8102,6.0627,6.1201,6.0627,3.9061,6.0627,2.4365
6.1316,1.9624,6.1316,2.5565,6.1316,6.1548,6.1316,4.9957,6.1316,3.4218
6.2005,1.8368,6.2005,2.3198,6.2005,6.9205,6.2005,4.8692,6.2005,5.0971
6.2694,1.2163,6.2694,2.3294,6.2694,6.2244,6.2694,5.5374,6.2694,4.7352
6.3383,1.6316,6.3383,1.5008,6.3383,4.5561,6.3383,6.2268,6.3383,5.6353
6.4072,1.2491,6.4072,1.7139,6.4072,3.1734,6.4072,5.4641,6.4072,6.0035
6.4761,1.8898,6.4761,2.4429,6.4761,1.7557,6.4761,4.2815,6.4761,6.4308
6.5450,2.5452,6.5450,2.1017,6.5450,1.6897,6.5450,3.5585,6.5450,7.0638
6.6139,2.0841,6.6139,3.0633,6.6139,2.4046,6.6139,2.8068,6.6139,6.2618
6.6828,2.6875,6.6828,3.9511,6.6828,1.3776,6.6828,2.2730,6.6828,5.3534
6.7517,3.5913,6.7517,4.3324,6.7517,1.9279,6.7517,2.6731,6.7517,4.8051
6.8206,3.3204,6.8206,4.9980,6.8206,2.0445,6.8206,2.2601,6.8206,3.2376
6.8895,2.8585,6.8895,6.2797,6.8895,2.6223,6.8895,2.4893,6.8895,4.4115
6.9583,2.1236,6.9583,7.0209,6.9583,2.6817,6.9583,2.4506,6.9583,3.3628
7.0272,2.4629,7.0272,6.7434,7.0272,3.4398,7.0272,3.3978,7.0272,4.8698
7.0961,2.3789,7.0961,6.7172,7.0961,3.7371,7.0961,4.1353,7.0961,5.4393
7.1650,2.5923,7.1650,6.6435,7.1650,2.1095,7.1650,3.5699,7.1650,5.0984
7.2339,2.4613,7.2339,5.5118,7.2339,1.5619,7.2339,4.0871,7.2339,5.9904
7.3028,2.5915,7.3028,4.7690,7.3028,2.5220,7.3028,3.1070,7.3028,6.7230
7.3717,2.2877,7.3717,4.0039,7.3717,2.8313,7.3717,2.9210,7.3717,6.2459
