X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
4.4092,12.4424,4.4092,3.8786,4.4092,20.1432,4.4092,1.5121,4.4092,16.372
4.4781,14.6015,4.4781,3.0562,4.4781,18.8147,4.4781,1.8750,4.4781,17.883
4.5470,14.7752,4.5470,3.3158,4.5470,15.1713,4.5470,4.0041,4.5470,20.506
4.6159,10.7918,4.6159,5.0564,4.6159,11.6522,4.6159,5.8223,4.6159,19.402
4.6848,6.5240,4.6848,7.0049,4.6848,7.3976,4.6848,8.4464,4.6848,17.078
4.7537,5.0148,4.7537,8.3251,4.7537,8.7468,4.7537,14.0931,4.7537,16.060
4.8226,4.1733,4.8226,15.8884,4.8226,10.6073,4.8226,24.1609,4.8226,12.569
4.8915,4.3597,4.8915,20.9339,4.8915,9.6424,4.8915,37.1521,4.8915,15.914
4.9604,2.6849,4.9604,21.1727,4.9604,7.5072,4.9604,42.7813,4.9604,19.475
5.0293,2.2300,5.0293,16.7669,5.0293,5.5095,5.0293,35.7624,5.0293,16.294
5.0982,2.6276,5.0982,10.4081,5.0982,9.2982,5.0982,21.8575,5.0982,10.092
5.1671,3.3540,5.1671,8.2369,5.1671,13.8076,5.1671,12.1691,5.1671,6.267
5.2360,3.8223,5.2360,8.8547,5.2360,20.2684,5.2360,13.9118,5.2360,5.465
5.3049,4.7265,5.3049,8.8494,5.3049,23.8710,5.3049,14.6163,5.3049,5.575
5.3738,3.4880,5.3738,11.4382,5.3738,17.9949,5.3738,16.5538,5.3738,6.998
5.4427,2.4354,5.4427,8.5170,5.4427,10.9358,5.4427,16.9037,5.4427,9.199
5.5116,2.5316,5.5116,8.0361,5.5116,6.0829,5.5116,16.8933,5.5116,14.298
5.5805,2.6027,5.5805,7.0513,5.5805,6.9591,5.5805,16.8306,5.5805,20.698
5.6493,2.8116,5.6493,6.0740,5.6493,9.0887,5.6493,16.2804,5.6493,26.774
5.7182,2.6972,5.7182,6.0872,5.7182,10.4035,5.7182,23.4331,5.7182,25.762
5.7871,1.7748,5.7871,5.5080,5.7871,9.3607,5.7871,33.0832,5.7871,15.841
5.8560,2.7521,5.8560,6.0534,5.8560,10.8861,5.8560,34.8784,5.8560,7.984
5.9249,6.8098,5.9249,4.8147,5.9249,10.8722,5.9249,32.7139,5.9249,5.275
5.9938,7.3389,5.9938,6.1233,5.9938,9.7746,5.9938,19.8859,5.9938,3.071
6.0627,12.8291,6.0627,6.4394,6.0627,7.3718,6.0627,12.2604,6.0627,2.385
6.1316,13.5112,6.1316,7.4618,6.1316,4.6281,6.1316,9.0078,6.1316,4.589
6.2005,14.4364,6.2005,7.7397,6.2005,6.3787,6.2005,6.3112,6.2005,4.348
6.2694,23.7459,6.2694,6.8015,6.2694,9.8838,6.2694,6.0636,6.2694,5.647
6.3383,35.5919,6.3383,9.7612,6.3383,11.8344,6.3383,6.3397,6.3383,4.955
6.4072,38.5692,6.4072,12.1532,6.4072,16.7213,6.4072,6.9167,6.4072,3.904
6.4761,32.0629,6.4761,16.5098,6.4761,22.3692,6.4761,3.8230,6.4761,3.313
6.5450,18.6997,6.5450,15.6102,6.5450,24.5090,6.5450,3.5294,6.5450,3.311
6.6139,10.9667,6.6139,28.1339,6.6139,23.4784,6.6139,2.2176,6.6139,3.000
6.6828,6.6671,6.6828,44.7838,6.6828,17.4023,6.6828,1.6982,6.6828,2.591
6.7517,11.1961,6.7517,69.4884,6.7517,15.0550,6.7517,1.8240,6.7517,2.783
6.8206,17.9622,6.8206,80.1620,6.8206,19.1578,6.8206,2.1446,6.8206,3.381
6.8895,16.2687,6.8895,73.9398,6.8895,20.2473,6.8895,0.8551,6.8895,3.203
6.9583,10.4437,6.9583,52.9276,6.9583,19.2443,6.9583,1.1747,6.9583,4.762
7.0272,7.4893,7.0272,32.1914,7.0272,19.4587,7.0272,1.5679,7.0272,8.442
7.0961,5.3193,7.0961,30.9531,7.0961,19.6104,7.0961,1.4468,7.0961,18.519
