X0,Y0,X1,Y1,X2,Y2,X3,Y3
5.4427,33.7931,5.4427,3.8164,5.4427,3.7769,5.4427,8.4730
5.5116,36.0511,5.5116,2.7277,5.5116,4.0560,5.5116,11.2730
5.5805,36.8745,5.5805,5.6420,5.5805,3.0537,5.5805,11.0642
5.6493,30.3408,5.6493,9.6420,5.6493,5.1037,5.6493,11.5583
5.7182,24.8180,5.7182,15.4561,5.7182,14.4820,5.7182,9.7734
5.7871,24.7742,5.7871,15.9593,5.7871,27.1091,5.7871,6.0833
5.8560,24.7355,5.8560,10.0972,5.8560,36.3948,5.8560,6.1253
5.9249,30.0093,5.9249,3.5574,5.9249,30.9898,5.9249,7.7223
5.9938,31.8900,5.9938,2.5712,5.9938,17.3381,5.9938,8.2191
6.0627,29.2876,6.0627,4.1619,6.0627,7.0488,6.0627,9.3548
6.1316,22.4591,6.1316,4.6147,6.1316,4.7410,6.1316,10.3010
6.2005,16.7494,6.2005,4.9609,6.2005,4.0940,6.2005,11.9708
6.2694,18.8761,6.2694,6.5186,6.2694,4.7530,6.2694,11.6428
6.3383,18.1551,6.3383,9.3831,6.3383,8.7095,6.3383,6.3513
6.4072,15.7504,6.4072,9.7763,6.4072,13.5831,6.4072,3.7983
6.4761,11.1789,6.4761,10.2499,6.4761,18.2187,6.4761,3.1174
6.5450,9.6176,6.5450,13.8822,6.5450,16.4365,6.5450,2.5676
6.6139,8.1178,6.6139,15.7531,6.6139,12.6583,6.6139,3.5355
6.6828,6.9215,6.6828,12.4717,6.6828,8.6278,6.6828,4.1080
6.7517,3.9729,6.7517,10.6896,6.7517,6.4277,6.7517,2.8824
6.8206,2.7283,6.8206,7.4856,6.8206,3.5183,6.8206,2.1725
6.8895,2.4251,6.8895,4.6746,6.8895,2.6108,6.8895,2.1430
6.9583,2.0608,6.9583,3.6757,6.9583,2.8495,6.9583,2.1129
7.0272,1.3035,7.0272,3.3094,7.0272,3.9432,7.0272,2.0714
7.0961,1.5278,7.0961,4.5594,7.0961,4.9924,7.0961,3.0923
7.1650,2.8661,7.1650,5.4215,7.1650,6.5641,7.1650,4.8563
7.2339,3.2702,7.2339,6.4663,7.2339,6.1941,7.2339,7.9695
7.3028,4.8210,7.3028,7.1030,7.3028,4.8650,7.3028,8.6395
7.3717,6.7010,7.3717,6.4325,7.3717,5.4977,7.3717,8.3603
7.4406,7.7323,7.4406,5.7396,7.4406,9.4717,7.4406,9.2413
7.5095,10.4054,7.5095,7.1293,7.5095,9.1262,7.5095,12.9673
7.5784,11.0689,7.5784,9.0313,7.5784,12.0492,7.5784,15.8251
7.6473,13.9394,7.6473,8.7507,7.6473,14.6423,7.6473,18.7765
7.7162,15.9252,7.7162,7.8704,7.7162,13.4886,7.7162,15.8353
7.7851,15.5687,7.7851,5.5702,7.7851,9.6995,7.7851,17.9668
7.8540,12.2559,7.8540,4.4698,7.8540,7.1891,7.8540,26.6219
7.9229,9.2924,7.9229,5.8860,7.9229,5.2849,7.9229,31.6356
7.9918,7.1568,7.9918,9.5901,7.9918,4.6498,7.9918,28.1832
8.0607,5.1183,8.0607,14.7706,8.0607,6.7614,8.0607,13.9584
8.1296,5.2075,8.1296,17.3588,8.1296,7.5521,8.1296,7.6521
8.1984,5.6073,8.1984,18.2019,8.1984,8.3632,8.1984,5.0556
8.2673,3.7943,8.2673,22.2611,8.2673,11.7367,8.2673,3.8740
8.3362,2.4416,8.3362,21.6511,8.3362,13.5139,8.3362,3.0201
8.4051,1.2368,8.4051,20.2881,8.4051,14.4773,8.4051,2.4078
8.4740,1.6478,8.4740,15.0100,8.4740,11.4273,8.4740,2.1877
8.5429,1.3378,8.5429,10.8604,8.5429,7.9831,8.5429,3.7063
8.6118,1.1189,8.6118,6.2687,8.6118,7.3650,8.6118,4.3703
8.6807,1.8658,8.6807,7.0139,8.6807,5.0415,8.6807,5.5092
8.7496,1.4308,8.7496,7.1298,8.7496,7.3271,8.7496,5.5567
8.8185,1.1755,8.8185,7.9640,8.8185,11.7031,8.8185,4.5775
8.8874,1.2246,8.8874,4.1166,8.8874,16.7889,8.8874,3.2912
8.9563,0.9856,8.9563,3.9095,8.9563,21.8276,8.9563,4.2577
9.0252,0.9490,9.0252,2.9654,9.0252,18.3202,9.0252,4.8304
9.0941,1.7860,9.0941,2.2168,9.0941,11.7615,9.0941,6.2290
9.1630,1.7519,9.1630,2.2522,9.1630,5.4562,9.1630,7.9123
