X0,Y0,X1,Y1,X2,Y2
7.510,1.10258,7.5095,2.74809,7.5095,1.59963
7.578,1.52855,7.5784,2.37971,7.5784,1.74026
7.647,0.79117,7.6473,2.78195,7.6473,1.53794
7.716,0.49849,7.7162,3.14125,7.7162,2.00293
7.785,1.04017,7.7851,2.95935,7.7851,1.80946
7.854,1.07629,7.8540,3.19401,7.8540,2.41175
7.923,0.72704,7.9229,3.32594,7.9229,1.72916
7.992,1.33770,7.9918,2.15497,7.9918,2.15512
8.061,1.38175,8.0607,2.06890,8.0607,2.47429
8.130,0.94235,8.1296,2.40739,8.1296,2.47995
8.198,0.92197,8.1984,3.35982,8.1984,2.26696
8.267,1.21745,8.2673,2.30318,8.2673,2.84806
8.336,1.15514,8.3362,2.17006,8.3362,2.39723
8.405,1.08153,8.4051,2.45183,8.4051,1.83574
8.474,1.37809,8.4740,3.50486,8.4740,1.83375
8.543,1.91784,8.5429,4.07926,8.5429,1.77276
8.612,1.79331,8.6118,3.78923,8.6118,2.23308
8.681,1.37595,8.6807,3.59863,8.6807,0.80702
8.750,1.45646,8.7496,3.93489,8.7496,1.11014
8.818,1.74880,8.8185,3.80123,8.8185,1.09341
8.887,0.87776,8.8874,3.92244,8.8874,0.51411
8.956,0.70580,8.9563,4.23915,8.9563,0.76782
9.025,0.37400,9.0252,4.32425,9.0252,0.73571
9.094,0.99228,9.0941,3.88683,9.0941,0.88068
9.163,0.70041,9.1630,3.46995,9.1630,0.77502
9.232,1.11579,9.2319,2.75579,9.2319,1.48915
9.301,0.80826,9.3008,2.23859,9.3008,1.83870
9.370,0.53615,9.3697,2.12498,9.3697,2.36001
9.439,0.53850,9.4385,2.14941,9.4385,2.69260
9.507,0.73909,9.5074,2.07104,9.5074,3.19066
9.576,0.85939,9.5763,2.29535,9.5763,3.75391
9.645,0.63073,9.6452,2.21880,9.6452,2.71702
9.714,0.54544,9.7141,2.18066,9.7141,2.24830
9.783,0.82572,9.7830,2.01855,9.7830,1.63575
9.852,1.68539,9.8519,1.52723,9.8519,2.10211
9.921,2.28984,9.9208,1.87478,9.9208,1.67397
9.990,2.06038,9.9897,0.81910,9.9897,1.59566
10.059,2.07004,10.0586,1.11497,10.0586,2.48971
10.127,2.25641,10.1275,1.36815,10.1275,2.50289
10.196,1.34891,10.1964,1.65294,10.1964,1.93569
10.265,1.77942,10.2653,1.71383,10.2653,1.45140
10.334,1.84736,10.3342,1.57552,10.3342,0.75994
10.403,3.25205,10.4031,0.99865,10.4031,1.17389
10.472,3.86933,10.4720,0.82313,10.4720,0.80522
10.541,3.20963,10.5409,0.82511,10.5409,0.89776
10.610,4.37429,10.6098,1.22041,10.6098,1.25880
10.679,3.85989,10.6786,1.24734,10.6786,0.78427
10.748,3.69040,10.7475,0.89501,10.7475,1.03553
10.816,3.36741,10.8164,1.50080,10.8164,0.89070
10.885,2.55149,10.8853,1.73404,10.8853,0.76228
10.954,2.70752,10.9542,1.61235,10.9542,0.39820
11.023,2.88921,11.0231,2.25950,11.0231,1.04477
11.092,1.93433,11.0920,2.77850,11.0920,1.04838
11.161,1.93122,11.1609,3.54385,11.1609,0.64359
11.230,2.72009,11.2298,3.34049,11.2298,0.95175
11.299,3.51782,11.2987,2.59972,11.2987,1.37601
11.368,3.39445,11.3676,1.56003,11.3676,1.38348
11.436,2.41194,11.4365,1.76418,11.4365,1.69788
11.505,2.22572,11.5054,2.09751,11.5054,1.70019
11.574,1.80534,11.5743,2.46981,11.5743,1.96487
11.643,1.57032,11.6432,2.42805,11.6432,1.57801
11.712,1.47287,11.7121,1.59267,11.7121,1.09853
11.781,1.59991,11.7810,1.38070,11.7810,0.75831
11.850,1.57535,11.8499,1.84641,11.8499,0.57488
11.919,1.87201,11.9187,1.64624,11.9187,0.71791
11.988,1.40289,11.9876,1.16932,11.9876,0.61661
12.057,1.67468,12.0565,1.30962,12.0565,0.99127
12.125,1.93333,12.1254,1.28913,12.1254,0.85288
12.194,2.10839,12.1943,1.56509,12.1943,0.87004
12.263,2.82235,12.2632,2.16182,12.2632,0.78447
12.332,2.65944,12.3321,3.14444,12.3321,1.15561
12.401,2.61089,12.4010,2.49620,12.4010,1.20394
12.470,2.29198,12.4699,3.13656,12.4699,0.56313
12.539,2.79795,12.5388,3.01037,12.5388,1.24439
12.608,1.65849,12.6077,2.36471,12.6077,1.07343
12.677,1.49738,12.6766,2.23695,12.6766,0.54723
12.745,1.08931,12.7455,2.49748,12.7455,0.61371
12.814,1.56613,12.8144,2.72409,12.8144,0.57196
12.883,1.21264,12.8833,2.91878,12.8833,0.75126
12.952,1.34749,12.9522,3.21618,12.9522,0.54296
13.021,1.51846,13.0211,3.76134,13.0211,1.37014
13.090,2.50495,13.0900,2.61239,13.0900,1.05234
13.159,2.29994,13.1588,2.17055,13.1588,1.21640
13.228,1.97632,13.2277,2.32202,13.2277,1.32074
13.297,1.17085,13.2966,1.45109,13.2966,1.32096
13.366,1.07822,13.3655,2.11449,13.3655,0.74226
13.434,1.53081,13.4344,1.61940,13.4344,0.93219
13.503,3.01103,13.5033,1.61062,13.5033,0.61322
13.572,3.17964,13.5722,1.86439,13.5722,1.26519
13.641,2.50384,13.6411,1.42528,13.6411,0.86915
13.710,2.01012,13.7100,1.13433,13.7100,1.14342
13.779,1.60963,13.7789,1.26672,13.7789,0.80255
13.848,1.20953,13.8478,1.00660,13.8478,0.46919
13.917,1.12201,13.9167,1.35929,13.9167,1.04419
13.986,1.21522,13.9856,1.91988,13.9856,1.13417
14.054,1.12982,14.0545,1.59264,14.0545,1.15763
14.123,0.90673,14.1234,1.73020,14.1234,1.05757
14.192,1.59639,14.1923,1.78375,14.1923,1.37936
14.261,1.37191,14.2612,0.99064,14.2612,1.40546
14.330,1.45900,14.3301,0.70135,14.3301,1.30558
14.399,1.35902,14.3990,1.33485,14.3990,1.67171
14.468,1.16632,14.4678,1.85358,14.4678,1.82705
14.537,0.65604,14.5367,1.63364,14.5367,3.32205
