X0,Y0,X1,Y1,X2,Y2
7.510,3.7822,7.5095,13.1904,7.5095,2.4959
7.578,2.7722,7.5784,12.5350,7.5784,3.7857
7.647,2.2877,7.6473,10.0287,7.6473,5.5088
7.716,2.5072,7.7162,9.3839,7.7162,4.9508
7.785,1.6089,7.7851,7.9834,7.7851,6.5893
7.854,1.6177,7.8540,6.6186,7.8540,6.2626
7.923,1.6492,7.9229,8.6596,7.9229,7.3281
7.992,2.3539,7.9918,11.2725,7.9918,8.7769
8.061,4.2655,8.0607,11.2800,8.0607,8.6736
8.130,4.1519,8.1296,10.6308,8.1296,7.9802
8.198,5.5935,8.1984,10.6307,8.1984,8.0818
8.267,5.4426,8.2673,11.6035,8.2673,7.9250
8.336,1.8533,8.3362,11.8193,8.3362,7.6593
8.405,0.9829,8.4051,12.9170,8.4051,5.7620
8.474,0.7062,8.4740,10.0440,8.4740,5.1573
8.543,1.8989,8.5429,11.3270,8.5429,3.2342
8.612,2.6601,8.6118,12.4327,8.6118,4.0377
8.681,3.6563,8.6807,11.0992,8.6807,2.6245
8.750,1.7238,8.7496,13.3564,8.7496,1.4830
8.818,1.5956,8.8185,17.5806,8.8185,1.5795
8.887,1.2607,8.8874,22.8858,8.8874,1.4895
8.956,0.9215,8.9563,26.5184,8.9563,1.5322
9.025,2.0881,9.0252,28.5975,9.0252,1.8081
9.094,2.4629,9.0941,27.9223,9.0941,2.5149
9.163,3.4358,9.1630,24.5494,9.1630,3.2958
9.232,3.2626,9.2319,21.5860,9.2319,4.7594
9.301,3.0599,9.3008,15.9353,9.3008,6.8041
9.370,1.7546,9.3697,11.4599,9.3697,14.2490
9.439,2.2141,9.4385,9.9421,9.4385,21.8899
9.507,3.1286,9.5074,6.0111,9.5074,29.5330
9.576,3.4920,9.5763,6.0231,9.5763,27.1233
9.645,1.4510,9.6452,4.4022,9.6452,19.8634
9.714,1.5074,9.7141,4.8892,9.7141,11.5843
9.783,2.3694,9.7830,3.0622,9.7830,7.1083
9.852,3.2125,9.8519,2.1924,9.8519,5.6728
9.921,1.9649,9.9208,1.8587,9.9208,5.2941
9.990,3.9706,9.9897,4.0902,9.9897,4.1984
10.059,5.2598,10.0586,5.2271,10.0586,3.8998
10.127,8.1887,10.1275,6.1821,10.1275,4.4995
10.196,8.7679,10.1964,6.3052,10.1964,2.3936
10.265,11.0990,10.2653,4.1024,10.2653,1.9159
10.334,12.3608,10.3342,2.2428,10.3342,2.5296
10.403,13.5012,10.4031,2.0299,10.4031,2.4760
10.472,18.5821,10.4720,1.6927,10.4720,3.1876
10.541,20.1573,10.5409,2.3741,10.5409,2.3159
10.610,24.7091,10.6098,3.6093,10.6098,1.7036
10.679,28.2969,10.6786,5.9721,10.6786,1.9969
10.748,21.5258,10.7475,9.2686,10.7475,1.3681
10.816,17.0234,10.8164,10.9074,10.8164,2.4146
10.885,13.6277,10.8853,13.8495,10.8853,1.5329
10.954,10.2471,10.9542,18.1315,10.9542,1.6669
11.023,7.3291,11.0231,23.3579,11.0231,1.3529
11.092,6.7203,11.0920,25.0628,11.0920,1.0497
11.161,10.7710,11.1609,22.9367,11.1609,1.5999
11.230,19.4396,11.2298,17.6000,11.2298,0.4148
11.299,23.9972,11.2987,8.8479,11.2987,0.8516
11.368,23.5106,11.3676,6.0345,11.3676,1.4397
11.436,19.8602,11.4365,5.2785,11.4365,1.3218
11.505,15.4798,11.5054,7.6643,11.5054,2.7106
11.574,10.3900,11.5743,8.3916,11.5743,4.2804
11.643,7.6991,11.6432,7.4689,11.6432,5.3828
11.712,6.7378,11.7121,9.0048,11.7121,4.3368
11.781,7.6513,11.7810,13.4175,11.7810,2.6207
11.850,8.5452,11.8499,15.5340,11.8499,1.9030
11.919,9.1340,11.9187,16.3576,11.9187,1.3568
11.988,9.0188,11.9876,13.4756,11.9876,1.3190
12.057,9.8469,12.0565,10.6151,12.0565,1.2140
12.125,11.9382,12.1254,14.9134,12.1254,0.9737
