Distance_(microns),Value,X1,Y1,X2,Y2
7.2339,2.5928,7.2339,1.6692,7.2339,2.7965
7.3028,2.9945,7.3028,1.4220,7.3028,3.6014
7.3717,3.7061,7.3717,1.2078,7.3717,3.4901
7.4406,3.5818,7.4406,1.0657,7.4406,3.0186
7.5095,2.4712,7.5095,1.2579,7.5095,2.6781
7.5784,2.5399,7.5784,2.1199,7.5784,1.3390
7.6473,2.1914,7.6473,1.3669,7.6473,1.5703
7.7162,1.5227,7.7162,2.1723,7.7162,0.7461
7.7851,1.5526,7.7851,3.4058,7.7851,0.9661
7.8540,1.9416,7.8540,5.1868,7.8540,1.1150
7.9229,2.1973,7.9229,5.0386,7.9229,1.4904
7.9918,1.8753,7.9918,5.3492,7.9918,2.8368
8.0607,2.1294,8.0607,4.1662,8.0607,3.2628
8.1296,1.6549,8.1296,3.4668,8.1296,3.2274
8.1984,1.8063,8.1984,2.3156,8.1984,3.6240
8.2673,2.1315,8.2673,2.6671,8.2673,4.6250
8.3362,3.3974,8.3362,2.5145,8.3362,3.6962
8.4051,3.4657,8.4051,2.9659,8.4051,3.2252
8.4740,2.8050,8.4740,2.8148,8.4740,3.4246
8.5429,2.4689,8.5429,2.5859,8.5429,2.8219
8.6118,2.0534,8.6118,1.8113,8.6118,2.8719
8.6807,1.8862,8.6807,1.5664,8.6807,2.6657
8.7496,1.8009,8.7496,2.5084,8.7496,1.9852
8.8185,1.3444,8.8185,2.3154,8.8185,3.1516
8.8874,0.8587,8.8874,1.5290,8.8874,4.6496
8.9563,1.0017,8.9563,1.2505,8.9563,3.5675
9.0252,1.5328,9.0252,1.4807,9.0252,3.2623
9.0941,1.0846,9.0941,2.0181,9.0941,2.3653
9.1630,0.7946,9.1630,1.8897,9.1630,1.7860
9.2319,1.9661,9.2319,2.4266,9.2319,1.2468
9.3008,2.1670,9.3008,2.5955,9.3008,2.0520
9.3697,1.6639,9.3697,3.0898,9.3697,2.0357
9.4385,1.2883,9.4385,4.2511,9.4385,3.1570
9.5074,0.9957,9.5074,4.8270,9.5074,2.6604
9.5763,1.4225,9.5763,3.9757,9.5763,2.1097
9.6452,1.0754,9.6452,2.9961,9.6452,1.8922
9.7141,1.0513,9.7141,3.4322,9.7141,2.3096
9.7830,1.7682,9.7830,4.6612,9.7830,1.9630
9.8519,2.6975,9.8519,4.2400,9.8519,1.6190
9.9208,2.5162,9.9208,4.4589,9.9208,2.2030
9.9897,2.6760,9.9897,3.7653,9.9897,2.4444
10.0586,2.7032,10.0586,4.5258,10.0586,1.9887
10.1275,3.3987,10.1275,3.8018,10.1275,2.3417
10.1964,3.1755,10.1964,2.9304,10.1964,2.3513
10.2653,3.2898,10.2653,1.9576,10.2653,1.8403
10.3342,3.2800,10.3342,2.2789,10.3342,2.5061
10.4031,3.4651,10.4031,1.7533,10.4031,1.4770
10.4720,3.1048,10.4720,1.7099,10.4720,1.3999
10.5409,3.1077,10.5409,1.4368,10.5409,1.5936
10.6098,3.1900,10.6098,1.4680,10.6098,1.1211
10.6786,3.3490,10.6786,1.6837,10.6786,0.7580
10.7475,4.1683,10.7475,1.4438,10.7475,0.8008
10.8164,3.7503,10.8164,0.8629,10.8164,0.7722
10.8853,3.0503,10.8853,0.9670,10.8853,1.1856
10.9542,3.1858,10.9542,0.8922,10.9542,1.3081
11.0231,4.1755,11.0231,0.9806,11.0231,1.3546
11.0920,4.7444,11.0920,1.0340,11.0920,1.4057
11.1609,5.6931,11.1609,1.0779,11.1609,1.3216
11.2298,6.8980,11.2298,1.3119,11.2298,1.1868
11.2987,8.5229,11.2987,1.7122,11.2987,0.8085
11.3676,6.8837,11.3676,1.9552,11.3676,0.5877
11.4365,3.5178,11.4365,2.4779,11.4365,0.8999
11.5054,2.4861,11.5054,3.3031,11.5054,1.1629
11.5743,2.2419,11.5743,4.9075,11.5743,0.9408
11.6432,2.8577,11.6432,6.1372,11.6432,0.7706
11.7121,1.3922,11.7121,5.9083,11.7121,0.6988
11.7810,1.0978,11.7810,6.3220,11.7810,0.9065
11.8499,0.9721,11.8499,5.5130,11.8499,0.9793
