Distance_(microns),Value,X1,Y1,X2,Y2
7.2339,11.1493,7.2339,6.4819,7.2339,2.6709
7.3028,14.8673,7.3028,4.8506,7.3028,3.8474
7.3717,14.9636,7.3717,4.3410,7.3717,5.5965
7.4406,16.7416,7.4406,4.7648,7.4406,6.5825
7.5095,16.0387,7.5095,5.5539,7.5095,7.1301
7.5784,14.3007,7.5784,6.7265,7.5784,7.2171
7.6473,12.9935,7.6473,6.3842,7.6473,7.6009
7.7162,12.6706,7.7162,6.3134,7.7162,8.0269
7.7851,15.0031,7.7851,6.4698,7.7851,8.4572
7.8540,15.4327,7.8540,6.1067,7.8540,10.4333
7.9229,13.1291,7.9229,6.9087,7.9229,12.2195
7.9918,11.9945,7.9918,8.6452,7.9918,16.0169
8.0607,9.2133,8.0607,8.5912,8.0607,19.3377
8.1296,8.4678,8.1296,10.1411,8.1296,19.3228
8.1984,8.6295,8.1984,11.3795,8.1984,21.8346
8.2673,7.0877,8.2673,13.6674,8.2673,20.2226
8.3362,10.9838,8.3362,14.1848,8.3362,21.6875
8.4051,9.7106,8.4051,18.1573,8.4051,21.0187
8.4740,8.2105,8.4740,20.0369,8.4740,18.5375
8.5429,7.4848,8.5429,19.0612,8.5429,15.4257
8.6118,8.4962,8.6118,16.4490,8.6118,13.4873
8.6807,8.5640,8.6807,17.4297,8.6807,14.5385
8.7496,6.4837,8.7496,18.6644,8.7496,13.5380
8.8185,5.3099,8.8185,14.3652,8.8185,10.3738
8.8874,5.2435,8.8874,13.5605,8.8874,10.5850
8.9563,4.9819,8.9563,13.1524,8.9563,8.7426
9.0252,6.7294,9.0252,14.9060,9.0252,8.2235
9.0941,8.0974,9.0941,18.1585,9.0941,7.2834
9.1630,7.2026,9.1630,18.3045,9.1630,9.3806
9.2319,9.3554,9.2319,21.3394,9.2319,9.7890
9.3008,9.0804,9.3008,21.0154,9.3008,10.2420
9.3697,9.8583,9.3697,19.7065,9.3697,13.0298
9.4385,10.5648,9.4385,22.9403,9.4385,10.8030
9.5074,13.7932,9.5074,22.2329,9.5074,9.7119
9.5763,14.6209,9.5763,19.7321,9.5763,5.6966
9.6452,14.5956,9.6452,17.3560,9.6452,6.2314
9.7141,17.2783,9.7141,20.2101,9.7141,6.1614
9.7830,18.5077,9.7830,20.3371,9.7830,5.2371
9.8519,19.2146,9.8519,22.3781,9.8519,3.8686
9.9208,18.9871,9.9208,26.4760,9.9208,4.5662
9.9897,14.5162,9.9897,24.3383,9.9897,4.7475
10.0586,12.9051,10.0586,18.1304,10.0586,7.4891
10.1275,12.8864,10.1275,16.3676,10.1275,8.0913
10.1964,13.9356,10.1964,15.5865,10.1964,7.2595
10.2653,14.4273,10.2653,16.6270,10.2653,7.8106
10.3342,15.4737,10.3342,15.2751,10.3342,7.6344
10.4031,15.9379,10.4031,12.7705,10.4031,8.5097
10.4720,15.8962,10.4720,13.5256,10.4720,9.3006
10.5409,13.8234,10.5409,12.5986,10.5409,10.7435
10.6098,14.3791,10.6098,11.9965,10.6098,10.9492
10.6786,12.6066,10.6786,12.4672,10.6786,12.6567
10.7475,14.7109,10.7475,9.7104,10.7475,16.5709
10.8164,14.5380,10.8164,9.4639,10.8164,15.5866
10.8853,15.1469,10.8853,8.9652,10.8853,17.2782
10.9542,17.3357,10.9542,6.8558,10.9542,14.8096
11.0231,20.3259,11.0231,7.0678,11.0231,12.0136
11.0920,21.1394,11.0920,10.6488,11.0920,12.3527
11.1609,24.8564,11.1609,10.5266,11.1609,9.5129
11.2298,28.2474,11.2298,8.3064,11.2298,7.9745
11.2987,25.7835,11.2987,6.5556,11.2987,7.9738
11.3676,19.2916,11.3676,8.4806,11.3676,5.9435
11.4365,14.1967,11.4365,11.9159,11.4365,5.9509
11.5054,11.0584,11.5054,12.0208,11.5054,7.5076
11.5743,7.2602,11.5743,9.9972,11.5743,8.3909
11.6432,5.6827,11.6432,12.4688,11.6432,8.3324
