Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
5.4427,1.5834,5.4427,2.1275,5.4427,1.7889,5.4427,1.4511
5.5116,1.2205,5.5116,1.8136,5.5116,2.3964,5.5116,1.9458
5.5805,1.8760,5.5805,3.2470,5.5805,2.8812,5.5805,1.3587
5.6493,2.8798,5.6493,3.2878,5.6493,3.2573,5.6493,1.9731
5.7182,2.1744,5.7182,4.4802,5.7182,3.5240,5.7182,1.3233
5.7871,2.1722,5.7871,3.7619,5.7871,3.4951,5.7871,1.5353
5.8560,2.5431,5.8560,4.6636,5.8560,3.4681,5.8560,2.0815
5.9249,3.0307,5.9249,4.3209,5.9249,1.9445,5.9249,2.0098
5.9938,4.7527,5.9938,3.6487,5.9938,2.3130,5.9938,1.5622
6.0627,4.9458,6.0627,3.5554,6.0627,1.8024,6.0627,2.3271
6.1316,5.2447,6.1316,3.9404,6.1316,1.8342,6.1316,3.4112
6.2005,4.0543,6.2005,4.2753,6.2005,1.3553,6.2005,4.3230
6.2694,3.9970,6.2694,4.7941,6.2694,1.5272,6.2694,6.5953
6.3383,2.8689,6.3383,3.4917,6.3383,1.7139,6.3383,7.8170
6.4072,2.4805,6.4072,2.5285,6.4072,0.9631,6.4072,7.2707
6.4761,2.6269,6.4761,1.8503,6.4761,1.1927,6.4761,6.4759
6.5450,2.4647,6.5450,1.9627,6.5450,1.0352,6.5450,5.5012
6.6139,3.1699,6.6139,1.5478,6.6139,0.7503,6.6139,5.0178
6.6828,2.8445,6.6828,1.7966,6.6828,0.5648,6.6828,3.7044
6.7517,2.2309,6.7517,2.2759,6.7517,0.2703,6.7517,3.6246
6.8206,2.1953,6.8206,2.2897,6.8206,0.7015,6.8206,4.2248
6.8894,1.5496,6.8894,3.1394,6.8894,1.1285,6.8894,4.9015
6.9583,0.9368,6.9583,3.6104,6.9583,1.5874,6.9583,5.0108
7.0272,1.1737,7.0272,3.8023,7.0272,1.7751,7.0272,3.9178
7.0961,1.3481,7.0961,4.8446,7.0961,1.0392,7.0961,3.5461
7.1650,1.0071,7.1650,5.5836,7.1650,0.7901,7.1650,3.5004
7.2339,1.3003,7.2339,5.3516,7.2339,1.2266,7.2339,3.0635
7.3028,1.6389,7.3028,4.6036,7.3028,0.9277,7.3028,2.5629
7.3717,1.2076,7.3717,3.9923,7.3717,0.3790,7.3717,2.7067
7.4406,1.2591,7.4406,2.9602,7.4406,0.3073,7.4406,2.0492
7.5095,1.0275,7.5095,2.5962,7.5095,0.5340,7.5095,2.3034
7.5784,1.5292,7.5784,2.0433,7.5784,0.6445,7.5784,1.8977
7.6473,1.6559,7.6473,2.4865,7.6473,0.6800,7.6473,1.7566
7.7162,0.9826,7.7162,2.8873,7.7162,0.9684,7.7162,2.4838
7.7851,0.9507,7.7851,2.3490,7.7851,1.0766,7.7851,2.0156
7.8540,1.3196,7.8540,2.4470,7.8540,0.8249,7.8540,1.8714
7.9229,1.2163,7.9229,1.9118,7.9229,0.7816,7.9229,2.3344
7.9918,0.7901,7.9918,1.3521,7.9918,0.6088,7.9918,2.5342
8.0607,0.5870,8.0607,0.9598,8.0607,0.7525,8.0607,2.8249
8.1296,1.5867,8.1296,0.5910,8.1296,0.7245,8.1296,2.5876
8.1984,1.7392,8.1984,0.7462,8.1984,1.3176,8.1984,2.3944
8.2673,2.5272,8.2673,0.8568,8.2673,0.9911,8.2673,2.5216
8.3362,3.1332,8.3362,1.3905,8.3362,1.1238,8.3362,3.3896
8.4051,3.5592,8.4051,1.7315,8.4051,0.6967,8.4051,2.8845
8.4740,3.7366,8.4740,2.5514,8.4740,1.0962,8.4740,3.4011
8.5429,3.2665,8.5429,4.2214,8.5429,1.2218,8.5429,3.0337
8.6118,2.5063,8.6118,5.5625,8.6118,0.8370,8.6118,2.9075
8.6807,2.3879,8.6807,7.3925,8.6807,1.6311,8.6807,3.1982
8.7496,2.5134,8.7496,7.9000,8.7496,1.7149,8.7496,3.7955
8.8185,2.4968,8.8185,8.7828,8.8185,2.0138,8.8185,3.6824
8.8874,4.3385,8.8874,7.6025,8.8874,3.1710,8.8874,2.5888
8.9563,4.8198,8.9563,6.3553,8.9563,6.0913,8.9563,2.8110
9.0252,4.6721,9.0252,4.4361,9.0252,10.0423,9.0252,2.6305
9.0941,4.4909,9.0941,2.9456,9.0941,11.3665,9.0941,1.7645
9.1630,5.3375,9.1630,1.8411,9.1630,11.4161,9.1630,2.2928
9.2319,4.5635,9.2319,2.3314,9.2319,10.3042,9.2319,2.1213
9.3008,4.4811,9.3008,2.0322,9.3008,8.4310,9.3008,2.1025
9.3697,5.0165,9.3697,1.1233,9.3697,5.7601,9.3697,3.0783
9.4385,5.3352,9.4385,0.9319,9.4385,3.5487,9.4385,2.6542
9.5074,5.2185,9.5074,1.8688,9.5074,2.9455,9.5074,2.3611
9.5763,4.6411,9.5763,1.4096,9.5763,2.4803,9.5763,2.9736
9.6452,3.7699,9.6452,1.1958,9.6452,1.7273,9.6452,3.2203
9.7141,4.0549,9.7141,1.0757,9.7141,1.6914,9.7141,3.3977
9.7830,3.1398,9.7830,0.6280,9.7830,0.8997,9.7830,3.1572
9.8519,2.3112,9.8519,0.4972,9.8519,0.8037,9.8519,3.4557
9.9208,1.9070,9.9208,1.0909,9.9208,0.8947,9.9208,3.0452
9.9897,1.4872,9.9897,1.1657,9.9897,1.2295,9.9897,3.0346
10.0586,1.3844,10.0586,1.2033,10.0586,1.4485,10.0586,2.2554
10.1275,1.4925,10.1275,1.2278,10.1275,1.7226,10.1275,3.2600
10.1964,1.8586,10.1964,0.9950,10.1964,1.9744,10.1964,2.9095
10.2653,1.6054,10.2653,0.8744,10.2653,2.1276,10.2653,2.2177
10.3342,1.5093,10.3342,0.8307,10.3342,1.9906,10.3342,1.9262
10.4031,1.7950,10.4031,0.7456,10.4031,2.6035,10.4031,1.8531
10.4720,2.7561,10.4720,0.9445,10.4720,2.3549,10.4720,1.9007
10.5409,2.8258,10.5409,1.4914,10.5409,1.9825,10.5409,2.5560
10.6098,2.4234,10.6098,1.1883,10.6098,2.2744,10.6098,2.7556
10.6786,2.4999,10.6786,1.1021,10.6786,1.7873,10.6786,3.4862
10.7475,2.3907,10.7475,1.0794,10.7475,1.6191,10.7475,3.6156
10.8164,2.0147,10.8164,1.2574,10.8164,1.6258,10.8164,3.2793
10.8853,2.1187,10.8853,1.4319,10.8853,1.7508,10.8853,2.4591
10.9542,1.8487,10.9542,1.1242,10.9542,1.7980,10.9542,2.5884
11.0231,1.5187,11.0231,0.7759,11.0231,1.4790,11.0231,1.6603
11.0920,1.2077,11.0920,0.7364,11.0920,1.5937,11.0920,1.8060
11.1609,1.5027,11.1609,1.0382,11.1609,1.8330,11.1609,0.8205
11.2298,1.1421,11.2298,1.5918,11.2298,1.6186,11.2298,1.1944
11.2987,2.0266,11.2987,1.3874,11.2987,1.6784,11.2987,0.6868
11.3676,1.8694,11.3676,1.1378,11.3676,1.7327,11.3676,0.6964
11.4365,1.7848,11.4365,1.2845,11.4365,2.0760,11.4365,1.1571
11.5054,2.9926,11.5054,1.2084,11.5054,2.0539,11.5054,0.6786
11.5743,3.3320,11.5743,1.5697,11.5743,2.8934,11.5743,1.7655
11.6432,2.9882,11.6432,1.1618,11.6432,2.4044,11.6432,1.5691
11.7121,2.8822,11.7121,1.3656,11.7121,1.8030,11.7121,1.5103
11.7810,2.4114,11.7810,1.1356,11.7810,2.2203,11.7810,2.2762
11.8499,1.9666,11.8499,1.1253,11.8499,2.2057,11.8499,2.6313
11.9187,1.9299,11.9187,0.9989,11.9187,2.8718,11.9187,3.7708
11.9876,2.4812,11.9876,0.6613,11.9876,2.3060,11.9876,5.9702
12.0565,3.0860,12.0565,0.8291,12.0565,2.4080,12.0565,4.0263
12.1254,2.3278,12.1254,1.0566,12.1254,1.2113,12.1254,3.1913
12.1943,2.7999,12.1943,0.8844,12.1943,1.0230,12.1943,2.7460
12.2632,3.7553,12.2632,1.0623,12.2632,1.1204,12.2632,2.1963
12.3321,3.5925,12.3321,0.8059,12.3321,1.2596,12.3321,2.0493
12.4010,4.9174,12.4010,1.4820,12.4010,1.2168,12.4010,2.7670
12.4699,5.7947,12.4699,1.4244,12.4699,1.8149,12.4699,2.4546
12.5388,5.3398,12.5388,1.0959,12.5388,2.0208,12.5388,1.5227
12.6077,6.1179,12.6077,1.3009,12.6077,1.5380,12.6077,1.1492
12.6766,6.1386,12.6766,2.1249,12.6766,2.1064,12.6766,1.5744
12.7455,7.5229,12.7455,3.1027,12.7455,2.2671,12.7455,1.3370
12.8144,7.8983,12.8144,4.0556,12.8144,2.4975,12.8144,1.1795
12.8833,6.7314,12.8833,6.1167,12.8833,2.1287,12.8833,1.5411
12.9522,6.6176,12.9522,6.3233,12.9522,3.9201,12.9522,1.2013
13.0211,6.4345,13.0211,5.0709,13.0211,4.6259,13.0211,1.6325
13.0900,4.9741,13.0900,3.8608,13.0900,5.0809,13.0900,2.2427
13.1588,4.5676,13.1588,3.9093,13.1588,5.5933,13.1588,1.6691
13.2277,3.4411,13.2277,2.5834,13.2277,5.0544,13.2277,2.0006
13.2966,3.3995,13.2966,2.5048,13.2966,5.8323,13.2966,2.0813
13.3655,2.8840,13.3655,1.6880,13.3655,5.2597,13.3655,2.2190
13.4344,3.6200,13.4344,2.4955,13.4344,4.8143,13.4344,1.4815
13.5033,2.6197,13.5033,3.0643,13.5033,5.0282,13.5033,2.0296
13.5722,1.7553,13.5722,2.4960,13.5722,4.8454,13.5722,1.7490
13.6411,1.7745,13.6411,2.2440,13.6411,5.6543,13.6411,1.9047
13.7100,2.1363,13.7100,2.9402,13.7100,5.2711,13.7100,1.3765
13.7789,1.8887,13.7789,3.9764,13.7789,6.7098,13.7789,1.4244
13.8478,2.5100,13.8478,4.3825,13.8478,6.6942,13.8478,1.3949
13.9167,2.5003,13.9167,3.6707,13.9167,6.3998,13.9167,1.2533
13.9856,2.3233,13.9856,3.1781,13.9856,5.3583,13.9856,2.3741
14.0545,2.5223,14.0545,3.0077,14.0545,3.9385,14.0545,1.8707
14.1234,2.6287,14.1234,2.5543,14.1234,4.3702,14.1234,2.9142
14.1923,2.8264,14.1923,2.3197,14.1923,6.3354,14.1923,3.2216
14.2612,1.9928,14.2612,1.9773,14.2612,6.6070,14.2612,2.7516
14.3301,1.8183,14.3301,1.7068,14.3301,6.1237,14.3301,2.6112
14.3989,2.9789,14.3989,1.2468,14.3989,5.1812,14.3989,3.3161
14.4678,2.3566,14.4678,1.3354,14.4678,2.4609,14.4678,3.3225
14.5367,2.9110,14.5367,1.0688,14.5367,2.1370,14.5367,3.0337
14.6056,3.4054,14.6056,1.4093,14.6056,2.3479,14.6056,4.1667
14.6745,2.5951,14.6745,1.9266,14.6745,2.0212,14.6745,4.6848
14.7434,2.8932,14.7434,1.7461,14.7434,2.2058,14.7434,4.2655
14.8123,2.7255,14.8123,1.7190,14.8123,2.0408,14.8123,4.6959
14.8812,3.3220,14.8812,1.7871,14.8812,2.7088,14.8812,4.4375
14.9501,4.0725,14.9501,1.9617,14.9501,2.4881,14.9501,3.9724
15.0190,3.8252,15.0190,2.1675,15.0190,2.5740,15.0190,4.6926
15.0879,4.7067,15.0879,1.6461,15.0879,2.8786,15.0879,4.8682
15.1568,5.8822,15.1568,1.4161,15.1568,3.0789,15.1568,5.0416
15.2257,6.3668,15.2257,1.1030,15.2257,3.8516,15.2257,4.5642
15.2946,6.6164,15.2946,0.8952,15.2946,4.4942,15.2946,4.5081
15.3635,6.1517,15.3635,1.5497,15.3635,5.2677,15.3635,5.3894
15.4324,5.7241,15.4324,2.9280,15.4324,6.9949,15.4324,7.1791
15.5013,4.7069,15.5013,4.0127,15.5013,6.8886,15.5013,7.3804
15.5702,4.1487,15.5702,4.9605,15.5702,5.4358,15.5702,8.0131
15.6391,3.5685,15.6391,4.8285,15.6391,5.1443,15.6391,7.4241
15.7079,3.1793,15.7079,4.7696,15.7079,4.6077,15.7079,7.2220
15.7768,2.5292,15.7768,4.4518,15.7768,3.1928,15.7768,6.8533
15.8457,2.4639,15.8457,4.4604,15.8457,3.7251,15.8457,6.7814
15.9146,2.0477,15.9146,4.6187,15.9146,3.7107,15.9146,6.6645
15.9835,2.0444,15.9835,3.3710,15.9835,5.7133,15.9835,7.0160
16.0524,2.5578,16.0524,3.9582,16.0524,4.6061,16.0524,6.8931
16.1213,1.6545,16.1213,3.1770,16.1213,4.6259,16.1213,6.4978
16.1902,1.6197,16.1902,2.8811,16.1902,4.2966,16.1902,5.8910
16.2591,1.8423,16.2591,2.9425,16.2591,2.9452,16.2591,5.7503
16.3280,2.0013,16.3280,2.4618,16.3280,2.3008,16.3280,5.1467
16.3969,2.5891,16.3969,2.9598,16.3969,2.1975,16.3969,4.2616
16.4658,2.3106,16.4658,2.2328,16.4658,2.8921,16.4658,4.6020
16.5347,2.1826,16.5347,2.1706,16.5347,3.0638,16.5347,3.8467
16.6036,2.3307,16.6036,1.6861,16.6036,2.9137,16.6036,4.1372
16.6725,2.7666,16.6725,1.6728,16.6725,3.1827,16.6725,3.6291
16.7414,3.1642,16.7414,0.7899,16.7414,2.9554,16.7414,3.1732
16.8103,4.0065,16.8103,1.1202,16.8103,3.0287,16.8103,2.7978
16.8792,5.5085,16.8792,1.5178,16.8792,3.4571,16.8792,2.8415
16.9480,5.1438,16.9480,1.4751,16.9480,2.8851,16.9480,2.3488
17.0169,5.5958,17.0169,1.6514,17.0169,2.9801,17.0169,2.0566
17.0858,4.8250,17.0858,1.1401,17.0858,2.4356,17.0858,2.9158
17.1547,5.2263,17.1547,1.4903,17.1547,1.9997,17.1547,2.8883
17.2236,3.5980,17.2236,1.5979,17.2236,2.1616,17.2236,3.1044
17.2925,2.5553,17.2925,0.9651,17.2925,1.6070,17.2925,2.9323
17.3614,2.2524,17.3614,1.1860,17.3614,1.9530,17.3614,2.8321
17.4303,2.7418,17.4303,1.3760,17.4303,2.8629,17.4303,3.5221
17.4992,2.8684,17.4992,2.2886,17.4992,2.8517,17.4992,3.2342
17.5681,3.1655,17.5681,3.1155,17.5681,3.4942,17.5681,2.8237
17.6370,3.9249,17.6370,2.2277,17.6370,4.0615,17.6370,2.8734
17.7059,2.6599,17.7059,2.4362,17.7059,4.1127,17.7059,3.4677
17.7748,2.8002,17.7748,1.6262,17.7748,4.5188,17.7748,4.1781
17.8437,2.0533,17.8437,1.9854,17.8437,4.9091,17.8437,2.5486
17.9126,1.5025,17.9126,2.8119,17.9126,5.3741,17.9126,2.5621
17.9815,1.7039,17.9815,2.3013,17.9815,6.8092,17.9815,2.6654
18.0504,1.3229,18.0504,1.7958,18.0504,7.6548,18.0504,2.6656
18.1193,0.9925,18.1193,1.8739,18.1193,6.5080,18.1193,2.2916
18.1881,0.7351,18.1881,1.8294,18.1881,5.9474,18.1881,2.8383
18.2570,0.9431,18.2570,2.4882,18.2570,6.0759,18.2570,2.9085
18.3259,0.9636,18.3259,2.4337,18.3259,6.0476,18.3259,2.6418
18.3948,1.4020,18.3948,1.8827,18.3948,5.9135,18.3948,2.4662
18.4637,1.1892,18.4637,2.5017,18.4637,4.7011,18.4637,2.7499
18.5326,1.9648,18.5326,2.7734,18.5326,4.3458,18.5326,3.4081
18.6015,2.0671,18.6015,3.2224,18.6015,4.1054,18.6015,2.6058
18.6704,2.1666,18.6704,4.0255,18.6704,2.9985,18.6704,2.6562
18.7393,2.5803,18.7393,5.2605,18.7393,3.0649,18.7393,2.4871
18.8082,1.9816,18.8082,7.0491,18.8082,2.1758,18.8082,1.6940
18.8771,2.4248,18.8771,9.0812,18.8771,2.3510,18.8771,1.2093
18.9460,1.7759,18.9460,10.0946,18.9460,1.6204,18.9460,1.0064
19.0149,1.5764,19.0149,10.3753,19.0149,2.3274,19.0149,1.1070
19.0838,1.5589,19.0838,8.4215,19.0838,3.5915,19.0838,1.3628
19.1527,1.2449,19.1527,7.3254,19.1527,3.2615,19.1527,1.0741
19.2216,0.8220,19.2216,7.8393,19.2216,3.3374,19.2216,1.0884
19.2905,1.1181,19.2905,8.6977,19.2905,3.6123,19.2905,1.3183
19.3594,0.8610,19.3594,10.5079,19.3594,4.0432,19.3594,2.0427
19.4282,0.8157,19.4282,14.1664,19.4282,5.2981,19.4282,3.1717
19.4971,1.0006,19.4971,13.8445,19.4971,4.3564,19.4971,4.5866
19.5660,0.8459,19.5660,11.4965,19.5660,3.5673,19.5660,5.3305
19.6349,0.9890,19.6349,7.6010,19.6349,2.3869,19.6349,6.1801
19.7038,1.2872,19.7038,5.9465,19.7038,2.4336,19.7038,7.0879
19.7727,1.2715,19.7727,3.8280,19.7727,2.5522,19.7727,5.6732
19.8416,0.6408,19.8416,3.9651,19.8416,1.8261,19.8416,4.1369
19.9105,1.1572,19.9105,2.9266,19.9105,1.4877,19.9105,3.4627
19.9794,1.2027,19.9794,2.5167,19.9794,1.2930,19.9794,2.7806
20.0483,0.7101,20.0483,2.6095,20.0483,1.2642,20.0483,1.6810
20.1172,0.7672,20.1172,3.0231,20.1172,1.5379,20.1172,1.7310
20.1861,0.5874,20.1861,2.5914,20.1861,1.1888,20.1861,1.5473
20.2550,0.9201,20.2550,1.9204,20.2550,1.7323,20.2550,2.1272
20.3239,1.4703,20.3239,2.4225,20.3239,1.5021,20.3239,1.8753
20.3928,1.2888,20.3928,2.0203,20.3928,1.7587,20.3928,2.0860
20.4617,0.9708,20.4617,1.9178,20.4617,2.1499,20.4617,1.6146
20.5306,1.0630,20.5306,1.8576,20.5306,3.2017,20.5306,1.0366
20.5995,0.9187,20.5995,2.0918,20.5995,3.5114,20.5995,1.8325
20.6683,0.9454,20.6683,1.8402,20.6683,3.2294,20.6683,2.8176
20.7372,1.1506,20.7372,1.8434,20.7372,3.1766,20.7372,2.2266
20.8061,0.5341,20.8061,1.4704,20.8061,3.1804,20.8061,2.4073
20.8750,0.6558,20.8750,1.5655,20.8750,3.0701,20.8750,2.0524
20.9439,0.9131,20.9439,1.0967,20.9439,3.1248,20.9439,1.8139
21.0128,1.3716,21.0128,1.3962,21.0128,3.0364,21.0128,1.6407
21.0817,1.0967,21.0817,1.4780,21.0817,2.8354,21.0817,2.3302
21.1506,0.7926,21.1506,1.8313,21.1506,2.7058,21.1506,2.4874
21.2195,0.8924,21.2195,2.0093,21.2195,2.9784,21.2195,2.4502
21.2884,1.1092,21.2884,2.2511,21.2884,4.0111,21.2884,1.9158
21.3573,0.8574,21.3573,1.3702,21.3573,5.5746,21.3573,2.8606
21.4262,0.6912,21.4262,1.2374,21.4262,5.5817,21.4262,2.5815
21.4951,0.5267,21.4951,1.0743,21.4951,5.2706,21.4951,2.8679
21.5640,0.4573,21.5640,1.4543,21.5640,4.7098,21.5640,2.6139
21.6329,0.7987,21.6329,1.5154,21.6329,3.4966,21.6329,2.2791
21.7018,0.6621,21.7018,1.4705,21.7018,2.6299,21.7018,1.3628
21.7707,0.6810,21.7707,1.3608,21.7707,2.1912,21.7707,1.2543
21.8396,0.8425,21.8396,1.1213,21.8396,2.2724,21.8396,1.3416
21.9084,1.0469,21.9084,1.4624,21.9084,2.0894,21.9084,1.5445
21.9773,1.4601,21.9773,1.2456,21.9773,2.9843,21.9773,2.0876
22.0462,1.2739,22.0462,1.6786,22.0462,2.3821,22.0462,2.4343
22.1151,1.0496,22.1151,1.2800,22.1151,2.0240,22.1151,2.9393
22.1840,1.1053,22.1840,1.0316,22.1840,1.5131,22.1840,2.8265
22.2529,1.5042,22.2529,1.9452,22.2529,1.7107,22.2529,2.8442
