,basename,spearmans_r
0,Fat2_Abi_lar132_larbola1_01,0.7020397574857564
1,Fat2_Abi_lar132_larbola1_02,0.7001796924161386
2,Fat2_Abi_lar132_larbola1_03,0.6820905298273952
3,Fat2_Abi_lar132_larbola1_04,0.6714169001690129
4,Fat2_Abi_lar132_larbola1_05,0.7168628576751289
5,Fat2_Abi_lar132_larbola1_06,0.7175999682794045
6,Fat2_Abi_lar132_larbola1_07,0.7211139614535946
7,Fat2_Abi_lar132_larbola1_08,0.7006584147859483
8,Fat2_Abi_lar132_larbola1_09,0.7015765271416586
9,Fat2_Abi_lar132_larbola1_10,0.6800373171494443
10,Fat2_Abi_lar132_larbola1_11,0.6533335555935887
11,Fat2_Abi_lar132_larbola1_12,0.6747858676222205
12,Fat2_Abi_lar132_larbola1_13,0.6406244356334058
13,Fat2_Abi_lar132_larbola1_14,0.7164028340589471
14,Fat2_Abi_lar132_larbola1_15,0.7154685682209196
15,Fat2_Abi_lar132_larbola1_16,0.6212930272849533
16,Fat2_Abi_lar132_larbola1_17,0.6344980613210015
17,Fat2_Abi_lar132_larbola1_18,0.617492336224011
