,basename,spearmans_r
0,Fat2_Abi_TJ_enaRNAi_01,0.6910522614817955
1,Fat2_Abi_TJ_enaRNAi_02,0.6252713106406896
2,Fat2_Abi_TJ_enaRNAi_03,0.6167255970756659
3,Fat2_Abi_TJ_enaRNAi_04,0.6558212809898457
4,Fat2_Abi_TJ_enaRNAi_05,0.6433511948347646
5,Fat2_Abi_TJ_enaRNAi_06,0.6133258768686042
6,Fat2_Abi_TJ_enaRNAi_07,0.6194650642124061
7,Fat2_Abi_TJ_enaRNAi_08,0.6618881105186659
8,Fat2_Abi_TJ_enaRNAi_09,0.6600292190276954
9,Fat2_Abi_TJ_enaRNAi_10,0.6894616186130232
10,Fat2_Abi_TJ_enaRNAi_11,0.6525024494932051
11,Fat2_Abi_TJ_enaRNAi_12,0.6480633327223102
