,basename,spearmans_r
0,Fat2dICD_Abi_01,0.7108366302141816
1,Fat2dICD_Abi_02,0.6330707735737522
2,Fat2dICD_Abi_03,0.6694710946322912
3,Fat2dICD_Abi_04,0.68197150027011
4,Fat2dICD_Abi_05,0.708783719672698
5,Fat2dICD_Abi_06,0.6798096336969788
6,Fat2dICD_Abi_07,0.7813965084240836
7,Fat2dICD_Abi_08,0.650017992373864
8,Fat2dICD_Abi_09,0.6930571083138565
9,Fat2dICD_Abi_10,0.7401920765583927
10,Fat2dICD_Abi_11,0.7609296280937887
11,Fat2dICD_Abi_12,0.7275810332764752
12,Fat2dICD_Abi_13,0.7924782356465697
