Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3
6.201,4.189,6.201,10.260,6.2005,18.717,6.2005,23.3018
6.269,4.542,6.269,9.680,6.2694,23.295,6.2694,16.5785
6.338,5.213,6.338,10.993,6.3383,32.582,6.3383,10.6610
6.407,6.284,6.407,12.635,6.4072,36.563,6.4072,7.7696
6.476,4.551,6.476,13.603,6.4761,48.323,6.4761,8.9812
6.545,7.592,6.545,10.230,6.5450,56.637,6.5450,6.1504
6.614,9.834,6.614,8.516,6.6139,59.143,6.6139,6.8454
6.683,9.716,6.683,8.507,6.6828,51.952,6.6828,5.7196
6.752,10.405,6.752,13.808,6.7517,46.248,6.7517,7.2280
6.821,11.876,6.821,17.343,6.8206,51.537,6.8206,8.8541
6.889,12.821,6.889,25.361,6.8894,59.448,6.8894,7.9651
6.958,15.156,6.958,36.459,6.9583,57.369,6.9583,7.3672
7.027,19.199,7.027,40.845,7.0272,29.653,7.0272,7.0772
7.096,21.891,7.096,46.004,7.0961,16.399,7.0961,7.0654
7.165,24.748,7.165,60.300,7.1650,12.732,7.1650,8.5123
7.234,30.358,7.234,64.477,7.2339,10.289,7.2339,8.2280
7.303,39.596,7.303,58.126,7.3028,11.661,7.3028,4.9564
7.372,45.916,7.372,51.286,7.3717,11.277,7.3717,6.3666
7.441,39.524,7.441,39.257,7.4406,15.802,7.4406,4.5386
7.510,35.360,7.510,31.233,7.5095,21.292,7.5095,5.2376
7.578,31.994,7.578,28.929,7.5784,25.816,7.5784,6.0208
7.647,32.139,7.647,26.735,7.6473,27.173,7.6473,5.5463
7.716,33.414,7.716,26.745,7.7162,22.531,7.7162,5.4289
7.785,35.656,7.785,23.212,7.7851,18.699,7.7851,5.0220
7.854,39.941,7.854,18.189,7.8540,15.677,7.8540,5.7969
7.923,39.169,7.923,13.789,7.9229,17.886,7.9229,4.8082
7.992,40.363,7.992,13.020,7.9918,19.691,7.9918,6.6590
8.061,43.075,8.061,12.872,8.0607,17.277,8.0607,7.8953
8.130,47.312,8.130,13.681,8.1296,14.457,8.1296,9.8139
8.198,46.911,8.198,17.200,8.1984,10.527,8.1984,10.2117
8.267,47.857,8.267,18.913,8.2673,8.621,8.2673,11.2402
8.336,47.997,8.336,19.229,8.3362,10.524,8.3362,11.4552
8.405,47.638,8.405,20.302,8.4051,14.053,8.4051,10.0612
8.474,50.736,8.474,16.747,8.4740,15.876,8.4740,10.3016
8.543,55.440,8.543,18.005,8.5429,17.699,8.5429,10.4106
8.612,58.634,8.612,18.032,8.6118,15.194,8.6118,9.0638
8.681,48.814,8.681,19.575,8.6807,12.291,8.6807,9.3923
8.750,39.317,8.750,20.917,8.7496,10.277,8.7496,9.6313
8.818,37.174,8.818,23.482,8.8185,12.724,8.8185,9.4370
8.887,35.942,8.887,22.428,8.8874,13.863,8.8874,11.5577
8.956,32.324,8.956,22.206,8.9563,12.230,8.9563,13.8194
9.025,32.258,9.025,20.733,9.0252,15.960,9.0252,16.6858
9.094,31.248,9.094,22.265,9.0941,16.150,9.0941,18.5949
9.163,31.091,9.163,25.037,9.1630,17.777,9.1630,17.9152
9.232,31.509,9.232,29.125,9.2319,18.013,9.2319,15.9142
9.301,27.937,9.301,30.173,9.3008,20.056,9.3008,11.2638
9.370,23.505,9.370,35.571,9.3697,20.855,9.3697,9.8010
9.439,21.100,9.439,52.732,9.4385,22.478,9.4385,10.0403
9.507,16.663,9.507,71.034,9.5074,27.515,9.5074,9.6662
9.576,15.903,9.576,84.200,9.5763,27.886,9.5763,9.2636
9.645,13.628,9.645,85.667,9.6452,28.776,9.6452,12.1784
9.714,16.965,9.714,69.605,9.7141,27.130,9.7141,12.4998
9.783,21.426,9.783,56.936,9.7830,25.187,9.7830,14.5046
9.852,24.839,9.852,46.664,9.8519,22.530,9.8519,15.1611
9.921,26.545,9.921,45.884,9.9208,17.621,9.9208,14.8015
9.990,30.036,9.990,43.544,9.9897,14.449,9.9897,13.8742
10.059,27.572,10.059,34.133,10.0586,12.431,10.0586,16.5735
10.127,24.247,10.127,26.563,10.1275,12.955,10.1275,16.3585
10.196,25.142,10.196,23.939,10.1964,16.914,10.1964,16.6217
10.265,23.654,10.265,26.847,10.2653,18.107,10.2653,17.5874
10.334,24.496,10.334,24.490,10.3342,18.331,10.3342,16.8199
10.403,18.674,10.403,17.648,10.4031,17.291,10.4031,13.6846
10.472,16.861,10.472,16.991,10.4720,21.464,10.4720,12.5105
10.541,20.407,10.541,14.267,10.5409,23.929,10.5409,17.4040
10.610,22.002,10.610,14.644,10.6098,26.455,10.6098,22.1424
10.679,15.377,10.679,15.161,10.6786,29.006,10.6786,25.0687
10.748,11.996,10.748,14.488,10.7475,24.574,10.7475,28.7164
10.816,11.255,10.816,17.813,10.8164,26.075,10.8164,32.0291
10.885,12.431,10.885,19.977,10.8853,23.547,10.8853,31.8318
10.954,15.400,10.954,19.174,10.9542,21.346,10.9542,30.1437
11.023,14.783,11.023,13.655,11.0231,21.187,11.0231,26.4894
11.092,15.611,11.092,11.064,11.0920,16.056,11.0920,25.1907
11.161,16.589,11.161,11.707,11.1609,11.188,11.1609,27.3848
11.230,10.729,11.230,12.373,11.2298,11.177,11.2298,33.9176
11.299,12.112,11.299,12.842,11.2987,13.718,11.2987,39.1812
11.368,11.466,11.368,14.624,11.3676,20.167,11.3676,39.0436
11.436,11.274,11.436,14.328,11.4365,27.222,11.4365,32.7642
11.505,12.782,11.505,12.742,11.5054,28.937,11.5054,22.9232
11.574,9.951,11.574,14.948,11.5743,24.731,11.5743,20.2173
11.643,9.543,11.643,13.629,11.6432,21.367,11.6432,17.7539
11.712,8.114,11.712,13.172,11.7121,23.538,11.7121,18.9136
11.781,8.674,11.781,14.179,11.7810,20.674,11.7810,22.8250
11.850,8.758,11.850,11.075,11.8499,13.280,11.8499,22.7448
11.919,7.190,11.919,9.549,11.9187,11.663,11.9187,26.2199
11.988,7.229,11.988,7.785,11.9876,8.990,11.9876,26.6365
12.057,8.078,12.057,7.923,12.0565,7.348,12.0565,25.4282
12.125,8.274,12.125,11.407,12.1254,5.082,12.1254,23.3508
12.194,13.758,12.194,12.292,12.1943,4.255,12.1943,23.2354
12.263,15.196,12.263,15.616,12.2632,3.159,12.2632,18.2349
12.332,18.848,12.332,17.907,12.3321,2.920,12.3321,13.9386
12.401,20.129,12.401,20.087,12.4010,4.466,12.4010,13.2719
12.470,19.001,12.470,18.669,12.4699,5.414,12.4699,11.0182
12.539,16.147,12.539,16.652,12.5388,5.199,12.5388,9.1489
12.608,13.928,12.608,17.842,12.6077,5.661,12.6077,11.7270
12.677,15.810,12.677,14.268,12.6766,9.355,12.6766,9.6064
12.745,15.335,12.745,8.778,12.7455,11.248,12.7455,12.2250
12.814,20.873,12.814,6.780,12.8144,13.732,12.8144,12.2703
12.883,22.273,12.883,6.191,12.8833,14.563,12.8833,14.8135
12.952,25.899,12.952,6.135,12.9522,14.151,12.9522,17.4172
13.021,27.235,13.021,9.823,13.0211,13.882,13.0211,17.9023
13.090,28.583,13.090,12.377,13.0900,12.813,13.0900,16.6104
13.159,27.307,13.159,16.125,13.1588,13.202,13.1588,15.1216
13.228,20.094,13.228,20.066,13.2277,13.207,13.2277,15.1288
13.297,21.055,13.297,22.004,13.2966,14.384,13.2966,10.1034
13.366,19.649,13.366,31.096,13.3655,13.757,13.3655,9.6219
13.434,19.887,13.434,33.449,13.4344,14.535,13.4344,9.6630
13.503,22.619,13.503,36.211,13.5033,10.499,13.5033,9.4510
13.572,26.348,13.572,28.221,13.5722,8.564,13.5722,10.1296
13.641,32.531,13.641,25.637,13.6411,9.456,13.6411,9.8101
13.710,40.410,13.710,24.606,13.7100,10.457,13.7100,8.8789
13.779,40.716,13.779,23.100,13.7789,8.819,13.7789,7.8619
13.848,47.067,13.848,22.163,13.8478,9.739,13.8478,6.6253
13.917,46.507,13.917,20.140,13.9167,8.999,13.9167,6.0927
13.986,40.084,13.986,17.714,13.9856,10.407,13.9856,4.8992
14.054,30.108,14.054,16.319,14.0545,10.928,14.0545,4.6609
14.123,24.116,14.123,15.455,14.1234,14.139,14.1234,4.5280
14.192,19.128,14.192,20.377,14.1923,16.254,14.1923,4.9266
14.261,16.279,14.261,16.742,14.2612,19.436,14.2612,4.5618
14.330,22.138,14.330,19.057,14.3301,20.400,14.3301,5.0925
14.399,29.091,14.399,21.725,14.3989,19.011,14.3989,4.9654
14.468,33.447,14.468,27.466,14.4678,21.516,14.4678,6.0410
14.537,32.795,14.537,25.828,14.5367,19.720,14.5367,7.9671
14.606,25.363,14.606,19.755,14.6056,17.290,14.6056,9.5278
14.675,19.185,14.675,15.858,14.6745,15.528,14.6745,11.2001
14.743,15.117,14.743,13.529,14.7434,12.604,14.7434,12.9765
14.812,12.502,14.812,9.040,14.8123,12.797,14.8123,12.4464
14.881,9.659,14.881,8.361,14.8812,10.081,14.8812,10.3594
14.950,6.965,14.950,4.426,14.9501,12.388,14.9501,10.0013
15.019,8.318,15.019,4.090,15.0190,13.250,15.0190,8.9546
15.088,9.360,15.088,3.973,15.0879,12.494,15.0879,10.0160
15.157,9.534,15.157,7.217,15.1568,16.188,15.1568,12.5364
15.226,9.781,15.226,9.332,15.2257,19.129,15.2257,17.1144
15.295,10.843,15.295,13.403,15.2946,18.492,15.2946,22.6201
15.363,11.065,15.363,14.742,15.3635,23.079,15.3635,40.2716
15.432,10.680,15.432,15.402,15.4324,27.677,15.4324,53.6599
15.501,11.611,15.501,18.218,15.5013,22.159,15.5013,69.1386
15.570,11.490,15.570,21.593,15.5702,21.159,15.5702,71.6780
15.639,11.900,15.639,23.694,15.6391,17.481,15.6391,63.4280
15.708,13.423,15.708,23.416,15.7079,15.735,15.7079,53.5824
15.777,12.800,15.777,26.588,15.7768,14.433,15.7768,48.5992
15.846,12.011,15.846,30.437,15.8457,17.371,15.8457,31.5259
15.915,13.718,15.915,33.396,15.9146,15.525,15.9146,26.6075
15.984,14.930,15.984,30.618,15.9835,12.163,15.9835,25.0075
16.052,16.802,16.052,26.115,16.0524,10.293,16.0524,28.7175
16.121,18.297,16.121,22.310,16.1213,9.065,16.1213,25.1355
16.190,17.966,16.190,20.328,16.1902,9.782,16.1902,23.8053
16.259,17.785,16.259,20.673,16.2591,11.049,16.2591,20.9327
16.328,19.854,16.328,19.401,16.3280,12.832,16.3280,21.9348
16.397,22.659,16.397,21.640,16.3969,13.828,16.3969,21.5051
16.466,24.302,16.466,20.838,16.4658,15.579,16.4658,25.8789
16.535,20.959,16.535,24.388,16.5347,16.717,16.5347,21.7373
16.604,19.940,16.604,23.083,16.6036,18.831,16.6036,19.7219
16.672,13.408,16.672,21.836,16.6725,21.340,16.6725,14.0826
16.741,11.377,16.741,15.967,16.7414,21.295,16.7414,10.1992
16.810,10.031,16.810,13.596,16.8103,22.884,16.8103,6.5834
16.879,12.666,16.879,12.607,16.8792,19.592,16.8792,7.5131
16.948,18.168,16.948,10.804,16.9480,20.432,16.9480,11.7569
17.017,23.857,17.017,10.600,17.0169,23.766,17.0169,15.5607
17.086,28.155,17.086,8.199,17.0858,28.316,17.0858,17.2910
17.155,29.598,17.155,7.446,17.1547,35.473,17.1547,20.6762
17.224,32.871,17.224,6.684,17.2236,44.099,17.2236,18.6529
17.293,33.585,17.293,6.659,17.2925,49.298,17.2925,13.6293
17.361,35.981,17.361,7.758,17.3614,52.897,17.3614,10.8075
17.430,55.926,17.430,8.379,17.4303,47.493,17.4303,7.7730
17.499,90.968,17.499,7.414,17.4992,33.309,17.4992,7.6816
17.568,121.339,17.568,11.217,17.5681,22.236,17.5681,7.3371
17.637,111.457,17.637,11.543,17.6370,14.508,17.6370,7.8332
17.706,89.607,17.706,13.921,17.7059,10.026,17.7059,11.5625
17.775,71.726,17.775,17.653,17.7748,8.404,17.7748,16.7663
17.844,50.154,17.844,20.578,17.8437,7.157,17.8437,18.9029
17.913,33.914,17.913,27.704,17.9126,5.661,17.9126,22.1059
17.981,31.099,17.981,41.967,17.9815,8.414,17.9815,22.0492
18.050,25.221,18.050,64.370,18.0504,9.835,18.0504,16.5691
18.119,20.234,18.119,77.967,18.1193,9.128,18.1193,11.9677
18.188,16.023,18.188,89.124,18.1881,9.799,18.1881,12.7390
18.257,13.754,18.257,76.832,18.2570,8.095,18.2570,11.6163
18.326,13.874,18.326,58.873,18.3259,9.228,18.3259,12.0109
18.395,10.259,18.395,44.051,18.3948,9.475,18.3948,15.8641
18.464,8.209,18.464,40.027,18.4637,9.598,18.4637,27.5522
18.533,8.759,18.533,35.743,18.5326,6.878,18.5326,41.5744
18.602,7.011,18.602,31.205,18.6015,8.820,18.6015,54.8117
18.670,6.525,18.670,27.525,18.6704,15.012,18.6704,48.4977
18.739,7.650,18.739,22.594,18.7393,23.289,18.7393,38.2507
18.808,6.712,18.808,18.018,18.8082,25.558,18.8082,27.6088
18.877,7.587,18.877,12.826,18.8771,20.336,18.8771,21.7016
18.946,10.362,18.946,12.659,18.9460,16.648,18.9460,19.4480
