Distance_(microns),Value,X1,Y1,X2,Y2
0.0000,2.79593,0.0000,9.3907,0.000,5.5555
0.0689,3.61317,0.0689,9.6583,0.069,7.6130
0.1378,3.00849,0.1378,7.6982,0.138,6.7903
0.2067,1.39732,0.2067,5.0790,0.207,7.3366
0.2756,1.98071,0.2756,4.6687,0.276,4.9755
0.3445,2.63890,0.3445,4.1708,0.344,4.2619
0.4134,1.99365,0.4134,4.6221,0.413,3.1678
0.4823,1.47515,0.4823,3.5076,0.482,3.2624
0.5512,1.59236,0.5512,3.0725,0.551,2.5245
0.6201,2.19294,0.6201,3.6913,0.620,1.8433
0.6889,1.83165,0.6889,3.8511,0.689,2.0808
0.7578,1.95995,0.7578,5.3204,0.758,1.8559
0.8267,1.97618,0.8267,4.2537,0.827,1.7151
0.8956,1.74015,0.8956,4.3111,0.896,1.6340
0.9645,1.91708,0.9645,3.8871,0.965,2.0918
1.0334,2.21124,1.0334,2.8985,1.033,2.3948
1.1023,2.71833,1.1023,2.9110,1.102,2.4739
1.1712,3.04368,1.1712,2.6608,1.171,2.0960
1.2401,3.14622,1.2401,3.2909,1.240,1.9696
1.3090,4.74630,1.3090,2.9860,1.309,1.7169
1.3779,5.51335,1.3779,2.1678,1.378,1.4082
1.4468,6.25351,1.4468,2.4711,1.447,1.3483
1.5157,6.11169,1.5157,2.7781,1.516,1.2848
1.5846,4.98273,1.5846,2.7045,1.585,1.2768
1.6535,4.87395,1.6535,3.8925,1.653,1.4102
1.7224,3.84668,1.7224,3.8442,1.722,1.7822
1.7913,3.46360,1.7913,4.6841,1.791,1.4495
1.8602,2.76067,1.8602,3.8624,1.860,1.2734
1.9290,2.28724,1.9290,3.9224,1.929,1.1577
1.9979,2.51443,1.9979,4.3039,1.998,1.0907
2.0668,1.62544,2.0668,4.3271,2.067,1.2566
2.1357,1.16662,2.1357,3.3115,2.136,1.2673
2.2046,1.41902,2.2046,3.0123,2.205,1.5184
2.2735,2.03415,2.2735,2.6263,2.274,1.5922
2.3424,2.36927,2.3424,3.0542,2.342,2.1092
2.4113,3.15932,2.4113,3.6027,2.411,2.3787
2.4802,2.84437,2.4802,2.8685,2.480,2.4348
2.5491,2.96569,2.5491,3.0694,2.549,2.3443
2.6180,3.21126,2.6180,3.9075,2.618,2.2879
2.6869,1.81192,2.6869,3.7217,2.687,3.1560
2.7558,2.33063,2.7558,4.1133,2.756,2.9980
2.8247,2.33651,2.8247,4.5118,2.825,3.2716
2.8936,2.26199,2.8936,4.7009,2.894,2.1371
2.9625,2.61514,2.9625,4.4345,2.962,1.9637
3.0314,2.58957,3.0314,3.5868,3.031,1.9848
3.1003,2.78427,3.1003,3.0587,3.100,2.3590
3.1691,3.57952,3.1691,3.0570,3.169,2.2123
3.2380,3.37726,3.2380,2.9179,3.238,3.6955
3.3069,2.46182,3.3069,2.6968,3.307,4.3129
3.3758,1.70116,3.3758,2.6075,3.376,3.1565
3.4447,1.43757,3.4447,3.4321,3.445,3.3752
3.5136,2.01461,3.5136,2.1276,3.514,3.4465
3.5825,2.70851,3.5825,2.4575,3.583,4.7992
3.6514,3.03061,3.6514,3.4618,3.651,6.0489
3.7203,3.39093,3.7203,4.2717,3.720,6.5521
3.7892,2.34700,3.7892,6.5719,3.789,6.4978
3.8581,2.40839,3.8581,8.4571,3.858,4.7785
3.9270,2.18956,3.9270,12.1257,3.927,3.2434
3.9959,1.88819,3.9959,15.0949,3.996,1.9908
4.0648,1.58772,4.0648,16.1209,4.065,1.4718
4.1337,3.06030,4.1337,11.4512,4.134,1.6744
4.2026,2.37135,4.2026,7.4794,4.203,1.7769
4.2715,1.52187,4.2715,5.3827,4.271,1.2167
4.3404,1.87682,4.3404,3.5251,4.340,1.3656
4.4092,2.47432,4.4092,2.7049,4.409,1.3208
4.4781,2.26966,4.4781,2.4769,4.478,1.4826
4.5470,2.47207,4.5470,2.4192,4.547,1.6074
4.6159,2.11725,4.6159,2.7979,4.616,1.1262
4.6848,1.91765,4.6848,3.5945,4.685,0.8729
4.7537,1.62485,4.7537,3.4157,4.754,0.6260
4.8226,1.69249,4.8226,3.8660,4.823,0.8328
4.8915,1.69502,4.8915,3.4135,4.892,0.5506
4.9604,1.49257,4.9604,1.7455,4.960,0.5296
5.0293,2.35652,5.0293,1.5414,5.029,0.6246
5.0982,2.33710,5.0982,1.3657,5.098,0.8617
5.1671,3.47197,5.1671,1.0238,5.167,1.3453
5.2360,4.22923,5.2360,1.1934,5.236,0.7466
5.3049,4.91331,5.3049,0.9012,5.305,0.9579
5.3738,5.45507,5.3738,1.2721,5.374,0.9461
5.4427,6.19388,5.4427,0.8832,5.443,0.9049
5.5116,4.52084,5.5116,0.9105,5.512,1.3497
5.5805,3.94703,5.5805,1.1978,5.580,1.4367
5.6493,4.58611,5.6493,1.2539,5.649,1.3099
5.7182,4.45562,5.7182,1.5584,5.718,0.5325
5.7871,5.03324,5.7871,1.9793,5.787,0.7757
5.8560,4.25729,5.8560,1.2886,5.856,0.8973
5.9249,4.42261,5.9249,1.4629,5.925,0.9045
5.9938,4.74250,5.9938,1.7551,5.994,0.6449
6.0627,4.94560,6.0627,1.5370,6.063,0.9745
6.1316,5.44059,6.1316,1.7184,6.132,1.3485
6.2005,4.57097,6.2005,2.2965,6.201,1.1944
6.2694,3.57404,6.2694,2.2113,6.269,0.9226
6.3383,3.54909,6.3383,1.7780,6.338,0.8401
6.4072,2.80265,6.4072,1.2169,6.407,1.3337
6.4761,3.24857,6.4761,1.1318,6.476,1.6138
6.5450,2.98094,6.5450,1.1594,6.545,1.0022
6.6139,3.28283,6.6139,1.5543,6.614,0.7616
6.6828,3.26349,6.6828,1.8293,6.683,1.2754
6.7517,3.40839,6.7517,1.1576,6.752,1.3002
6.8206,3.80186,6.8206,0.7212,6.821,1.2211
