Distance_(microns),Value,X1,Y1,X2,Y2
8.4051,15.522,8.4051,27.168,8.405,12.951
8.4740,14.771,8.4740,21.871,8.474,16.515
8.5429,16.488,8.5429,20.976,8.543,26.731
8.6118,16.771,8.6118,20.032,8.612,39.487
8.6807,16.847,8.6807,17.929,8.681,60.903
8.7496,16.276,8.7496,19.116,8.750,78.497
8.8185,17.998,8.8185,24.306,8.818,83.181
8.8874,27.269,8.8874,31.891,8.887,69.262
8.9563,42.691,8.9563,36.465,8.956,48.244
9.0252,48.014,9.0252,38.300,9.025,32.685
9.0941,41.733,9.0941,34.791,9.094,23.257
9.1630,26.404,9.1630,28.412,9.163,17.841
9.2319,16.650,9.2319,24.072,9.232,17.924
9.3008,10.686,9.3008,27.801,9.301,18.071
9.3697,11.899,9.3697,28.638,9.370,15.803
9.4385,12.735,9.4385,35.635,9.439,14.378
9.5074,13.044,9.5074,49.594,9.507,11.793
9.5763,11.808,9.5763,54.679,9.576,9.887
9.6452,10.361,9.6452,52.592,9.645,9.076
9.7141,8.785,9.7141,47.254,9.714,8.694
9.7830,6.694,9.7830,39.654,9.783,8.133
9.8519,5.082,9.8519,33.331,9.852,9.084
9.9208,4.913,9.9208,24.440,9.921,6.735
9.9897,3.586,9.9897,22.592,9.990,6.779
10.0586,4.784,10.0586,21.086,10.059,8.925
10.1275,4.473,10.1275,22.044,10.127,11.620
10.1964,4.158,10.1964,21.812,10.196,10.975
10.2653,4.127,10.2653,22.307,10.265,7.068
10.3342,3.681,10.3342,21.596,10.334,5.884
10.4031,4.092,10.4031,24.013,10.403,5.124
10.4720,4.030,10.4720,26.358,10.472,6.233
10.5409,5.712,10.5409,26.764,10.541,9.267
10.6098,7.195,10.6098,28.036,10.610,8.968
10.6786,6.836,10.6786,26.340,10.679,5.899
10.7475,5.648,10.7475,25.283,10.748,3.297
10.8164,5.731,10.8164,26.605,10.816,2.427
10.8853,6.649,10.8853,24.351,10.885,3.313
10.9542,8.092,10.9542,22.655,10.954,7.058
11.0231,5.494,11.0231,16.978,11.023,9.756
11.0920,5.545,11.0920,13.576,11.092,13.815
11.1609,5.216,11.1609,10.777,11.161,19.989
11.2298,5.246,11.2298,11.339,11.230,26.298
11.2987,6.701,11.2987,10.489,11.299,26.786
11.3676,7.603,11.3676,12.471,11.368,24.134
11.4365,7.403,11.4365,20.423,11.436,17.034
11.5054,6.502,11.5054,29.835,11.505,11.813
11.5743,6.197,11.5743,39.529,11.574,12.077
11.6432,6.493,11.6432,36.398,11.643,14.264
11.7121,5.752,11.7121,26.763,11.712,14.010
11.7810,4.291,11.7810,20.517,11.781,13.251
11.8499,3.246,11.8499,18.479,11.850,13.131
11.9187,3.639,11.9187,17.457,11.919,10.951
11.9876,3.425,11.9876,13.178,11.988,9.520
12.0565,3.986,12.0565,8.409,12.057,8.823
12.1254,4.608,12.1254,6.128,12.125,15.806
12.1943,3.237,12.1943,5.953,12.194,20.659
12.2632,2.326,12.2632,6.704,12.263,22.530
12.3321,3.192,12.3321,8.735,12.332,25.974
12.4010,2.284,12.4010,10.787,12.401,28.472
