,position (um),Fat2dICD intensity,Abi intensity
0,0.0,36.178,4.0298
1,0.0689,35.783,3.5639
2,0.1378,32.18,4.2689
3,0.2067,32.014,3.6505
4,0.2756,26.88,4.05
5,0.3445,21.514,3.4844
6,0.4134,14.764,3.2684
7,0.4823,13.601,2.764
8,0.5512,13.155,3.3022
9,0.6201,13.683,3.6522
10,0.6889,17.904,3.538
11,0.7578,20.007,2.6222
12,0.8267,26.211,1.649
13,0.8956,24.397,1.7286
14,0.9645,17.624,1.9231
15,1.0334,11.441,1.9568
16,1.1023,6.978,1.4176
17,1.1712,9.3,1.1872
18,1.2401,12.454,1.3896
19,1.309,15.703,1.7865
20,1.3779,14.334,1.579
21,1.4468,15.176,2.0487
22,1.5157,17.338,1.5314
23,1.5846,15.993,0.8581
24,1.6535,14.72,1.0883
25,1.7224,14.481,1.3395
26,1.7913,15.29,1.2496
27,1.8602,15.323,1.8753
28,1.929,12.91,1.8703
29,1.9979,10.628,2.3089
30,2.0668,8.49,1.8691
31,2.1357,7.846,1.2462
32,2.2046,6.725,1.3588
33,2.2735,5.531,1.6653
34,2.3424,6.435,1.6475
35,2.4113,7.535,1.59
36,2.4802,7.34,1.7714
37,2.5491,8.86,1.9259
38,2.618,6.826,1.7589
39,2.6869,9.841,1.4768
40,2.7558,10.58,1.7238
41,2.8247,9.946,1.5531
42,2.8936,10.801,1.1857
43,2.9625,17.351,1.9738
44,3.0314,25.208,2.1253
45,3.1003,26.807,1.6696
46,3.1691,28.107,2.3379
47,3.238,30.887,2.0052
48,3.3069,28.144,1.959
49,3.3758,35.824,2.8488
50,3.4447,53.608,3.344
51,3.5136,78.697,3.9055
52,3.5825,85.993,5.5177
53,3.6514,84.77,5.4178
54,3.7203,66.033,4.8424
55,3.7892,47.885,4.6164
56,3.8581,47.602,3.3948
57,3.927,49.548,3.2563
58,3.9959,49.722,3.2959
59,4.0648,46.249,3.3264
60,4.1337,45.321,3.4481
61,4.2026,33.553,2.7605
62,4.2715,38.732,3.6395
63,4.3404,51.563,4.8971
64,4.4092,70.559,5.7356
65,4.4781,81.797,6.114
66,4.547,76.419,6.1947
67,4.6159,68.086,5.1989
68,4.6848,59.331,5.4795
69,4.7537,57.015,6.1634
70,4.8226,68.954,7.1705
71,4.8915,69.572,6.6694
72,4.9604,70.765,8.5456
73,5.0293,73.784,8.2004
74,5.0982,80.593,8.1544
