,position (um),Fat2dICD intensity,Abi intensity
0,0.0,21.983,1.69963
1,0.0689,21.354,1.7081
2,0.1378,15.889,1.65872
3,0.2067,12.537,1.47537
4,0.2756,8.773,1.82694
5,0.3445,8.042,1.70785
6,0.4134,7.057,1.73444
7,0.4823,9.074,1.6418
8,0.5512,12.687,2.01435
9,0.6201,15.218,1.6851
10,0.6889,14.951,2.34781
11,0.7578,17.69,2.54823
12,0.8267,17.262,2.32937
13,0.8956,19.07,2.67855
14,0.9645,19.202,2.69708
15,1.0334,16.521,2.12125
16,1.1023,15.823,2.62232
17,1.1712,17.292,2.12846
18,1.2401,15.924,2.49023
19,1.309,12.819,2.53751
20,1.3779,11.853,2.03816
21,1.4468,12.141,2.55752
22,1.5157,11.959,1.8107
23,1.5846,7.704,2.34711
24,1.6535,8.988,1.30348
25,1.7224,14.822,1.37472
26,1.7913,19.461,1.85439
27,1.8602,25.124,1.88923
28,1.929,28.297,1.40711
29,1.9979,27.693,0.98283
30,2.0668,23.691,1.65162
31,2.1357,16.947,1.86641
32,2.2046,11.189,1.39732
33,2.2735,7.802,1.56393
34,2.3424,5.889,1.37654
35,2.4113,4.046,1.31555
36,2.4802,3.983,1.59333
37,2.5491,4.326,1.23914
38,2.618,4.981,1.11332
39,2.6869,7.58,1.23703
40,2.7558,8.7,0.89832
41,2.8247,8.069,0.94148
42,2.8936,6.103,0.92079
43,2.9625,5.434,0.98523
44,3.0314,7.067,1.84081
45,3.1003,6.682,1.72251
46,3.1691,6.2,1.66791
47,3.238,6.31,1.54685
48,3.3069,7.208,1.547
49,3.3758,9.893,1.52872
50,3.4447,11.836,1.77795
51,3.5136,18.324,1.76778
52,3.5825,26.047,1.72378
53,3.6514,26.275,2.13776
54,3.7203,22.667,1.59598
55,3.7892,18.471,1.49953
56,3.8581,15.234,0.98964
57,3.927,15.877,1.1661
58,3.9959,14.891,1.01959
59,4.0648,12.922,1.25533
60,4.1337,13.986,1.38419
61,4.2026,11.117,1.40784
62,4.2715,8.832,1.36975
63,4.3404,8.077,1.56867
64,4.4092,6.089,1.82923
65,4.4781,6.042,2.02263
66,4.547,8.741,1.76606
67,4.6159,14.051,1.40636
68,4.6848,16.67,2.03438
69,4.7537,17.34,2.00135
70,4.8226,16.947,1.78134
71,4.8915,16.605,1.90921
72,4.9604,12.972,2.71042
73,5.0293,15.556,1.85246
74,5.0982,22.421,2.39213
75,5.1671,28.661,1.7523
76,5.236,28.76,1.50785
77,5.3049,25.659,2.09651
78,5.3738,24.245,1.66694
79,5.4427,20.461,2.05308
80,5.5116,18.631,1.1898
81,5.5805,18.823,1.59109
82,5.6493,19.284,2.37028
83,5.7182,19.511,1.91834
84,5.7871,18.891,2.18315
85,5.856,17.809,2.48224
86,5.9249,17.201,2.98697
87,5.9938,18.767,2.37934
88,6.0627,18.757,2.51349
89,6.1316,18.739,2.08962
90,6.2005,20.581,2.31488
91,6.2694,19.966,2.19624
92,6.3383,18.943,2.57826
93,6.4072,19.338,2.2376
94,6.4761,19.45,2.52434
95,6.545,18.525,2.22991
96,6.6139,22.926,2.42822
97,6.6828,23.836,2.58046
98,6.7517,25.741,2.00986
99,6.8206,25.213,1.81133
100,6.8894,25.353,1.8981
101,6.9583,23.501,2.0694
102,7.0272,25.438,2.45643
103,7.0961,20.445,2.3254
104,7.165,22.682,2.3666
105,7.2339,25.2,2.22885
106,7.3028,21.548,2.49793
107,7.3717,19.025,2.05448
108,7.4406,15.248,1.71841
109,7.5095,13.64,2.23789
110,7.5784,11.609,2.22819
111,7.6473,10.669,2.70082
112,7.7162,10.358,2.28328
113,7.7851,11.211,2.03711
114,7.854,12.182,1.43763
115,7.9229,13.444,2.12463
116,7.9918,13.996,2.2335
117,8.0607,16.386,1.59787
118,8.1296,17.3,2.67935
119,8.1984,20.376,1.83124
120,8.2673,17.711,2.37133
121,8.3362,19.847,2.83633
122,8.4051,19.103,2.52763
123,8.474,19.692,1.83604
124,8.5429,22.327,2.00531
125,8.6118,25.012,2.43163
126,8.6807,29.257,2.07202
127,8.7496,25.291,1.72695
128,8.8185,22.202,1.22603
129,8.8874,19.452,1.77479
130,8.9563,17.321,1.42453
131,9.0252,14.933,1.50635
132,9.0941,12.967,1.76588
133,9.163,12.278,1.15631
134,9.2319,11.558,1.31416
135,9.3008,11.881,1.31944
136,9.3697,13.022,1.77628
137,9.4385,13.259,1.04787
138,9.5074,14.759,1.42899
139,9.5763,14.481,1.80228
140,9.6452,16.604,2.08481
141,9.7141,21.407,2.1729
142,9.783,27.118,3.29369
143,9.8519,39.388,3.41782
144,9.9208,51.323,3.66774
145,9.9897,57.942,3.445
146,10.0586,53.811,3.84893
147,10.1275,41.493,3.04482
148,10.1964,26.317,2.20837
149,10.2653,19.82,2.5707
150,10.3342,18.732,2.269
