,position (um),Fat2dICD intensity,Abi intensity
0,0.0,20.415,2.79593
1,0.0689,21.187,3.61317
2,0.1378,21.788,3.00849
3,0.2067,17.444,1.39732
4,0.2756,14.782,1.98071
5,0.3445,15.838,2.6389
6,0.4134,21.677,1.99365
7,0.4823,17.043,1.47515
8,0.5512,18.613,1.59236
9,0.6201,24.425,2.19294
10,0.6889,26.587,1.83165
11,0.7578,26.975,1.95995
12,0.8267,20.003,1.97618
13,0.8956,17.028,1.74015
14,0.9645,15.324,1.91708
15,1.0334,27.08,2.21124
16,1.1023,44.6,2.71833
17,1.1712,66.112,3.04368
18,1.2401,79.545,3.14622
19,1.309,81.858,4.7463
20,1.3779,69.186,5.51335
21,1.4468,51.827,6.25351
22,1.5157,34.981,6.11169
23,1.5846,28.607,4.98273
24,1.6535,23.406,4.87395
25,1.7224,22.105,3.84668
26,1.7913,21.724,3.4636
27,1.8602,18.409,2.76067
28,1.929,15.971,2.28724
29,1.9979,17.316,2.51443
30,2.0668,17.644,1.62544
31,2.1357,16.34,1.16662
32,2.2046,11.97,1.41902
33,2.2735,9.787,2.03415
34,2.3424,11.37,2.36927
35,2.4113,10.969,3.15932
36,2.4802,7.009,2.84437
37,2.5491,5.915,2.96569
38,2.618,10.148,3.21126
39,2.6869,13.356,1.81192
40,2.7558,19.449,2.33063
41,2.8247,22.81,2.33651
42,2.8936,24.247,2.26199
43,2.9625,21.086,2.61514
44,3.0314,18.369,2.58957
45,3.1003,15.409,2.78427
46,3.1691,12.881,3.57952
47,3.238,14.468,3.37726
48,3.3069,16.17,2.46182
49,3.3758,15.546,1.70116
50,3.4447,13.451,1.43757
51,3.5136,15.772,2.01461
52,3.5825,16.401,2.70851
53,3.6514,16.338,3.03061
54,3.7203,16.034,3.39093
55,3.7892,13.877,2.347
56,3.8581,15.292,2.40839
57,3.927,14.565,2.18956
58,3.9959,14.327,1.88819
59,4.0648,14.945,1.58772
60,4.1337,13.909,3.0603
61,4.2026,14.018,2.37135
62,4.2715,15.238,1.52187
63,4.3404,16.628,1.87682
64,4.4092,12.957,2.47432
65,4.4781,14.674,2.26966
66,4.547,17.058,2.47207
67,4.6159,17.849,2.11725
68,4.6848,18.141,1.91765
69,4.7537,21.882,1.62485
70,4.8226,23.885,1.69249
71,4.8915,27.897,1.69502
72,4.9604,32.589,1.49257
73,5.0293,33.972,2.35652
74,5.0982,35.516,2.3371
75,5.1671,39.708,3.47197
76,5.236,48.142,4.22923
77,5.3049,56.191,4.91331
78,5.3738,65.138,5.45507
79,5.4427,56.618,6.19388
