,position (um),Fat2dICD intensity,Abi intensity
0,0.0,76.457,6.6558
1,0.0689,88.171,9.6466
2,0.1378,83.107,11.4444
3,0.2067,60.382,9.7207
4,0.2756,41.783,7.7873
5,0.3445,29.56,6.7948
6,0.4134,26.613,4.312
7,0.4823,20.841,3.1371
8,0.5512,14.635,2.1304
9,0.6201,11.517,2.0011
10,0.6889,11.637,1.7503
11,0.7578,8.123,1.7621
12,0.8267,6.238,1.9755
13,0.8956,4.64,1.7099
14,0.9645,6.723,1.7706
15,1.0334,8.299,2.2246
16,1.1023,9.009,2.85
17,1.1712,8.231,2.3795
18,1.2401,8.081,1.9468
19,1.309,6.433,1.7351
20,1.3779,4.837,1.9973
21,1.4468,5.59,1.9233
22,1.5157,9.693,2.5476
23,1.5846,10.859,2.2832
24,1.6535,12.194,2.234
25,1.7224,14.163,1.7686
26,1.7913,12.775,2.3995
27,1.8602,11.926,2.8399
28,1.929,13.35,2.7391
29,1.9979,17.323,2.7171
30,2.0668,19.026,2.1827
31,2.1357,18.306,3.3058
32,2.2046,20.732,3.2893
33,2.2735,19.142,3.2446
34,2.3424,18.095,3.1745
35,2.4113,19.174,2.9621
36,2.4802,23.071,2.5411
37,2.5491,24.627,2.9752
38,2.618,22.064,3.1521
39,2.6869,19.167,3.3313
40,2.7558,19.507,3.3248
41,2.8247,20.058,3.3238
42,2.8936,18.8,3.3998
43,2.9625,16.675,3.2232
44,3.0314,15.119,2.794
45,3.1003,17.387,3.4666
46,3.1691,18.872,2.8138
47,3.238,22.058,2.5796
48,3.3069,24.382,2.8977
49,3.3758,27.55,3.8021
50,3.4447,43.771,3.6828
51,3.5136,64.213,3.1171
52,3.5825,75.619,3.8034
53,3.6514,67.982,5.668
54,3.7203,48.815,5.9433
55,3.7892,37.097,5.4404
56,3.8581,28.008,3.5602
57,3.927,21.977,3.6474
58,3.9959,16.699,4.0588
59,4.0648,21.919,3.6929
60,4.1337,28.913,3.4696
61,4.2026,33.012,4.7503
62,4.2715,45.422,6.2183
63,4.3404,59.509,5.8969
64,4.4092,67.371,7.0108
65,4.4781,71.025,8.1
66,4.547,65.695,7.9006
67,4.6159,53.258,6.0385
68,4.6848,32.427,5.4277
69,4.7537,23.371,3.5978
70,4.8226,18.482,2.764
71,4.8915,14.088,1.8008
72,4.9604,9.375,1.2703
73,5.0293,8.149,2.3191
74,5.0982,6.039,2.2491
75,5.1671,7.662,2.6008
76,5.236,8.032,3.1444
77,5.3049,9.025,3.0482
78,5.3738,9.889,3.296
79,5.4427,12.934,2.8157
80,5.5116,11.882,2.475
81,5.5805,13.052,3.1056
82,5.6493,15.412,3.4636
83,5.7182,15.497,2.6486
84,5.7871,13.775,2.1535
85,5.856,15.309,2.6363
86,5.9249,14.438,2.2207
87,5.9938,14.882,2.1892
88,6.0627,12.115,2.4972
89,6.1316,9.723,2.7651
90,6.2005,8.059,2.0115
91,6.2694,6.006,2.3899
92,6.3383,4.365,2.8595
93,6.4072,4.224,1.7316
94,6.4761,4.802,1.1187
95,6.545,4.414,1.189
96,6.6139,4.698,1.4734
97,6.6828,6.747,1.5635
98,6.7517,8.679,1.7119
99,6.8206,9.281,1.2874
100,6.8894,9.813,1.5768
101,6.9583,10.566,1.254
102,7.0272,9.545,1.0241
103,7.0961,9.76,1.5755
104,7.165,9.528,1.3459
105,7.2339,9.99,2.0058
106,7.3028,10.548,1.7046
107,7.3717,9.75,1.9706
108,7.4406,6.946,1.9536
109,7.5095,7.19,2.2125
110,7.5784,5.976,2.5832
111,7.6473,5.869,1.6691
112,7.7162,7.51,2.1355
113,7.7851,7.784,2.1797
114,7.854,8.683,2.2481
115,7.9229,12.682,2.1212
116,7.9918,17.191,2.1349
117,8.0607,17.888,2.0208
118,8.1296,19.065,1.5691
119,8.1984,19.25,2.056
120,8.2673,17.685,2.1316
121,8.3362,14.972,2.0265
122,8.4051,12.497,1.2282
123,8.474,15.972,1.7524
124,8.5429,14.307,1.7166
125,8.6118,14.867,1.7971
126,8.6807,17.572,2.7584
127,8.7496,17.093,2.9231
128,8.8185,16.475,2.7671
129,8.8874,13.176,2.1292
130,8.9563,11.093,2.2903
131,9.0252,10.821,2.1324
132,9.0941,10.55,2.5024
133,9.163,10.808,2.4332
134,9.2319,15.243,2.7441
135,9.3008,27.276,3.1365
136,9.3697,42.004,4.3422
137,9.4385,49.641,6.4726
138,9.5074,38.687,7.6618
139,9.5763,28.739,6.5929
140,9.6452,21.84,5.6487
141,9.7141,18.113,3.474
142,9.783,13.711,3.2101
143,9.8519,11.754,3.4401
144,9.9208,10.818,2.5816
145,9.9897,12.669,2.1477
146,10.0586,8.726,2.0497
147,10.1275,9.678,2.1825
148,10.1964,6.177,1.4572
149,10.2653,6.87,1.5988
