,position (um),Fat2dICD intensity,Abi intensity
0,0.0,64.833,7.2205
1,0.0689,78.496,7.3186
2,0.1378,91.599,6.9333
3,0.2067,89.166,7.2359
4,0.2756,83.725,8.1405
5,0.3445,80.975,8.6788
6,0.4134,84.913,9.871
7,0.4823,91.694,9.8182
8,0.5512,88.291,9.7385
9,0.6201,82.475,10.2117
10,0.6889,66.278,9.7779
11,0.7578,49.886,10.4282
12,0.8267,40.921,9.266
13,0.8956,26.2,6.0729
14,0.9645,20.387,5.0459
15,1.0334,16.47,3.2918
16,1.1023,14.476,2.6561
17,1.1712,16.225,2.0042
18,1.2401,18.87,2.3167
19,1.309,22.318,2.4949
20,1.3779,19.423,2.646
21,1.4468,15.229,3.1691
22,1.5157,10.727,2.457
23,1.5846,8.895,2.0227
24,1.6535,6.717,2.9243
25,1.7224,5.87,1.8189
26,1.7913,5.424,1.7617
27,1.8602,7.613,1.8897
28,1.929,7.792,1.5617
29,1.9979,7.996,1.2018
30,2.0668,8.669,1.348
31,2.1357,10.522,1.1383
32,2.2046,9.594,1.4485
33,2.2735,8.423,1.3647
34,2.3424,10.083,1.2065
35,2.4113,9.459,1.4949
36,2.4802,8.075,1.875
37,2.5491,10.014,1.6592
38,2.618,8.962,1.1861
39,2.6869,10.16,1.691
40,2.7558,7.166,1.4304
41,2.8247,7.779,0.9111
42,2.8936,7.661,1.5072
43,2.9625,8.498,1.096
44,3.0314,10.315,1.8236
45,3.1003,11.754,1.7014
46,3.1691,17.162,1.8216
47,3.238,19.131,2.8337
48,3.3069,20.753,2.2474
49,3.3758,23.567,2.2622
50,3.4447,21.679,1.8989
51,3.5136,19.267,2.5026
52,3.5825,17.505,2.5665
53,3.6514,16.044,2.8953
54,3.7203,13.124,2.5566
55,3.7892,9.633,2.1705
56,3.8581,11.121,1.928
57,3.927,11.92,1.5186
58,3.9959,20.966,2.3497
59,4.0648,26.522,2.6837
60,4.1337,27.013,3.4136
61,4.2026,20.505,3.8181
62,4.2715,18.833,4.1859
63,4.3404,15.888,3.7457
64,4.4092,14.255,2.4951
65,4.4781,15.863,1.8364
66,4.547,18.171,2.0687
67,4.6159,18.227,2.1958
68,4.6848,18.463,2.3761
69,4.7537,14.284,2.0433
70,4.8226,10.302,2.247
71,4.8915,10.416,1.5682
72,4.9604,11.687,1.663
73,5.0293,16.065,1.6936
74,5.0982,16.286,1.9161
75,5.1671,15.444,2.031
76,5.236,15.155,2.4518
77,5.3049,13.807,2.1038
78,5.3738,12.501,1.1683
79,5.4427,10.319,1.2262
80,5.5116,9.516,1.1503
81,5.5805,8.584,1.5283
82,5.6493,9.728,2.0484
83,5.7182,11.43,1.5106
84,5.7871,11.22,0.9149
85,5.856,11.507,0.6885
86,5.9249,11.057,0.5947
87,5.9938,10.667,1.3238
88,6.0627,11.529,1.3647
89,6.1316,11.673,1.4373
90,6.2005,15.208,1.5477
91,6.2694,13.52,1.9154
92,6.3383,13.098,2.1566
93,6.4072,13.789,1.7701
94,6.4761,14.455,2.6977
95,6.545,20.025,2.8831
96,6.6139,23.904,3.1871
97,6.6828,24.649,3.2479
98,6.7517,24.055,3.6318
99,6.8206,26.64,3.3692
100,6.8894,26.482,3.0598
101,6.9583,29.005,3.3663
102,7.0272,35.541,3.3951
103,7.0961,47.861,4.2583
104,7.165,61.206,5.6987
105,7.2339,70.289,6.6748
106,7.3028,69.909,6.1741
107,7.3717,65.369,6.3495
108,7.4406,55.011,5.8638
109,7.5095,43.494,4.1664
110,7.5784,30.461,2.6129
111,7.6473,20.717,1.8863
112,7.7162,18.842,1.6821
113,7.7851,16.513,1.8803
114,7.854,15.287,1.5942
115,7.9229,16.258,1.1058
116,7.9918,17.239,0.974
117,8.0607,13.601,0.596
118,8.1296,11.391,0.9388
119,8.1984,12.689,0.8583
120,8.2673,13.1,1.21
121,8.3362,12.938,1.4924
122,8.4051,11.99,1.2384
123,8.474,8.911,1.2172
124,8.5429,9.235,1.0569
125,8.6118,6.88,0.4772
126,8.6807,6.142,0.9916
127,8.7496,7.331,1.0546
128,8.8185,4.825,0.713
129,8.8874,4.749,0.4579
130,8.9563,4.168,0.8181
131,9.0252,3.971,1.2731
