,position (um),Fat2dICD intensity,Abi intensity
0,0.0,27.498,4.0406
1,0.0689,25.1,4.1251
2,0.1378,25.169,4.2143
3,0.2067,26.194,4.2633
4,0.2756,22.117,4.4456
5,0.3445,15.123,3.2214
6,0.4134,12.822,3.1552
7,0.4823,10.836,2.7332
8,0.5512,13.905,2.1764
9,0.6201,24.08,2.1217
10,0.6889,32.067,1.9518
11,0.7578,30.385,1.5106
12,0.8267,29.647,1.9381
13,0.8956,29.132,1.7202
14,0.9645,33.41,2.3831
15,1.0334,31.788,3.9178
16,1.1023,21.26,3.4884
17,1.1712,11.609,3.7016
18,1.2401,10.4,3.2654
19,1.309,7.082,2.7173
20,1.3779,6.546,1.7208
21,1.4468,8.566,2.2044
22,1.5157,8.757,2.2641
23,1.5846,10.834,1.9003
24,1.6535,10.793,1.912
25,1.7224,11.617,1.5869
26,1.7913,9.432,1.1029
27,1.8602,6.112,1.3716
28,1.929,5.605,1.1468
29,1.9979,5.534,1.32
30,2.0668,8.477,2.0178
31,2.1357,10.797,2.0378
32,2.2046,9.182,1.6311
33,2.2735,8.083,2.4256
34,2.3424,6.762,2.1617
35,2.4113,8.105,2.1286
36,2.4802,11.085,2.0026
37,2.5491,16.634,2.3617
38,2.618,17.075,2.385
39,2.6869,17.836,2.2061
40,2.7558,16.268,1.6522
41,2.8247,14.788,2.4529
42,2.8936,13.178,2.2635
43,2.9625,14.663,2.0338
44,3.0314,19.046,2.1754
45,3.1003,19.78,2.0525
46,3.1691,22.01,2.7483
47,3.238,23.971,3.6329
48,3.3069,27.152,4.2852
49,3.3758,28.101,3.7674
50,3.4447,34.753,4.226
51,3.5136,34.911,4.778
52,3.5825,33.362,5.3589
53,3.6514,32.964,5.5893
54,3.7203,31.025,5.3639
55,3.7892,29.926,5.2997
56,3.8581,25.36,4.0445
57,3.927,20.664,4.4609
58,3.9959,18.107,3.5251
59,4.0648,16.212,3.9212
60,4.1337,14.218,4.3328
61,4.2026,17.436,4.4456
62,4.2715,18.775,4.8097
63,4.3404,23.274,4.9099
64,4.4092,26.546,5.211
65,4.4781,30.031,3.857
66,4.547,28.333,3.6145
67,4.6159,26.888,3.241
68,4.6848,19.299,3.4954
69,4.7537,14.213,2.9261
70,4.8226,11.974,2.6395
71,4.8915,10.904,2.0957
72,4.9604,12.796,2.9075
73,5.0293,17.637,2.7478
74,5.0982,26.921,4.2916
75,5.1671,30.551,4.0955
76,5.236,29.105,3.866
77,5.3049,23.399,3.6706
78,5.3738,18.214,2.3996
79,5.4427,14.441,1.5508
80,5.5116,10.377,1.3968
81,5.5805,8.818,1.3457
82,5.6493,8.745,1.2265
83,5.7182,8.953,1.0052
84,5.7871,7.078,1.2006
85,5.856,6.095,0.91
86,5.9249,4.837,1.1881
87,5.9938,4.881,1.111
88,6.0627,4.783,1.2469
89,6.1316,5.69,1.3191
90,6.2005,6.463,1.7108
91,6.2694,5.262,2.1354
92,6.3383,6.353,1.604
93,6.4072,6.349,1.9057
94,6.4761,4.708,1.3787
95,6.545,5.219,1.536
96,6.6139,5.65,1.4558
97,6.6828,5.347,1.1859
98,6.7517,5.022,1.3404
99,6.8206,5.713,1.7632
100,6.8894,7.794,1.6244
101,6.9583,8.314,2.0324
102,7.0272,8.212,2.2918
103,7.0961,9.947,2.5799
104,7.165,12.893,2.1361
105,7.2339,20.037,3.2712
106,7.3028,22.847,2.8383
107,7.3717,23.593,2.8238
108,7.4406,27.046,2.9711
109,7.5095,30.359,2.9966
110,7.5784,25.997,3.0856
111,7.6473,24.578,3.299
112,7.7162,27.001,3.5638
113,7.7851,25.998,3.7116
114,7.854,17.436,2.7393
115,7.9229,12.127,3.6304
116,7.9918,12.275,3.0278
117,8.0607,11.32,3.087
118,8.1296,8.165,3.7494
119,8.1984,6.828,2.6277
120,8.2673,5.389,2.5841
