,position (um),Fat2dICD intensity,Abi intensity
0,0.0,64.679,4.9492
1,0.069,67.898,4.513
2,0.138,68.634,6.0768
3,0.207,73.225,6.8829
4,0.276,82.843,5.926
5,0.344,77.642,5.6688
6,0.413,80.476,5.403
7,0.482,77.479,6.4742
8,0.551,66.786,4.6011
9,0.62,56.594,4.3335
10,0.689,47.128,4.468
11,0.758,44.322,4.2177
12,0.827,43.299,4.1752
13,0.896,49.842,4.9244
14,0.965,56.627,4.4364
15,1.033,65.67,5.5719
16,1.102,65.797,6.0329
17,1.171,50.17,6.3013
18,1.24,32.347,4.6739
19,1.309,26.956,4.1691
20,1.378,24.813,3.376
21,1.447,23.904,2.9399
22,1.516,24.412,2.6332
23,1.585,24.28,2.4753
24,1.653,27.001,2.1112
25,1.722,21.917,2.5875
26,1.791,15.355,1.6159
27,1.86,11.67,1.4638
28,1.929,10.637,1.748
29,1.998,7.856,2.0317
30,2.067,6.933,1.5336
31,2.136,5.745,0.9912
32,2.205,7.975,0.9208
33,2.274,11.424,1.243
34,2.342,13.479,1.736
35,2.411,14.514,1.8957
36,2.48,14.65,2.0791
37,2.549,12.936,2.4883
38,2.618,9.266,1.6745
39,2.687,6.696,1.7917
40,2.756,6.938,1.6742
41,2.825,6.743,1.7402
42,2.894,5.817,1.6575
43,2.962,5.819,1.6924
44,3.031,6.313,2.2179
45,3.1,7.398,1.6632
46,3.169,9.443,1.7738
47,3.238,10.808,1.6773
48,3.307,15.098,1.751
49,3.376,15.881,1.1467
50,3.445,11.356,1.2119
51,3.514,12.237,1.0268
52,3.583,13.435,0.692
53,3.651,15.383,0.7857
54,3.72,14.753,0.9624
55,3.789,13.508,0.9927
56,3.858,11.556,1.0423
57,3.927,16.23,1.1651
58,3.996,22.542,2.29
59,4.065,24.94,2.5718
60,4.134,21.653,1.7303
61,4.203,19.129,1.3164
62,4.271,12.493,1.0873
63,4.34,8.132,1.3422
64,4.409,6.872,0.9768
65,4.478,6.597,0.865
66,4.547,7.728,1.2136
67,4.616,8.661,1.004
68,4.685,7.027,1.5525
69,4.754,6.113,1.1236
70,4.823,4.751,0.8675
71,4.892,5.345,1.2626
72,4.96,4.693,1.7305
73,5.029,4.577,1.6684
74,5.098,6.406,1.7333
75,5.167,7.494,1.7129
76,5.236,10.658,1.5986
77,5.305,11.944,1.8991
78,5.374,10.797,2.2797
79,5.443,8.235,1.589
80,5.512,7.644,2.4175
81,5.58,6.149,2.4914
82,5.649,6.605,2.0904
83,5.718,6.142,1.485
84,5.787,6.188,2.0179
85,5.856,7.478,1.8822
86,5.925,6.957,1.7452
87,5.994,5.596,2.1748
88,6.063,5.747,1.5705
89,6.132,6.555,1.6971
90,6.201,4.189,1.7011
91,6.269,4.542,1.6312
92,6.338,5.213,1.3524
93,6.407,6.284,1.0853
94,6.476,4.551,1.6916
95,6.545,7.592,2.1253
96,6.614,9.834,1.842
97,6.683,9.716,2.2576
98,6.752,10.405,2.232
99,6.821,11.876,2.8288
100,6.889,12.821,3.1293
101,6.958,15.156,3.0807
102,7.027,19.199,2.4425
103,7.096,21.891,2.9194
104,7.165,24.748,3.1097
105,7.234,30.358,3.195
106,7.303,39.596,4.0774
107,7.372,45.916,5.5713
108,7.441,39.524,5.1985
109,7.51,35.36,5.4161
110,7.578,31.994,5.7477
111,7.647,32.139,5.5953
112,7.716,33.414,4.8365
113,7.785,35.656,3.6319
114,7.854,39.941,4.2627
115,7.923,39.169,4.162
116,7.992,40.363,4.0064
117,8.061,43.075,3.8784
118,8.13,47.312,5.0393
119,8.198,46.911,5.5228
120,8.267,47.857,4.933
121,8.336,47.997,4.4042
122,8.405,47.638,4.8754
123,8.474,50.736,5.3146
124,8.543,55.44,4.4968
125,8.612,58.634,3.7087
126,8.681,48.814,3.8793
127,8.75,39.317,3.753
128,8.818,37.174,3.4465
129,8.887,35.942,3.3502
130,8.956,32.324,3.2694
131,9.025,32.258,3.3257
132,9.094,31.248,3.1721
133,9.163,31.091,4.4305
134,9.232,31.509,4.2618
135,9.301,27.937,3.5546
136,9.37,23.505,2.4994
137,9.439,21.1,2.3673
138,9.507,16.663,1.897
139,9.576,15.903,1.8306
140,9.645,13.628,1.4449
141,9.714,16.965,2.031
142,9.783,21.426,2.9861
143,9.852,24.839,4.0386
144,9.921,26.545,4.4118
145,9.99,30.036,4.8442
146,10.059,27.572,4.3603
147,10.127,24.247,3.8884
148,10.196,25.142,3.1354
149,10.265,23.654,3.318
150,10.334,24.496,2.896
151,10.403,18.674,3.1541
152,10.472,16.861,2.5997
153,10.541,20.407,1.9575
154,10.61,22.002,2.1913
155,10.679,15.377,2.1779
156,10.748,11.996,2.2488
157,10.816,11.255,2.4141
158,10.885,12.431,1.9541
159,10.954,15.4,1.7281
160,11.023,14.783,2.2473
161,11.092,15.611,2.3765
162,11.161,16.589,2.4249
163,11.23,10.729,2.2488
164,11.299,12.112,1.5343
165,11.368,11.466,1.1097
166,11.436,11.274,1.742
167,11.505,12.782,1.1996
168,11.574,9.951,1.4797
169,11.643,9.543,1.6124
170,11.712,8.114,1.9614
171,11.781,8.674,1.3327
172,11.85,8.758,1.8301
173,11.919,7.19,1.8442
174,11.988,7.229,1.2963
175,12.057,8.078,1.6382
176,12.125,8.274,1.6651
177,12.194,13.758,2.4001
178,12.263,15.196,2.225
179,12.332,18.848,2.168
180,12.401,20.129,2.209
181,12.47,19.001,2.5077
182,12.539,16.147,2.2163
183,12.608,13.928,1.55
184,12.677,15.81,2.2169
185,12.745,15.335,2.0455
186,12.814,20.873,3.1633
187,12.883,22.273,3.0518
188,12.952,25.899,2.826
189,13.021,27.235,3.3134
190,13.09,28.583,2.5662
191,13.159,27.307,3.23
192,13.228,20.094,3.5644
193,13.297,21.055,3.1537
194,13.366,19.649,2.905
195,13.434,19.887,3.9826
196,13.503,22.619,3.1935
197,13.572,26.348,3.4774
198,13.641,32.531,3.9819
199,13.71,40.41,4.3007
200,13.779,40.716,3.9236
201,13.848,47.067,3.4474
202,13.917,46.507,2.9361
203,13.986,40.084,3.3227
204,14.054,30.108,2.8958
205,14.123,24.116,2.665
206,14.192,19.128,2.218
207,14.261,16.279,2.4244
208,14.33,22.138,2.0711
209,14.399,29.091,1.8862
210,14.468,33.447,2.9225
211,14.537,32.795,2.6526
212,14.606,25.363,2.3662
213,14.675,19.185,2.2122
214,14.743,15.117,2.753
215,14.812,12.502,3.0205
216,14.881,9.659,2.4279
217,14.95,6.965,1.5844
218,15.019,8.318,1.7764
219,15.088,9.36,1.5116
220,15.157,9.534,1.5468
221,15.226,9.781,1.7009
222,15.295,10.843,1.6571
223,15.363,11.065,1.5039
224,15.432,10.68,2.2082
225,15.501,11.611,2.4606
226,15.57,11.49,1.8601
227,15.639,11.9,1.6751
228,15.708,13.423,2.4615
229,15.777,12.8,1.9342
230,15.846,12.011,1.9705
231,15.915,13.718,2.1207
232,15.984,14.93,1.8811
233,16.052,16.802,1.8243
234,16.121,18.297,2.3286
235,16.19,17.966,2.8882
236,16.259,17.785,3.1401
237,16.328,19.854,2.9929
238,16.397,22.659,2.6258
239,16.466,24.302,2.7325
240,16.535,20.959,3.4499
241,16.604,19.94,3.1394
242,16.672,13.408,3.0853
243,16.741,11.377,2.7877
244,16.81,10.031,2.0394
245,16.879,12.666,3.3238
246,16.948,18.168,3.6077
247,17.017,23.857,5.0237
248,17.086,28.155,4.5067
249,17.155,29.598,4.2372
250,17.224,32.871,3.9832
251,17.293,33.585,5.7453
252,17.361,35.981,4.8927
253,17.43,55.926,5.8997
254,17.499,90.968,7.9306
255,17.568,121.339,9.5145
256,17.637,111.457,8.2103
257,17.706,89.607,8.575
258,17.775,71.726,6.1924
259,17.844,50.154,4.6718
260,17.913,33.914,3.486
261,17.981,31.099,3.3549
262,18.05,25.221,3.7122
