,position (um),Fat2dICD intensity,Abi intensity
0,0.0,36.391,3.23545
1,0.0689,46.484,3.6013
2,0.1378,49.629,3.06006
3,0.2067,52.637,3.21122
4,0.2756,48.99,3.2123
5,0.3445,34.181,2.69726
6,0.4134,22.079,2.71365
7,0.4823,17.468,2.93441
8,0.5512,15.321,2.76256
9,0.6201,12.009,1.80895
10,0.6889,12.25,1.57949
11,0.7578,13.315,1.99425
12,0.8267,14.545,2.02537
13,0.8956,17.378,1.90645
14,0.9645,21.869,1.76356
15,1.0334,21.337,2.05588
16,1.1023,20.263,1.95343
17,1.1712,17.611,1.82
18,1.2401,15.719,1.47609
19,1.309,17.394,1.47169
20,1.3779,14.32,1.1657
21,1.4468,15.991,1.33214
22,1.5157,16.425,1.27833
23,1.5846,16.457,1.33418
24,1.6535,19.23,1.83336
25,1.7224,18.213,2.00032
26,1.7913,14.745,2.20591
27,1.8602,13.396,2.32135
28,1.929,13.17,2.39515
29,1.9979,16.332,1.29481
30,2.0668,12.877,1.28178
31,2.1357,10.307,1.21952
32,2.2046,9.579,1.31098
33,2.2735,7.709,1.03352
34,2.3424,8.682,1.75372
35,2.4113,7.296,1.35341
36,2.4802,10.01,1.33311
37,2.5491,8.809,1.0825
38,2.618,8.621,1.48924
39,2.6869,11.137,2.26115
40,2.7558,13.265,1.64536
41,2.8247,16.426,1.48153
42,2.8936,17.46,2.6464
43,2.9625,10.856,1.65101
44,3.0314,10.347,1.78146
45,3.1003,11.728,1.75829
46,3.1691,11.103,1.27958
47,3.238,7.24,1.31181
48,3.3069,5.513,1.5514
49,3.3758,5.126,0.99738
50,3.4447,4.888,1.27916
51,3.5136,4.184,0.82492
52,3.5825,4.346,0.68197
53,3.6514,4.6,1.26742
54,3.7203,5.186,1.91066
55,3.7892,6.395,1.61431
56,3.8581,6.651,1.60159
57,3.927,4.669,1.31683
58,3.9959,3.21,0.62635
59,4.0648,4.415,0.74894
60,4.1337,4.846,1.08135
61,4.2026,5.456,1.52396
62,4.2715,4.99,1.17517
63,4.3404,5.546,1.23617
