,position (um),Fat2 intensity,Abi intensity
0,0.0,17.5203,2.30944
1,0.069,19.6274,3.20693
2,0.138,26.8172,3.37918
3,0.207,38.5085,4.48776
4,0.276,41.9143,4.42652
5,0.344,33.248,5.58445
6,0.413,28.8275,4.37886
7,0.482,23.6112,4.31666
8,0.551,18.4548,2.88079
9,0.62,16.434,3.19556
10,0.689,17.1139,3.56352
11,0.758,13.6087,3.24088
12,0.827,8.3287,2.74047
13,0.896,7.5048,2.50692
14,0.965,8.1266,2.66603
15,1.033,7.1492,1.26687
16,1.102,4.664,1.41388
17,1.171,3.5488,1.2982
18,1.24,1.9183,0.81869
19,1.309,2.2248,1.69494
20,1.378,5.058,1.7748
21,1.447,7.1889,1.33485
22,1.516,6.606,1.46867
23,1.585,6.8881,1.43861
24,1.653,4.248,1.09247
25,1.722,2.362,1.12367
26,1.791,3.8736,1.14828
27,1.86,6.8674,1.13766
28,1.929,13.667,1.61936
29,1.998,28.2661,1.59917
30,2.067,38.8979,2.07844
31,2.136,41.7591,3.19435
32,2.205,44.4825,3.2401
33,2.274,35.5619,2.72861
34,2.342,27.344,2.99442
35,2.411,21.6848,2.63774
36,2.48,14.3795,1.85878
37,2.549,11.1387,1.19425
38,2.618,11.8396,1.57826
39,2.687,11.1681,1.71998
40,2.756,10.8668,1.76618
41,2.825,12.2985,1.87338
42,2.894,9.6872,1.8198
43,2.962,7.0877,1.6601
44,3.031,5.1742,1.82248
45,3.1,4.9658,0.78793
46,3.169,7.4849,1.09355
47,3.238,9.4644,1.2357
48,3.307,12.979,1.33303
49,3.376,13.5412,1.53323
50,3.445,12.107,1.79588
51,3.514,10.3393,1.95694
52,3.583,12.822,1.86386
53,3.651,10.0838,2.40501
54,3.72,11.7001,2.32249
55,3.789,11.3051,1.616
56,3.858,11.7116,2.45539
57,3.927,11.521,2.37244
58,3.996,10.391,2.17868
59,4.065,8.028,1.59835
60,4.134,6.9818,1.41356
61,4.203,6.0072,1.24612
62,4.271,6.6567,1.55531
63,4.34,6.9621,1.48175
64,4.409,7.2539,1.95461
65,4.478,11.6667,1.98446
66,4.547,15.5883,1.90028
67,4.616,16.3132,1.67998
68,4.685,19.873,1.90752
69,4.754,21.476,3.25523
70,4.823,21.4953,3.95866
71,4.892,27.0607,4.41916
72,4.96,24.084,3.84754
73,5.029,17.6758,2.89421
74,5.098,13.4038,2.32013
75,5.167,9.686,2.39662
76,5.236,8.2347,2.19673
77,5.305,6.5297,1.86442
78,5.374,6.9887,1.98946
79,5.443,5.2176,1.23191
80,5.512,5.4498,0.84009
81,5.58,3.328,1.14272
82,5.649,3.4007,1.04568
83,5.718,4.0665,0.78565
84,5.787,4.9887,0.88075
85,5.856,8.9307,0.80451
86,5.925,12.3209,1.99044
87,5.994,14.1268,2.45025
88,6.063,15.0678,2.78197
89,6.132,13.867,2.8572
90,6.201,11.3087,2.55654
91,6.269,8.7012,3.03426
92,6.338,11.1685,3.51954
93,6.407,13.4252,2.89993
94,6.476,14.5587,2.12023
95,6.545,11.8567,3.31982
96,6.614,7.4009,4.128
97,6.683,7.0965,3.83409
98,6.752,6.6049,2.98379
99,6.821,10.0492,2.52748
