,position (um),Fat2 intensity,Abi intensity
189,13.0211,4.8679,1.79383
190,13.09,4.9873,0.99307
191,13.1588,5.2463,1.08532
192,13.2277,5.2448,1.41086
193,13.2966,5.732,1.34102
194,13.3655,9.8362,1.40299
195,13.4344,13.2938,1.61222
196,13.5033,5.6116,2.0236
197,13.5722,5.873,1.52945
198,13.6411,8.7224,1.49165
199,13.71,8.0727,1.24683
200,13.7789,5.3763,1.02644
201,13.8478,4.1968,1.56726
202,13.9167,4.5257,1.4532
203,13.9856,3.3854,1.32085
204,14.0545,4.1841,1.30561
205,14.1234,4.9897,0.84666
206,14.1923,6.2594,1.14774
207,14.2612,7.3471,1.6559
208,14.3301,6.7519,1.13617
209,14.399,7.8754,0.99954
210,14.4678,7.9783,1.48999
211,14.5367,7.7475,1.81774
212,14.6056,4.9165,1.59053
213,14.6745,4.2476,0.61653
214,14.7434,2.5143,0.96738
215,14.8123,1.5635,1.04353
216,14.8812,0.8107,0.79394
217,14.9501,0.7887,1.1166
218,15.019,0.7038,1.50003
219,15.0879,0.7147,1.088
220,15.1568,0.6817,1.05398
221,15.2257,0.8442,1.19543
222,15.2946,0.81,0.96685
223,15.3635,1.5106,1.21325
224,15.4324,0.6373,1.07791
225,15.5013,1.3372,1.23009
226,15.5702,0.7452,1.63587
227,15.6391,1.0596,1.09667
228,15.7079,0.9235,1.02428
229,15.7768,0.731,1.23585
230,15.8457,1.0461,0.907
231,15.9146,2.2546,1.20353
232,15.9835,2.0096,1.47729
233,16.0524,3.0192,1.1458
234,16.1213,3.9107,0.83666
235,16.1902,4.349,1.199
236,16.2591,5.2376,1.45622
237,16.328,5.9005,2.19978
238,16.3969,6.6675,1.75316
239,16.4658,8.2333,2.29286
240,16.5347,11.6736,3.45639
241,16.6036,19.1499,3.87186
242,16.6725,24.0189,3.99
243,16.7414,21.328,4.39157
244,16.8103,13.3944,3.17276
245,16.8792,8.581,2.12573
246,16.948,6.3677,2.2542
247,17.0169,6.8509,2.76333
248,17.0858,7.7591,2.54307
249,17.1547,10.9801,2.41181
250,17.2236,10.6199,1.86239
251,17.2925,7.7936,1.67372
252,17.3614,3.8101,1.82945
253,17.4303,2.5294,2.14844
254,17.4992,1.4295,1.67047
255,17.5681,1.8111,1.67438
256,17.637,2.0044,1.46947
257,17.7059,1.4549,0.98669
