X0,Y0,X1,Y1,X2,Y2,X3,Y3
5.4427,3.01553,5.4427,0.7023,5.4427,1.43664,5.4427,3.80847
5.5116,2.42585,5.5116,0.7108,5.5116,2.15811,5.5116,3.70615
5.5805,2.61186,5.5805,0.9623,5.5805,2.29793,5.5805,2.14615
5.6493,2.14804,5.6493,0.6743,5.6493,3.35607,5.6493,1.17669
5.7182,2.03094,5.7182,0.1925,5.7182,3.59783,5.7182,0.82577
5.7871,1.77477,5.7871,0.7034,5.7871,4.08764,5.7871,0.89414
5.8560,1.96849,5.8560,0.3117,5.8560,4.42738,5.8560,1.14418
5.9249,1.81759,5.9249,0.7946,5.9249,3.62341,5.9249,2.22803
5.9938,1.71180,5.9938,1.4540,5.9938,3.08944,5.9938,1.60148
6.0627,1.77211,6.0627,1.7313,6.0627,3.34413,6.0627,1.58020
6.1316,2.77568,6.1316,1.8356,6.1316,2.52108,6.1316,1.46486
6.2005,2.23427,6.2005,2.4137,6.2005,2.23444,6.2005,1.40848
6.2694,2.12954,6.2694,2.9877,6.2694,1.77107,6.2694,0.78820
6.3383,1.63665,6.3383,4.1193,6.3383,1.81700,6.3383,1.05566
6.4072,1.86223,6.4072,4.2797,6.4072,1.63396,6.4072,1.51901
6.4761,2.23502,6.4761,3.2977,6.4761,1.90047,6.4761,0.73833
6.5450,1.76159,6.5450,3.0094,6.5450,1.64593,6.5450,0.75184
6.6139,1.59408,6.6139,3.0057,6.6139,1.37632,6.6139,0.54393
6.6828,2.52545,6.6828,4.1429,6.6828,1.34633,6.6828,0.64124
6.7517,2.34213,6.7517,3.6058,6.7517,1.95910,6.7517,0.87625
6.8206,3.40432,6.8206,3.1515,6.8206,2.02626,6.8206,0.69451
6.8895,2.65241,6.8895,2.4509,6.8895,3.09620,6.8895,0.63731
6.9583,3.42125,6.9583,2.1296,6.9583,2.82137,6.9583,0.60252
7.0272,3.61864,7.0272,1.9158,7.0272,2.54951,7.0272,0.87019
7.0961,2.48969,7.0961,2.4848,7.0961,2.29054,7.0961,1.85179
7.1650,3.01367,7.1650,2.1288,7.1650,2.31255,7.1650,2.82044
7.2339,2.74430,7.2339,2.0643,7.2339,3.17094,7.2339,3.84814
7.3028,2.42092,7.3028,2.3838,7.3028,4.33272,7.3028,4.42644
7.3717,2.11330,7.3717,2.5942,7.3717,4.94277,7.3717,4.48403
7.4406,2.13079,7.4406,2.7917,7.4406,4.91471,7.4406,3.94967
7.5095,1.92296,7.5095,3.3875,7.5095,3.79648,7.5095,2.59778
7.5784,2.38601,7.5784,3.9538,7.5784,3.45728,7.5784,3.32768
7.6473,1.90881,7.6473,3.0659,7.6473,2.19300,7.6473,2.47354
7.7162,2.84234,7.7162,4.6865,7.7162,1.11095,7.7162,1.70960
7.7851,2.47556,7.7851,5.5600,7.7851,1.29154,7.7851,2.79935
7.8540,2.00511,7.8540,6.8578,7.8540,2.02052,7.8540,3.37120
7.9229,2.25722,7.9229,6.8562,7.9229,1.79561,7.9229,2.92673
7.9918,2.40355,7.9918,6.0894,7.9918,1.69205,7.9918,3.05110
