X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
0.0000,10.7031,0.0000,19.3700,0.0000,14.1514,0.0000,5.8042,0.0000,23.6985,0.00000,17.1924,0.0000,8.0474
0.0689,8.0618,0.0689,24.8186,0.0689,19.4736,0.0689,5.0341,0.0689,41.6226,0.06889,24.2554,0.0689,5.3330
0.1378,9.4876,0.1378,32.6926,0.1378,24.1021,0.1378,5.4426,0.1378,56.6911,0.13779,19.8442,0.1378,3.2352
0.2067,12.8842,0.2067,34.2877,0.2067,28.6864,0.2067,5.8146,0.2067,60.7791,0.20668,13.3968,0.2067,3.2035
0.2756,10.3433,0.2756,35.5601,0.2756,40.8984,0.2756,7.3951,0.2756,53.0056,0.27558,9.4535,0.2756,3.7646
0.3445,7.7171,0.3445,32.9030,0.3445,60.6323,0.3445,10.1872,0.3445,35.7318,0.34447,7.8958,0.3445,3.1403
0.4134,6.2053,0.4134,28.8233,0.4134,75.3340,0.4134,11.2311,0.4134,25.6395,0.41337,8.3857,0.4134,4.1285
0.4823,5.9978,0.4823,24.0336,0.4823,76.3176,0.4823,9.4051,0.4823,18.2352,0.48226,10.3630,0.4823,3.5099
0.5512,8.6495,0.5512,13.6939,0.5512,60.3024,0.5512,9.5056,0.5512,11.1852,0.55116,10.3903,0.5512,4.6811
0.6201,12.0862,0.6201,10.2009,0.6201,41.4177,0.6201,9.3515,0.6201,12.0124,0.62005,10.7011,0.6201,3.9653
0.6889,15.0388,0.6889,11.8020,0.6889,32.0433,0.6889,13.1948,0.6889,10.7239,0.68894,14.4083,0.6889,3.9217
0.7578,12.7601,0.7578,12.2469,0.7578,22.1592,0.7578,17.9666,0.7578,14.5173,0.75784,13.2872,0.7578,3.5270
0.8267,10.9754,0.8267,10.3942,0.8267,20.5247,0.8267,19.8747,0.8267,16.3118,0.82673,9.0909,0.8267,1.6980
0.8956,8.5812,0.8956,5.7012,0.8956,16.3883,0.8956,17.8411,0.8956,15.4130,0.89563,7.8579,0.8956,4.0218
0.9645,5.2935,0.9645,4.6478,0.9645,17.1555,0.9645,15.8850,0.9645,16.9607,0.96452,6.1943,0.9645,2.6662
1.0334,4.0650,1.0334,2.3792,1.0334,19.4318,1.0334,13.3001,1.0334,17.7311,1.03342,4.3660,1.0334,5.9392
1.1023,5.5192,1.1023,2.1564,1.1023,26.1363,1.1023,11.1235,1.1023,15.3839,1.10231,4.0045,1.1023,8.9344
1.1712,6.0343,1.1712,0.6693,1.1712,32.6233,1.1712,9.6278,1.1712,10.2182,1.17121,2.4955,1.1712,11.6868
1.2401,5.2663,1.2401,1.0056,1.2401,35.5566,1.2401,10.1556,1.2401,8.3080,1.24010,5.0183,1.2401,14.4241
1.3090,3.4033,1.3090,1.1684,1.3090,30.9554,1.3090,11.4322,1.3090,5.5578,1.30900,6.0484,1.3090,17.2266
1.3779,3.3738,1.3779,1.4852,1.3779,24.5161,1.3779,12.3853,1.3779,7.3072,1.37789,8.6429,1.3779,17.2274
1.4468,2.2600,1.4468,3.1285,1.4468,19.2574,1.4468,9.5658,1.4468,8.7016,1.44678,6.8531,1.4468,19.7184
1.5157,2.1336,1.5157,1.9139,1.5157,13.9542,1.5157,8.1104,1.5157,8.9678,1.51568,4.4368,1.5157,20.5993
1.5846,1.5712,1.5846,3.2140,1.5846,11.5887,1.5846,5.1305,1.5846,8.8826,1.58457,3.3267,1.5846,23.5998
1.6535,0.7404,1.6535,2.4273,1.6535,11.6077,1.6535,6.7154,1.6535,6.0750,1.65347,3.6280,1.6535,24.3698
1.7224,0.9990,1.7224,3.0554,1.7224,12.4792,1.7224,8.0039,1.7224,4.2435,1.72236,4.0038,1.7224,22.2090
1.7913,1.1377,1.7913,2.2841,1.7913,12.8253,1.7913,9.5209,1.7913,5.7639,1.79126,5.9980,1.7913,13.3982
1.8602,1.2322,1.8602,3.2153,1.8602,15.5060,1.8602,7.8828,1.8602,7.2781,1.86015,8.0758,1.8602,8.2348
1.9290,1.4017,1.9290,7.3816,1.9290,13.5278,1.9290,5.8095,1.9290,11.7991,1.92905,7.3084,1.9290,7.2969
1.9979,1.2261,1.9979,8.8470,1.9979,9.6289,1.9979,3.7234,1.9979,12.6009,1.99794,7.7315,1.9979,7.3786
2.0668,1.4733,2.0668,10.5870,2.0668,5.5493,2.0668,4.5629,2.0668,8.7003,2.06683,9.1137,2.0668,6.7805
2.1357,1.7566,2.1357,10.7988,2.1357,7.9193,2.1357,3.6151,2.1357,7.6262,2.13573,10.4770,2.1357,7.6799
2.2046,1.6831,2.2046,11.1141,2.2046,11.5340,2.2046,3.3957,2.2046,7.2040,2.20462,12.0565,2.2046,13.5148
2.2735,2.5327,2.2735,11.2593,2.2735,11.3367,2.2735,5.8416,2.2735,7.8622,2.27352,17.2951,2.2735,21.8152
2.3424,4.2221,2.3424,17.1588,2.3424,10.9302,2.3424,8.6583,2.3424,8.7325,2.34241,24.2810,2.3424,18.9645
2.4113,6.3110,2.4113,28.3402,2.4113,9.5705,2.4113,14.0309,2.4113,6.5070,2.41131,33.9620,2.4113,17.8189
2.4802,6.7265,2.4802,44.0628,2.4802,4.3327,2.4802,21.7382,2.4802,2.9506,2.48020,35.3964,2.4802,15.0943
2.5491,8.1234,2.5491,62.5620,2.5491,2.1537,2.5491,25.4030,2.5491,3.3599,2.54910,31.8054,2.5491,9.3929
2.6180,6.3420,2.6180,66.9135,2.6180,1.3248,2.6180,27.6947,2.6180,5.8145,2.61799,26.3259,2.6180,11.5650
2.6869,4.9036,2.6869,65.2573,2.6869,1.3563,2.6869,25.2360,2.6869,9.0937,2.68689,19.1552,2.6869,12.9195
2.7558,3.6335,2.7558,61.3353,2.7558,1.7191,2.7558,16.5120,2.7558,8.1846,2.75578,19.0903,2.7558,16.8175
2.8247,4.3557,2.8247,62.2191,2.8247,3.3420,2.8247,6.3050,2.8247,6.8108,2.82467,17.6495,2.8247,26.2234
2.8936,5.4878,2.8936,53.8678,2.8936,6.2301,2.8936,2.4492,2.8936,8.7675,2.89357,18.9229,2.8936,33.5974
2.9625,4.6710,2.9625,41.8336,2.9625,11.7853,2.9625,1.6454,2.9625,8.2949,2.96246,22.1750,2.9625,40.9322
3.0314,4.7667,3.0314,26.4441,3.0314,16.6127,3.0314,2.1343,3.0314,6.7256,3.03136,19.5194,3.0314,39.9511
3.1003,2.4833,3.1003,20.4605,3.1003,15.8048,3.1003,1.3761,3.1003,6.4916,3.10025,16.2111,3.1003,30.4912
3.1691,2.8082,3.1691,15.2044,3.1691,12.0193,3.1691,1.5839,3.1691,6.1785,3.16915,13.9009,3.1691,26.2324
3.2380,3.8402,3.2380,15.4006,3.2380,9.1863,3.2380,1.0605,3.2380,5.4832,3.23804,9.7957,3.2380,23.8020
3.3069,4.3304,3.3069,16.4698,3.3069,7.6004,3.3069,0.7226,3.3069,8.7115,3.30694,8.8016,3.3069,23.4699
3.3758,7.2720,3.3758,14.4131,3.3758,6.8252,3.3758,0.6831,3.3758,10.3658,3.37583,7.6075,3.3758,27.9439
3.4447,7.7770,3.4447,13.5335,3.4447,4.3798,3.4447,1.1441,3.4447,12.7005,3.44473,6.0853,3.4447,25.9608
3.5136,6.4908,3.5136,17.0877,3.5136,2.7531,3.5136,0.7933,3.5136,13.5043,3.51362,5.9580,3.5136,25.3264
3.5825,7.7724,3.5825,20.9476,3.5825,2.4200,3.5825,0.9710,3.5825,13.6775,3.58251,6.3863,3.5825,24.5206
3.6514,7.7326,3.6514,26.2235,3.6514,2.7400,3.6514,1.5899,3.6514,13.2780,3.65141,7.6571,3.6514,22.8838
3.7203,7.3254,3.7203,28.6211,3.7203,1.5559,3.7203,1.9997,3.7203,12.4736,3.72030,8.4704,3.7203,24.5328
3.7892,8.3143,3.7892,20.5127,3.7892,1.2738,3.7892,2.4083,3.7892,9.8993,3.78920,8.6716,3.7892,25.8198
3.8581,10.4416,3.8581,16.3312,3.8581,0.8040,3.8581,3.1236,3.8581,9.6710,3.85809,8.6429,3.8581,22.7289
3.9270,16.5531,3.9270,14.1684,3.9270,0.8484,3.9270,3.1175,3.9270,9.7231,3.92699,9.4027,3.9270,24.0344
3.9959,28.6322,3.9959,9.6381,3.9959,0.4853,3.9959,5.6504,3.9959,7.6581,3.99588,10.9018,3.9959,25.6183
4.0648,49.9333,4.0648,6.4118,4.0648,0.8467,4.0648,4.9787,4.0648,7.7971,4.06478,12.5852,4.0648,24.2186
4.1337,77.5903,4.1337,4.9318,4.1337,1.4397,4.1337,4.5437,4.1337,5.8164,4.13367,14.6583,4.1337,23.4418
4.2026,94.5903,4.2026,2.4753,4.2026,2.0603,4.2026,4.4685,4.2026,7.2606,4.20256,17.9193,4.2026,21.9817
4.2715,83.2079,4.2715,2.4736,4.2715,2.3310,4.2715,5.1685,4.2715,7.1365,4.27146,12.7403,4.2715,19.0047
4.3404,51.3062,4.3404,3.3381,4.3404,1.5198,4.3404,5.3319,4.3404,5.8628,4.34035,12.4565,4.3404,13.9329
4.4092,26.2971,4.4092,4.8925,4.4092,2.1185,4.4092,4.5534,4.4092,6.2231,4.40925,13.0221,4.4092,9.4342
4.4781,17.7758,4.4781,7.8340,4.4781,2.9405,4.4781,6.9665,4.4781,5.3727,4.47814,11.0901,4.4781,11.1345
4.5470,11.4488,4.5470,13.5377,4.5470,3.0820,4.5470,5.0957,4.5470,7.5575,4.54704,8.7230,4.5470,14.5677
4.6159,9.5106,4.6159,11.3961,4.6159,3.1882,4.6159,6.5407,4.6159,11.0517,4.61593,7.1277,4.6159,14.3649
4.6848,8.4356,4.6848,10.3013,4.6848,3.3539,4.6848,6.1343,4.6848,17.9666,4.68483,7.6781,4.6848,20.4184
4.7537,8.0772,4.7537,6.5047,4.7537,4.5724,4.7537,7.9892,4.7537,25.7854,4.75372,8.0738,4.7537,18.1901
4.8226,7.2817,4.8226,4.1581,4.8226,5.3424,4.8226,8.5543,4.8226,24.8878,4.82262,7.8965,4.8226,14.5827
