X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
4.3404,4.4312,4.3404,4.6399,4.3404,4.9071,4.3404,3.6381,4.3404,2.4500
4.4092,4.6654,4.4092,3.7835,4.4092,2.7951,4.4092,3.3120,4.4092,1.8233
4.4781,3.9099,4.4781,2.4101,4.4781,3.3177,4.4781,2.9894,4.4781,2.4477
4.5470,4.2606,4.5470,2.8380,4.5470,4.1381,4.5470,3.0441,4.5470,1.7496
4.6159,4.4143,4.6159,2.8695,4.6159,5.1135,4.6159,3.2327,4.6159,3.2404
4.6848,3.5984,4.6848,3.2515,4.6848,8.4275,4.6848,3.2006,4.6848,3.2260
4.7537,1.5240,4.7537,2.1580,4.7537,15.5262,4.7537,3.5412,4.7537,4.5060
4.8226,1.6513,4.8226,4.9139,4.8226,19.6506,4.8226,3.8022,4.8226,3.8106
4.8915,2.0049,4.8915,12.2701,4.8915,21.1574,4.8915,4.7525,4.8915,4.4638
4.9604,1.7571,4.9604,18.5498,4.9604,17.1057,4.9604,4.7683,4.9604,3.6774
5.0293,3.4845,5.0293,15.9145,5.0293,14.5255,5.0293,7.0103,5.0293,4.2810
5.0982,4.7168,5.0982,11.2852,5.0982,9.2607,5.0982,9.8662,5.0982,6.2020
5.1671,5.8226,5.1671,6.6893,5.1671,6.1404,5.1671,11.2285,5.1671,7.6424
5.2360,8.6069,5.2360,4.1845,5.2360,4.2400,5.2360,12.5347,5.2360,4.8256
5.3049,7.8779,5.3049,3.7827,5.3049,4.1353,5.3049,8.2170,5.3049,4.4448
5.3738,4.5782,5.3738,4.5405,5.3738,5.8584,5.3738,5.0020,5.3738,2.7930
5.4427,4.1215,5.4427,5.4682,5.4427,10.8998,5.4427,4.0113,5.4427,1.8279
5.5116,5.0039,5.5116,5.1332,5.5116,9.7214,5.5116,4.3068,5.5116,2.9906
5.5805,5.6866,5.5805,3.5120,5.5805,4.9630,5.5805,6.7663,5.5805,4.2646
5.6493,5.1992,5.6493,5.4985,5.6493,3.9155,5.6493,8.6806,5.6493,7.9145
5.7182,4.1197,5.7182,4.4501,5.7182,4.8029,5.7182,8.9022,5.7182,9.5333
5.7871,3.1465,5.7871,3.8355,5.7871,6.3622,5.7871,9.2939,5.7871,14.5122
5.8560,3.3651,5.8560,3.7916,5.8560,10.0804,5.8560,7.2794,5.8560,16.8008
5.9249,4.3083,5.9249,5.4822,5.9249,11.1931,5.9249,6.7498,5.9249,20.2580
5.9938,6.6662,5.9938,5.9924,5.9938,13.3765,5.9938,7.3535,5.9938,22.5039
6.0627,9.7932,6.0627,10.3035,6.0627,15.4613,6.0627,7.1480,6.0627,26.6525
6.1316,13.2135,6.1316,11.6667,6.1316,17.0158,6.1316,7.5037,6.1316,35.0398
