X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
3.1003,1.90412,3.1003,4.04395,3.1003,2.57631,3.1003,1.03860,3.1003,1.60861,3.10025,1.42369,3.1003,3.55708
3.1691,1.72418,3.1691,3.55374,3.1691,2.26079,3.1691,0.75193,3.1691,1.76226,3.16915,1.96311,3.1691,3.26117
3.2380,1.52590,3.2380,2.91571,3.2380,2.32503,3.2380,0.92375,3.2380,1.83338,3.23804,2.14161,3.2380,2.29979
3.3069,0.94766,3.3069,2.71267,3.3069,2.91996,3.3069,1.30546,3.3069,1.35376,3.30694,2.60228,3.3069,1.66403
3.3758,1.20404,3.3758,3.35096,3.3758,1.88913,3.3758,1.67954,3.3758,1.68290,3.37583,2.86862,3.3758,2.07729
3.4447,1.12266,3.4447,3.11658,3.4447,1.65342,3.4447,1.52561,3.4447,1.59740,3.44473,2.82032,3.4447,1.57353
3.5136,1.36306,3.5136,2.65230,3.5136,1.62466,3.5136,1.46754,3.5136,1.47980,3.51362,1.66496,3.5136,2.18207
3.5825,1.16776,3.5825,3.70919,3.5825,1.74656,3.5825,1.88192,3.5825,1.89224,3.58251,1.59272,3.5825,2.81183
3.6514,1.09092,3.6514,3.36714,3.6514,1.89046,3.6514,1.44543,3.6514,1.81775,3.65141,1.44905,3.6514,4.30772
3.7203,1.62299,3.7203,2.83449,3.7203,1.69165,3.7203,1.82569,3.7203,2.32064,3.72030,1.91058,3.7203,3.87088
3.7892,2.00970,3.7892,2.80594,3.7892,1.67827,3.7892,1.49234,3.7892,2.06946,3.78920,1.49501,3.7892,4.12718
3.8581,1.74543,3.8581,2.80848,3.8581,1.81017,3.8581,2.28258,3.8581,2.06111,3.85809,1.59316,3.8581,3.67267
3.9270,2.27523,3.9270,3.36884,3.9270,0.85021,3.9270,2.14523,3.9270,1.76439,3.92699,1.24843,3.9270,3.67394
3.9959,3.55609,3.9959,3.97663,3.9959,1.31763,3.9959,2.30708,3.9959,1.51380,3.99588,2.16193,3.9959,3.33746
4.0648,4.61073,4.0648,2.97103,4.0648,1.87544,4.0648,2.20051,4.0648,1.58658,4.06478,2.21012,4.0648,3.17784
4.1337,6.30329,4.1337,1.88668,4.1337,1.53707,4.1337,1.62185,4.1337,0.97618,4.13367,2.10833,4.1337,2.89221
4.2026,6.89563,4.2026,1.71462,4.2026,1.37878,4.2026,1.48605,4.2026,1.48796,4.20256,1.45128,4.2026,2.62909
4.2715,6.38155,4.2715,2.69786,4.2715,1.35294,4.2715,1.32155,4.2715,1.64663,4.27146,1.44284,4.2715,2.96754
4.3404,4.02559,4.3404,2.44630,4.3404,1.44476,4.3404,1.23115,4.3404,1.73311,4.34035,1.75733,4.3404,3.35780
4.4092,2.90039,4.4092,3.52586,4.4092,2.15005,4.4092,1.63659,4.4092,2.05187,4.40925,1.53751,4.4092,3.05857
4.4781,2.32453,4.4781,3.45859,4.4781,1.52056,4.4781,1.58734,4.4781,1.75810,4.47814,1.55091,4.4781,2.99607
4.5470,2.32099,4.5470,3.51236,4.5470,2.05591,4.5470,1.93051,4.5470,1.75482,4.54704,1.80151,4.5470,3.38618
4.6159,2.50312,4.6159,3.07521,4.6159,1.51164,4.6159,3.73293,4.6159,1.82472,4.61593,1.67835,4.6159,3.27968
4.6848,2.19483,4.6848,3.36573,4.6848,1.77510,4.6848,2.69373,4.6848,3.96653,4.68483,1.46649,4.6848,4.68659
4.7537,2.37062,4.7537,3.05160,4.7537,1.66723,4.7537,2.31253,4.7537,3.69873,4.75372,1.87986,4.7537,3.48004
4.8226,1.88640,4.8226,3.01001,4.8226,2.01797,4.8226,2.71243,4.8226,3.46010,4.82262,2.51892,4.8226,2.79826
4.8915,1.43917,4.8915,2.81643,4.8915,2.50756,4.8915,2.87717,4.8915,4.51470,4.89151,2.45159,4.8915,2.29177
4.9604,1.49899,4.9604,2.67588,4.9604,2.17673,4.9604,3.44711,4.9604,3.56836,4.96040,2.41303,4.9604,2.05484
5.0293,0.76995,5.0293,2.62386,5.0293,2.98495,5.0293,3.77057,5.0293,2.38139,5.02930,2.01447,5.0293,2.08073
5.0982,1.02019,5.0982,1.72192,5.0982,3.20376,5.0982,3.48609,5.0982,1.69817,5.09819,2.43317,5.0982,2.30302
5.1671,0.96089,5.1671,1.78581,5.1671,3.47554,5.1671,4.18299,5.1671,1.38392,5.16709,3.00991,5.1671,1.68058
5.2360,0.88195,5.2360,1.48812,5.2360,3.84655,5.2360,5.12436,5.2360,1.64696,5.23598,2.50782,5.2360,2.50137
5.3049,1.14179,5.3049,1.53704,5.3049,4.28500,5.3049,4.68251,5.3049,2.36958,5.30488,1.51753,5.3049,3.40964
5.3738,1.35388,5.3738,1.42968,5.3738,4.68271,5.3738,3.74729,5.3738,2.22718,5.37377,1.30457,5.3738,3.48259
5.4427,2.06524,5.4427,1.41144,5.4427,4.57320,5.4427,3.90631,5.4427,2.12673,5.44267,1.32342,5.4427,2.90734
5.5116,1.50120,5.5116,1.54702,5.5116,3.59480,5.5116,3.02845,5.5116,2.15931,5.51156,1.71109,5.5116,2.15266
5.5805,1.59308,5.5805,1.84323,5.5805,3.88255,5.5805,2.30486,5.5805,2.95139,5.58045,2.05906,5.5805,2.14440
5.6493,1.70171,5.6493,1.49659,5.6493,2.68714,5.6493,2.68749,5.6493,2.02782,5.64935,1.20475,5.6493,1.73537
5.7182,1.77647,5.7182,2.24152,5.7182,1.54221,5.7182,2.72599,5.7182,1.74514,5.71824,2.02654,5.7182,1.67509
5.7871,2.18570,5.7871,2.43432,5.7871,1.87526,5.7871,2.51220,5.7871,3.03224,5.78714,2.70618,5.7871,1.53158
5.8560,1.79707,5.8560,1.53155,5.8560,2.36020,5.8560,1.96404,5.8560,2.19819,5.85603,2.81472,5.8560,3.38245
5.9249,2.23766,5.9249,1.42164,5.9249,2.60426,5.9249,2.09649,5.9249,2.28456,5.92493,2.70444,5.9249,3.07509
5.9938,2.85506,5.9938,1.27585,5.9938,3.04574,5.9938,2.43301,5.9938,2.33075,5.99382,2.34146,5.9938,2.97770
6.0627,2.26432,6.0627,1.33724,6.0627,3.26186,6.0627,2.90258,6.0627,2.20156,6.06272,2.37993,6.0627,3.24433
6.1316,2.64904,6.1316,0.91129,6.1316,3.69218,6.1316,4.30742,6.1316,3.15244,6.13161,2.34728,6.1316,2.68778
6.2005,2.48055,6.2005,1.61230,6.2005,3.09418,6.2005,4.22802,6.2005,2.66717,6.20050,2.39268,6.2005,3.14960
6.2694,1.71464,6.2694,1.55798,6.2694,3.41995,6.2694,4.76857,6.2694,3.44597,6.26940,2.89877,6.2694,2.40859
6.3383,1.76540,6.3383,2.07676,6.3383,2.97415,6.3383,3.55338,6.3383,3.57566,6.33829,4.30524,6.3383,2.22064
6.4072,2.04180,6.4072,3.32989,6.4072,2.94012,6.4072,3.04444,6.4072,3.99262,6.40719,4.02995,6.4072,2.40110
6.4761,2.48907,6.4761,3.58886,6.4761,2.77677,6.4761,2.35363,6.4761,4.05636,6.47608,4.66694,6.4761,2.50017
6.5450,2.84257,6.5450,2.86588,6.5450,2.84736,6.5450,2.02230,6.5450,4.52642,6.54498,4.72311,6.5450,3.05154
6.6139,3.12875,6.6139,2.80197,6.6139,2.76959,6.6139,1.68197,6.6139,4.44758,6.61387,2.93494,6.6139,1.89053
6.6828,4.22336,6.6828,2.42049,6.6828,2.23263,6.6828,1.50300,6.6828,4.06143,6.68277,2.75288,6.6828,1.46608
6.7517,3.52109,6.7517,2.62073,6.7517,2.47183,6.7517,0.71875,6.7517,3.80131,6.75166,2.59591,6.7517,1.51407
6.8206,2.69052,6.8206,2.51682,6.8206,1.92656,6.8206,0.66992,6.8206,2.81008,,,6.8206,1.02662
6.8895,3.00122,6.8895,1.75286,6.8895,2.29668,6.8895,1.02081,6.8895,3.07519,,,6.8895,1.01662
6.9583,3.50692,6.9583,2.21536,6.9583,2.34793,6.9583,1.26468,6.9583,3.25275,,,6.9583,1.87199
7.0272,3.09087,7.0272,1.92435,7.0272,2.30768,7.0272,0.86851,7.0272,3.11775,,,7.0272,1.83287
7.0961,3.90154,7.0961,1.51590,7.0961,2.34541,7.0961,1.22801,7.0961,2.31813,,,7.0961,2.09045
7.1650,4.23036,7.1650,1.64228,7.1650,2.51163,7.1650,1.85686,7.1650,2.07781,,,7.1650,2.75604
7.2339,3.48376,7.2339,2.04417,7.2339,2.95952,7.2339,1.39600,7.2339,1.70510,,,7.2339,2.78498
7.3028,2.91988,7.3028,1.57725,7.3028,2.88771,7.3028,1.46952,7.3028,2.45639,,,7.3028,2.63064
7.3717,3.03082,7.3717,2.19586,7.3717,2.31900,7.3717,1.88216,7.3717,1.69332,,,7.3717,2.64651
7.4406,3.40260,7.4406,3.14479,7.4406,3.21267,7.4406,2.06663,7.4406,2.01756,,,7.4406,1.59189
7.5095,3.57944,7.5095,3.77927,7.5095,3.25513,7.5095,1.43326,7.5095,1.47656,,,7.5095,1.60381
7.5784,3.76607,7.5784,4.40732,7.5784,2.52699,7.5784,1.78814,7.5784,1.89473,,,7.5784,1.70226
7.6473,4.42934,7.6473,4.62216,7.6473,1.86134,7.6473,2.28904,7.6473,1.78267,,,7.6473,1.56859
7.7162,3.71218,7.7162,4.80238,7.7162,1.31339,7.7162,2.09659,7.7162,2.23650,,,7.7162,0.96789
7.7851,2.76682,7.7851,4.68917,7.7851,1.71202,7.7851,2.12511,7.7851,2.24030,,,7.7851,0.95660
7.8540,3.52870,7.8540,3.29461,7.8540,1.44907,7.8540,2.68950,7.8540,2.60079,,,7.8540,0.86875
7.9229,3.72156,7.9229,2.80007,7.9229,1.39284,7.9229,2.09765,7.9229,2.29003,,,7.9229,1.00079
7.9918,3.11481,7.9918,1.33316,7.9918,1.26750,7.9918,1.67918,7.9918,1.31858,,,7.9918,1.24612
8.0607,2.91098,8.0607,1.82440,8.0607,1.19677,8.0607,1.15102,8.0607,0.98166,,,8.0607,1.38392
8.1296,3.11205,8.1296,1.91594,8.1296,1.69255,8.1296,1.00476,8.1296,1.21869,,,8.1296,1.30967
8.1984,2.76103,8.1984,1.84295,8.1984,1.15365,8.1984,1.29504,8.1984,1.41563,,,8.1984,2.26693
8.2673,2.01069,8.2673,1.52704,8.2673,1.26098,8.2673,1.48847,8.2673,1.81405,,,8.2673,1.69571
8.3362,2.60218,8.3362,2.73591,8.3362,1.23713,8.3362,1.46901,8.3362,2.31523,,,8.3362,1.37975
8.4051,2.37101,8.4051,2.54343,8.4051,0.96586,8.4051,1.65375,8.4051,3.18822,,,8.4051,1.58346
8.4740,2.23170,8.4740,2.90700,8.4740,1.31003,8.4740,1.65792,8.4740,2.29101,,,8.4740,1.66627
8.5429,1.80324,8.5429,3.78144,8.5429,1.75216,8.5429,1.18067,8.5429,2.86158,,,8.5429,1.70957
8.6118,1.39655,8.6118,2.54232,8.6118,1.38498,8.6118,1.29517,8.6118,2.91435,,,8.6118,1.85539
8.6807,1.24922,8.6807,1.93345,8.6807,1.47439,8.6807,0.90626,8.6807,2.43360,,,8.6807,1.71840
8.7496,0.78009,8.7496,2.40260,8.7496,2.09745,8.7496,0.91956,8.7496,1.77010,,,8.7496,1.69951
8.8185,1.71384,8.8185,2.01747,8.8185,1.67343,8.8185,0.72515,8.8185,1.83510,,,8.8185,2.48862
8.8874,1.37742,8.8874,1.35552,8.8874,1.51393,8.8874,0.96436,8.8874,1.20568,,,8.8874,2.02724
8.9563,1.47632,8.9563,2.08759,8.9563,1.28052,8.9563,1.09907,8.9563,1.23386,,,8.9563,2.35836
