X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.0000,2.86952,0.0000,6.5429,0.0000,6.2484,0.0000,6.61056,0.0000,3.16858
0.0689,3.29289,0.0689,7.7495,0.0689,7.4306,0.0689,6.22653,0.0689,3.00073
0.1378,3.24771,0.1378,9.6750,0.1378,8.2298,0.1378,6.13608,0.1378,4.12652
0.2067,3.63522,0.2067,9.8599,0.2067,7.9643,0.2067,6.31826,0.2067,4.31907
0.2756,3.31098,0.2756,8.6275,0.2756,7.4486,0.2756,4.57882,0.2756,5.42256
0.3445,2.77357,0.3445,7.6490,0.3445,5.8064,0.3445,2.96252,0.3445,5.14388
0.4134,2.63545,0.4134,5.8231,0.4134,4.6178,0.4134,2.22558,0.4134,4.39890
0.4823,2.09395,0.4823,3.9522,0.4823,3.4514,0.4823,2.53359,0.4823,4.04792
0.5512,1.80353,0.5512,2.1138,0.5512,2.2456,0.5512,1.26607,0.5512,2.93942
0.6201,1.46911,0.6201,2.6537,0.6201,1.1979,0.6201,1.96436,0.6201,3.06198
0.6889,1.24927,0.6889,2.3404,0.6889,0.9032,0.6889,1.91886,0.6889,2.40834
0.7578,1.07070,0.7578,2.6613,0.7578,1.0519,0.7578,2.42375,0.7578,3.20866
0.8267,1.47602,0.8267,2.1721,0.8267,0.7375,0.8267,2.67177,0.8267,3.53015
0.8956,1.56585,0.8956,2.0358,0.8956,1.2406,0.8956,2.20301,0.8956,4.13869
0.9645,1.70383,0.9645,1.1562,0.9645,1.9286,0.9645,3.05599,0.9645,4.01959
1.0334,1.57749,1.0334,1.5294,1.0334,1.3261,1.0334,2.89942,1.0334,4.38391
1.1023,2.03048,1.1023,1.7032,1.1023,2.1069,1.1023,2.11486,1.1023,4.42143
1.1712,2.37477,1.1712,0.8807,1.1712,2.9506,1.1712,1.76373,1.1712,4.92566
1.2401,2.06820,1.2401,0.8465,1.2401,2.8255,1.2401,2.00134,1.2401,4.23443
1.3090,1.84042,1.3090,1.1637,1.3090,3.6515,1.3090,2.14826,1.3090,3.07669
1.3779,1.64728,1.3779,1.4173,1.3779,4.3461,1.3779,2.71578,1.3779,2.50507
1.4468,1.95293,1.4468,0.8953,1.4468,4.0068,1.4468,3.03470,1.4468,2.40056
1.5157,1.29443,1.5157,0.7939,1.5157,3.4840,1.5157,3.26156,1.5157,3.04138
1.5846,2.01763,1.5846,0.7653,1.5846,2.6876,1.5846,3.14120,1.5846,3.40071
1.6535,1.64754,1.6535,1.2741,1.6535,2.9274,1.6535,3.82689,1.6535,3.24378
1.7224,1.48245,1.7224,0.9926,1.7224,3.0869,1.7224,3.94453,1.7224,4.19927
1.7913,1.79676,1.7913,1.7716,1.7913,2.3974,1.7913,3.95398,1.7913,5.53479
1.8602,2.27759,1.8602,1.8846,1.8602,1.9233,1.8602,3.36133,1.8602,6.36027
1.9290,2.49694,1.9290,2.3430,1.9290,2.2208,1.9290,3.91739,1.9290,6.60507
1.9979,3.56991,1.9979,1.7404,1.9979,3.1720,1.9979,4.34691,1.9979,6.68939
2.0668,4.33185,2.0668,1.5473,2.0668,2.6508,2.0668,4.40984,2.0668,7.03262
2.1357,3.29185,2.1357,1.4570,2.1357,2.0289,2.1357,3.02115,2.1357,5.51037
2.2046,1.95507,2.2046,2.0386,2.2046,2.1264,2.2046,2.34554,2.2046,3.57680
2.2735,1.62011,2.2735,1.8129,2.2735,2.6745,2.2735,2.14413,2.2735,3.27933
2.3424,1.63130,2.3424,0.8857,2.3424,2.2418,2.3424,2.85884,2.3424,2.40907
2.4113,1.65625,2.4113,1.1384,2.4113,1.8476,2.4113,3.29065,2.4113,1.10285
2.4802,1.71527,2.4802,0.9039,2.4802,2.0467,2.4802,2.98180,2.4802,0.85993
2.5491,1.62988,2.5491,0.8136,2.5491,1.2628,2.5491,2.28890,2.5491,1.33603
2.6180,2.00634,2.6180,0.7034,2.6180,2.6219,2.6180,2.53310,2.6180,1.74987
2.6869,1.80852,2.6869,1.1769,2.6869,2.4099,2.6869,2.00362,2.6869,1.85311
2.7558,2.29722,2.7558,0.8245,2.7558,1.5381,2.7558,2.01640,2.7558,1.74217
2.8247,3.38216,2.8247,0.8576,2.8247,2.3807,2.8247,1.82316,2.8247,2.03715
2.8936,3.37977,2.8936,0.9519,2.8936,2.2720,2.8936,1.75115,2.8936,1.48263
2.9625,2.03897,2.9625,1.0641,2.9625,2.2224,2.9625,2.19307,2.9625,1.29343
3.0314,2.41004,3.0314,1.2211,3.0314,1.7849,3.0314,2.74115,3.0314,0.99608
3.1003,3.26227,3.1003,1.1478,3.1003,2.1701,3.1003,3.09311,3.1003,1.07173
3.1691,3.89938,3.1691,1.0795,3.1691,1.5084,3.1691,2.90492,3.1691,1.67833
3.2380,3.69778,3.2380,1.0680,3.2380,1.0329,3.2380,2.42228,3.2380,2.35493
3.3069,3.90397,3.3069,0.9784,3.3069,1.3609,3.3069,2.68156,3.3069,2.56859
3.3758,3.34216,3.3758,1.1157,3.3758,1.8234,3.3758,2.65177,3.3758,4.04370
3.4447,2.60052,3.4447,0.9192,3.4447,1.5108,3.4447,1.58539,3.4447,2.70530
3.5136,2.27238,3.5136,1.0292,3.5136,2.2707,3.5136,1.64823,3.5136,3.10039
3.5825,1.53965,3.5825,1.3786,3.5825,1.4993,3.5825,1.98978,3.5825,2.68940
3.6514,1.52955,3.6514,1.8465,3.6514,2.1934,3.6514,2.55394,3.6514,1.57521
3.7203,1.94644,3.7203,2.2064,3.7203,2.1828,3.7203,2.13699,3.7203,1.73893
3.7892,1.60990,3.7892,0.9967,3.7892,2.6819,3.7892,2.09661,3.7892,1.18621
3.8581,2.05384,3.8581,0.7514,3.8581,2.3201,3.8581,2.26023,3.8581,1.71634
3.9270,2.05908,3.9270,0.8949,3.9270,2.4546,3.9270,2.02113,3.9270,1.69703
3.9959,2.21312,3.9959,1.4309,3.9959,2.0545,3.9959,1.94043,3.9959,1.07470
4.0648,2.68490,4.0648,1.2718,4.0648,2.8419,4.0648,1.68048,4.0648,1.73269
4.1337,3.02164,4.1337,1.3741,4.1337,3.3390,4.1337,1.87595,4.1337,2.00443
4.2026,4.38893,4.2026,1.2689,4.2026,3.9951,4.2026,2.03261,4.2026,1.30601
4.2715,5.21285,4.2715,1.1154,4.2715,3.8875,4.2715,2.61754,4.2715,1.05445
4.3404,5.44903,4.3404,0.8967,4.3404,4.6423,4.3404,2.96366,4.3404,0.79204
4.4092,5.85295,4.4092,1.0199,4.4092,4.5647,4.4092,2.11201,4.4092,1.11114
4.4781,5.94948,4.4781,0.8858,4.4781,4.7774,4.4781,1.70306,4.4781,1.58415
4.5470,5.89663,4.5470,2.6979,4.5470,5.4230,4.5470,0.89473,4.5470,1.68188
4.6159,4.69771,4.6159,5.0102,4.6159,5.3465,4.6159,1.13442,4.6159,1.46966
4.6848,3.87224,4.6848,6.8202,4.6848,6.3426,4.6848,1.80359,4.6848,1.55062
4.7537,2.93765,4.7537,8.7402,4.7537,5.6557,4.7537,1.55263,4.7537,1.27765
4.8226,2.25046,4.8226,8.5482,4.8226,4.4650,4.8226,1.51529,4.8226,1.72718
4.8915,1.86105,4.8915,5.7456,4.8915,3.9714,4.8915,1.73850,4.8915,2.07263
