X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
3.1003,5.5483,3.1003,5.6082,3.1003,7.0321,3.1003,11.5126,3.1003,1.2340,3.1003,9.4616,3.10025,7.5465
3.1691,3.3378,3.1691,6.6764,3.1691,11.4794,3.1691,15.7645,3.1691,1.0992,3.1691,12.1169,3.16915,8.3845
3.2380,3.1017,3.2380,7.4959,3.2380,16.2838,3.2380,18.6714,3.2380,0.9393,3.2380,10.4872,3.23804,9.2263
3.3069,4.7611,3.3069,8.4352,3.3069,21.2066,3.3069,20.2136,3.3069,1.5300,3.3069,8.4620,3.30694,14.3009
3.3758,4.1165,3.3758,10.7468,3.3758,17.5581,3.3758,24.9899,3.3758,1.3963,3.3758,7.9272,3.37583,27.1912
3.4447,4.8474,3.4447,11.3729,3.4447,10.9468,3.4447,27.8518,3.4447,2.4499,3.4447,6.0555,3.44473,41.0619
3.5136,4.1380,3.5136,9.4910,3.5136,4.3721,3.5136,31.9134,3.5136,3.3757,3.5136,4.0327,3.51362,62.4579
3.5825,2.1673,3.5825,6.9977,3.5825,3.7133,3.5825,25.4039,3.5825,2.6118,3.5825,3.8804,3.58251,64.9629
3.6514,2.2996,3.6514,6.4461,3.6514,3.2789,3.6514,15.1449,3.6514,2.9306,3.6514,3.5826,3.65141,51.6143
3.7203,2.3947,3.7203,5.8128,3.7203,1.9510,3.7203,11.1074,3.7203,3.7177,3.7203,3.9585,3.72030,39.4994
3.7892,3.6344,3.7892,5.0759,3.7892,0.9511,3.7892,11.9368,3.7892,5.1323,3.7892,2.5906,3.78920,28.7979
3.8581,5.2643,3.8581,6.0256,3.8581,0.8922,3.8581,13.6783,3.8581,5.0482,3.8581,2.6930,3.85809,23.5501
3.9270,8.1603,3.9270,5.9532,3.9270,1.1740,3.9270,11.3390,3.9270,2.1940,3.9270,2.4878,3.92699,15.0933
3.9959,10.7356,3.9959,7.4095,3.9959,1.8502,3.9959,6.9323,3.9959,2.0317,3.9959,1.5886,3.99588,10.0659
4.0648,11.8522,4.0648,13.4601,4.0648,2.1566,4.0648,5.1297,4.0648,2.1453,4.0648,1.0578,4.06478,9.6167
4.1337,9.0557,4.1337,23.6922,4.1337,3.0563,4.1337,5.0200,4.1337,3.3369,4.1337,0.7803,4.13367,8.7526
