X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
2.3424,22.3664,2.3424,11.9062,2.3424,4.1918,2.3424,6.1200,2.34241,10.6798,2.34241,13.8393,2.3424,16.3203,2.3424,31.5261,2.3424,5.9501
2.4113,26.0017,2.4113,9.6541,2.4113,5.6490,2.4113,4.1473,2.41131,7.6648,2.41131,19.2108,2.4113,12.3933,2.4113,28.1386,2.4113,4.6207
2.4802,26.5869,2.4802,9.8280,2.4802,4.9231,2.4802,4.2337,2.48020,5.0398,2.48020,19.2227,2.4802,10.2756,2.4802,20.2128,2.4802,5.0212
2.5491,19.2388,2.5491,11.9184,2.5491,3.0472,2.5491,6.2661,2.54910,5.8612,2.54910,15.4670,2.5491,7.4274,2.5491,14.3271,2.5491,8.3305
2.6180,18.4658,2.6180,13.0708,2.6180,3.1643,2.6180,6.4406,2.61799,3.5159,2.61799,13.5268,2.6180,6.7666,2.6180,9.6744,2.6180,6.0534
2.6869,19.1321,2.6869,12.3315,2.6869,4.3335,2.6869,4.1814,2.68689,3.8790,2.68689,8.9274,2.6869,8.7837,2.6869,6.9776,2.6869,5.1631
2.7558,20.7158,2.7558,6.6935,2.7558,7.3011,2.7558,3.1521,2.75578,4.3941,2.75578,7.6674,2.7558,15.5733,2.7558,5.3435,2.7558,4.2327
2.8247,22.2362,2.8247,5.5767,2.8247,10.5006,2.8247,1.6175,2.82467,7.6127,2.82467,9.6357,2.8247,25.9584,2.8247,4.8007,2.8247,3.3580
2.8936,21.4331,2.8936,4.8782,2.8936,9.3114,2.8936,2.0780,2.89357,12.2590,2.89357,12.1025,2.8936,40.0554,2.8936,7.3435,2.8936,1.3727
2.9625,18.8564,2.9625,3.8604,2.9625,7.2399,2.9625,5.1573,2.96246,11.9820,2.96246,14.7387,2.9625,50.7021,2.9625,8.6344,2.9625,1.5214
3.0314,20.1519,3.0314,3.7581,3.0314,6.5737,3.0314,7.2876,3.03136,9.5001,3.03136,14.1218,3.0314,47.1370,3.0314,7.5658,3.0314,3.4137
3.1003,23.1240,3.1003,1.8531,3.1003,7.7635,3.1003,8.0887,3.10025,11.2531,3.10025,13.8984,3.1003,32.3595,3.1003,6.0861,3.1003,7.3696
3.1691,25.7518,3.1691,2.6817,3.1691,9.9305,3.1691,11.3357,3.16915,11.6618,3.16915,11.6679,3.1691,20.2238,3.1691,5.0824,3.1691,11.6782
3.2380,27.9143,3.2380,1.1802,3.2380,12.0049,3.2380,15.1677,3.23804,13.4694,3.23804,9.1093,3.2380,10.7607,3.2380,6.0100,3.2380,17.4912
3.3069,24.2345,3.3069,1.8731,3.3069,10.0147,3.3069,13.5631,3.30694,14.1964,3.30694,10.7916,3.3069,9.1302,3.3069,4.5324,3.3069,24.6923
3.3758,18.3508,3.3758,2.3559,3.3758,6.4809,3.3758,9.1887,3.37583,14.3300,3.37583,10.4193,3.3758,10.6153,3.3758,3.8493,3.3758,32.1323
3.4447,13.5523,3.4447,3.4774,3.4447,3.2374,3.4447,5.2293,3.44473,15.1623,3.44473,8.7923,3.4447,13.6139,3.4447,3.9816,3.4447,36.4723
3.5136,10.5821,3.5136,5.0338,3.5136,3.0594,3.5136,2.2402,3.51362,17.7838,3.51362,13.1575,3.5136,21.6604,3.5136,5.5785,3.5136,34.4671
