X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
3.5825,11.2782,3.5825,4.0074,3.5825,5.0187,3.5825,30.0223,3.5825,4.5646,3.5825,7.2063
3.6514,15.2417,3.6514,4.2028,3.6514,4.0584,3.6514,16.2402,3.6514,5.0783,3.6514,8.9283
3.7203,15.5729,3.7203,5.6265,3.7203,4.4008,3.7203,10.1181,3.7203,5.2951,3.7203,14.4911
3.7892,19.3766,3.7892,6.0600,3.7892,3.9888,3.7892,7.3399,3.7892,5.4319,3.7892,14.1443
3.8581,26.0149,3.8581,8.0981,3.8581,3.6560,3.8581,4.7157,3.8581,7.8596,3.8581,12.6531
3.9270,28.2417,3.9270,11.5590,3.9270,3.3168,3.9270,4.7741,3.9270,13.0069,3.9270,9.8772
3.9959,22.2951,3.9959,14.9096,3.9959,4.2166,3.9959,4.1913,3.9959,20.4152,3.9959,5.3386
4.0648,18.5428,4.0648,13.6220,4.0648,7.7424,4.0648,5.1173,4.0648,27.4203,4.0648,3.1604
4.1337,22.4102,4.1337,11.2687,4.1337,11.8089,4.1337,8.2209,4.1337,34.4906,4.1337,2.6110
4.2026,41.9671,4.2026,8.9924,4.2026,11.2047,4.2026,10.9593,4.2026,39.3180,4.2026,3.1760
4.2715,56.0917,4.2715,10.1501,4.2715,9.9591,4.2715,22.9059,4.2715,47.6628,4.2715,2.9859
4.3404,48.6922,4.3404,12.4607,4.3404,8.0325,4.3404,30.7872,4.3404,58.9633,4.3404,3.2496
4.4092,29.3935,4.4092,15.6591,4.4092,7.3598,4.4092,32.7822,4.4092,60.3430,4.4092,3.1895
4.4781,23.3434,4.4781,15.6879,4.4781,5.8430,4.4781,34.3257,4.4781,60.0332,4.4781,5.4493
4.5470,17.9999,4.5470,14.5781,4.5470,3.1335,4.5470,31.8508,4.5470,43.5766,4.5470,8.6569
4.6159,16.3037,4.6159,12.4485,4.6159,3.7362,4.6159,27.0676,4.6159,33.2180,4.6159,6.9746
4.6848,16.0501,4.6848,11.6539,4.6848,3.0085,4.6848,24.7111,4.6848,28.8679,4.6848,6.8720
4.7537,13.4591,4.7537,9.6887,4.7537,3.5372,4.7537,31.4425,4.7537,25.6047,4.7537,5.9833
4.8226,12.2563,4.8226,10.1097,4.8226,3.8346,4.8226,34.3045,4.8226,21.0809,4.8226,3.2995
4.8915,16.1339,4.8915,6.9985,4.8915,5.6746,4.8915,31.2619,4.8915,17.8068,4.8915,2.5351
4.9604,23.3332,4.9604,3.8028,4.9604,6.0027,4.9604,20.3064,4.9604,10.8532,4.9604,1.9001
5.0293,26.2842,5.0293,3.6687,5.0293,6.4127,5.0293,11.6371,5.0293,6.2189,5.0293,2.4912
5.0982,20.7157,5.0982,2.9497,5.0982,4.2438,5.0982,8.1046,5.0982,5.5898,5.0982,1.6417
5.1671,12.6943,5.1671,3.2458,5.1671,5.4169,5.1671,7.0932,5.1671,6.1745,5.1671,2.9076
5.2360,11.2517,5.2360,4.3696,5.2360,7.8307,5.2360,5.9842,5.2360,7.4648,5.2360,5.6022
5.3049,15.5841,5.3049,4.1240,5.3049,8.5322,5.3049,7.8874,5.3049,6.8064,5.3049,9.3207
5.3738,17.0412,5.3738,2.3357,5.3738,6.3327,5.3738,8.0811,5.3738,4.5528,5.3738,13.8961
5.4427,14.8997,5.4427,2.9243,5.4427,7.0601,5.4427,8.6213,5.4427,5.2672,5.4427,13.2739
5.5116,12.6091,5.5116,3.7366,5.5116,8.7052,5.5116,11.5412,5.5116,6.3860,5.5116,10.1731
5.5805,9.8230,5.5805,7.6586,5.5805,7.2252,5.5805,16.2860,5.5805,5.5880,5.5805,9.7040
5.6493,7.0703,5.6493,13.9136,5.6493,9.1354,5.6493,26.9783,5.6493,5.8670,5.6493,7.4924
5.7182,7.5313,5.7182,20.9104,5.7182,8.8479,5.7182,41.5983,5.7182,5.3188,5.7182,4.7527
5.7871,9.1770,5.7871,31.6165,5.7871,7.5051,5.7871,52.2721,5.7871,3.6977,5.7871,4.3256
5.8560,9.1070,5.8560,43.1710,5.8560,4.8876,5.8560,50.7670,5.8560,3.3846,5.8560,8.0530
5.9249,8.2333,5.9249,38.7331,5.9249,5.7188,5.9249,36.6732,5.9249,5.4349,5.9249,11.7636
5.9938,6.7376,5.9938,26.6942,5.9938,6.6837,5.9938,20.3085,5.9938,3.8424,5.9938,11.2440
6.0627,7.0439,6.0627,12.5626,6.0627,9.5769,6.0627,10.7730,6.0627,2.8164,6.0627,10.0961
6.1316,6.9911,6.1316,7.3208,6.1316,9.6454,6.1316,9.4449,6.1316,1.8978,6.1316,10.4042
6.2005,8.6002,6.2005,4.4216,6.2005,10.3023,6.2005,11.0799,6.2005,1.6692,6.2005,12.6901
6.2694,9.5194,6.2694,3.4404,6.2694,6.6629,6.2694,12.8263,6.2694,2.2812,6.2694,19.0070
