Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
3.5825,12.2411,3.5825,30.7971,3.5825,7.5831,3.5825,2.5671,3.5825,9.1104,3.5825,5.3362
3.6514,14.1936,3.6514,26.5052,3.6514,8.0821,3.6514,3.1647,3.6514,8.2307,3.6514,2.3862
3.7203,14.5375,3.7203,16.8633,3.7203,11.2950,3.7203,4.3593,3.7203,7.0696,3.7203,2.9294
3.7892,16.9427,3.7892,16.9305,3.7892,17.0003,3.7892,4.0431,3.7892,6.8154,3.7892,2.4011
3.8581,23.5117,3.8581,16.5967,3.8581,24.7168,3.8581,5.3169,3.8581,5.3195,3.8581,1.9281
3.9270,33.9121,3.9270,18.9843,3.9270,32.2835,3.9270,5.2357,3.9270,7.5395,3.9270,1.9366
3.9959,42.2553,3.9959,18.8029,3.9959,40.9176,3.9959,4.4055,3.9959,11.1511,3.9959,2.5270
4.0648,37.4293,4.0648,20.3507,4.0648,44.9060,4.0648,4.1423,4.0648,16.1507,4.0648,2.3598
4.1337,24.1208,4.1337,18.5991,4.1337,47.4057,4.1337,5.1353,4.1337,20.7957,4.1337,2.7039
4.2026,14.6759,4.2026,16.3725,4.2026,44.7257,4.2026,5.7336,4.2026,15.3594,4.2026,1.9798
4.2715,7.5928,4.2715,13.3079,4.2715,40.5055,4.2715,8.9437,4.2715,10.8612,4.2715,1.6781
4.3404,6.6370,4.3404,7.9887,4.3404,31.0533,4.3404,12.0659,4.3404,10.0285,4.3404,3.1505
4.4092,5.5938,4.4092,5.1545,4.4092,24.7261,4.4092,11.3918,4.4092,7.4890,4.4092,5.6885
4.4781,6.0868,4.4781,3.5520,4.4781,21.0069,4.4781,10.9629,4.4781,7.1344,4.4781,7.6210
4.5470,7.1761,4.5470,3.6824,4.5470,14.9945,4.5470,8.9579,4.5470,6.4320,4.5470,11.8144
4.6159,8.1582,4.6159,4.1024,4.6159,8.7257,4.6159,11.6822,4.6159,6.3079,4.6159,12.9484
4.6848,8.4295,4.6848,5.4697,4.6848,6.7617,4.6848,12.7450,4.6848,6.8643,4.6848,11.8361
4.7537,8.4308,4.7537,5.5293,4.7537,5.2236,4.7537,12.7797,4.7537,6.2875,4.7537,14.6546
4.8226,5.4067,4.8226,10.7618,4.8226,4.4518,4.8226,16.6978,4.8226,5.5869,4.8226,13.0498
4.8915,5.5810,4.8915,19.2511,4.8915,5.7473,4.8915,24.4666,4.8915,5.9257,4.8915,10.2323
4.9604,3.7502,4.9604,26.3648,4.9604,6.6089,4.9604,30.8706,4.9604,7.6941,4.9604,10.5516
5.0293,2.6742,5.0293,23.5879,5.0293,8.6219,5.0293,37.6814,5.0293,7.0981,5.0293,10.9832
5.0982,3.2845,5.0982,12.0328,5.0982,11.0953,5.0982,30.6755,5.0982,6.1055,5.0982,17.5334
5.1671,5.5674,5.1671,6.8853,5.1671,13.1404,5.1671,24.1891,5.1671,4.2581,5.1671,22.1282
5.2360,7.1495,5.2360,4.0998,5.2360,12.5280,5.2360,15.3335,5.2360,2.9068,5.2360,18.7158
5.3049,10.1548,5.3049,3.0413,5.3049,11.3433,5.3049,9.2693,5.3049,5.6967,5.3049,12.9477
5.3738,10.8833,5.3738,4.5002,5.3738,9.0607,5.3738,6.0984,5.3738,10.7758,5.3738,7.0185
5.4427,9.8942,5.4427,7.5731,5.4427,8.7435,5.4427,4.8068,5.4427,19.5842,5.4427,4.7398
5.5116,8.5301,5.5116,9.5488,5.5116,9.1605,5.5116,4.8056,5.5116,31.6266,5.5116,4.3713
5.5805,6.0323,5.5805,13.5908,5.5805,12.2863,5.5805,3.5106,5.5805,39.8748,5.5805,4.2856
5.6493,3.9038,5.6493,11.7081,5.6493,15.6634,5.6493,2.9599,5.6493,40.5093,5.6493,3.8438
5.7182,6.3044,5.7182,10.3682,5.7182,11.4804,5.7182,2.4079,5.7182,35.0847,5.7182,2.6414
5.7871,7.4850,5.7871,8.1059,5.7871,9.5481,5.7871,1.9765,5.7871,31.2704,5.7871,2.8631
