Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,4.7696,0.0000,1.5286,0.0000,1.9054,0.0000,6.4446,0.0000,10.1824,0.0000,1.71162
0.0689,3.9632,0.0689,1.7815,0.0689,3.0467,0.0689,5.7412,0.0689,11.2050,0.0689,1.72325
0.1378,3.8020,0.1378,2.4168,0.1378,2.6510,0.1378,5.3339,0.1378,9.2980,0.1378,2.20463
0.2067,3.3972,0.2067,3.1413,0.2067,2.6989,0.2067,5.5866,0.2067,6.6789,0.2067,2.18221
0.2756,2.2779,0.2756,3.0376,0.2756,3.3991,0.2756,5.1459,0.2756,4.5508,0.2756,1.73720
0.3445,2.3614,0.3445,3.5123,0.3445,3.4529,0.3445,4.8125,0.3445,3.1841,0.3445,1.21996
0.4134,2.1663,0.4134,3.3246,0.4134,2.4521,0.4134,5.1207,0.4134,2.5612,0.4134,1.41872
0.4823,1.6896,0.4823,3.6379,0.4823,3.3966,0.4823,4.8400,0.4823,1.9375,0.4823,1.34295
0.5512,2.2051,0.5512,3.8282,0.5512,2.9995,0.5512,4.3668,0.5512,1.8525,0.5512,2.19711
0.6201,2.0633,0.6201,4.3330,0.6201,1.7040,0.6201,2.8504,0.6201,1.5542,0.6201,2.61696
0.6889,2.0374,0.6889,3.6309,0.6889,2.5972,0.6889,3.2111,0.6889,0.6603,0.6889,1.82956
0.7578,2.0078,0.7578,4.5624,0.7578,2.6961,0.7578,3.3489,0.7578,1.2709,0.7578,1.65587
0.8267,2.4981,0.8267,4.2983,0.8267,3.5907,0.8267,2.6549,0.8267,2.0676,0.8267,1.11749
0.8956,3.0685,0.8956,3.5617,0.8956,4.9865,0.8956,1.7287,0.8956,1.9860,0.8956,1.55869
0.9645,3.5181,0.9645,2.6906,0.9645,5.6409,0.9645,1.3342,0.9645,2.1243,0.9645,2.42089
1.0334,4.0514,1.0334,3.1170,1.0334,6.2006,1.0334,1.6066,1.0334,3.0086,1.0334,3.23687
1.1023,1.9915,1.1023,2.7040,1.1023,5.7610,1.1023,1.5894,1.1023,3.8513,1.1023,2.88791
1.1712,1.9089,1.1712,2.5311,1.1712,4.9733,1.1712,1.2620,1.1712,4.7112,1.1712,2.87732
1.2401,2.1070,1.2401,3.7867,1.2401,4.9051,1.2401,1.0286,1.2401,4.8420,1.2401,2.36977
1.3090,1.2442,1.3090,2.6401,1.3090,5.1098,1.3090,0.8915,1.3090,4.8009,1.3090,1.99917
1.3779,1.7120,1.3779,3.6030,1.3779,5.0747,1.3779,1.1692,1.3779,4.8851,1.3779,1.34325
1.4468,3.1381,1.4468,2.5314,1.4468,4.1613,1.4468,1.1005,1.4468,4.2616,1.4468,1.28247
1.5157,2.8756,1.5157,2.4939,1.5157,3.5362,1.5157,0.8009,1.5157,3.0349,1.5157,1.10610
1.5846,2.9587,1.5846,2.6627,1.5846,3.7953,1.5846,0.8923,1.5846,2.5897,1.5846,1.17811
1.6535,3.3030,1.6535,1.9239,1.6535,3.8642,1.6535,0.9800,1.6535,2.5973,1.6535,1.14926
1.7224,3.3033,1.7224,2.1630,1.7224,2.5217,1.7224,1.2275,1.7224,2.0743,1.7224,1.81929
1.7913,3.5887,1.7913,1.6320,1.7913,1.9750,1.7913,1.1913,1.7913,1.3194,1.7913,1.41709
1.8602,2.9575,1.8602,2.2863,1.8602,2.0252,1.8602,1.7912,1.8602,1.4002,1.8602,1.47154
1.9290,2.9015,1.9290,2.6934,1.9290,2.0547,1.9290,2.2387,1.9290,1.3945,1.9290,1.86432
1.9979,3.4000,1.9979,2.4796,1.9979,1.5376,1.9979,2.3367,1.9979,1.2573,1.9979,2.81708
2.0668,3.3551,2.0668,3.2762,2.0668,1.2298,2.0668,1.9009,2.0668,0.8672,2.0668,2.16417
2.1357,4.1060,2.1357,3.1014,2.1357,2.2544,2.1357,2.0129,2.1357,0.9877,2.1357,2.30782
2.2046,4.9339,2.2046,2.6826,2.2046,1.9084,2.2046,2.8256,2.2046,1.5076,2.2046,1.66518
2.2735,3.8205,2.2735,2.7680,2.2735,2.1056,2.2735,3.1271,2.2735,1.4486,2.2735,2.15715
2.3424,2.6818,2.3424,4.3518,2.3424,1.9557,2.3424,4.2715,2.3424,1.2626,2.3424,2.29068
2.4113,1.2932,2.4113,6.3511,2.4113,1.7417,2.4113,4.6622,2.4113,1.0772,2.4113,2.60714
