Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,9.0151,0.0000,4.51322,0.0000,4.93486,0.0000,1.9100,0.0000,1.83612,0.0000,3.7031
0.0689,10.2093,0.0689,5.22060,0.0689,5.37826,0.0689,2.3223,0.0689,2.26558,0.0689,4.1906
0.1378,12.0219,0.1378,5.57189,0.1378,5.51615,0.1378,2.5651,0.1378,2.76162,0.1378,5.3194
0.2067,10.4876,0.2067,6.90017,0.2067,4.92278,0.2067,3.1824,0.2067,2.05618,0.2067,6.0868
0.2756,8.8443,0.2756,7.17750,0.2756,4.47210,0.2756,4.0501,0.2756,1.91461,0.2756,6.7820
0.3445,5.2762,0.3445,6.35409,0.3445,4.35218,0.3445,3.5811,0.3445,1.57751,0.3445,8.3407
0.4134,3.7864,0.4134,5.80971,0.4134,4.81952,0.4134,4.6658,0.4134,1.56293,0.4134,8.2778
0.4823,2.9868,0.4823,4.27223,0.4823,5.65431,0.4823,4.9114,0.4823,1.87720,0.4823,7.7533
0.5512,2.5132,0.5512,3.10108,0.5512,5.66560,0.5512,4.8986,0.5512,1.66702,0.5512,7.7355
0.6201,2.0829,0.6201,2.41696,0.6201,5.39250,0.6201,4.0488,0.6201,1.57591,0.6201,7.9792
0.6889,2.3923,0.6889,2.23445,0.6889,4.14989,0.6889,3.1000,0.6889,2.08026,0.6889,6.9251
0.7578,1.6417,0.7578,2.83523,0.7578,2.96845,0.7578,2.8792,0.7578,2.47239,0.7578,6.0430
0.8267,1.1472,0.8267,2.52544,0.8267,3.19599,0.8267,2.9444,0.8267,3.21320,0.8267,5.3493
0.8956,1.7896,0.8956,2.64702,0.8956,3.50954,0.8956,2.8885,0.8956,3.06866,0.8956,4.8756
0.9645,1.8054,0.9645,3.09503,0.9645,2.78557,0.9645,2.8457,0.9645,3.00172,0.9645,3.4683
1.0334,1.5698,1.0334,3.26011,1.0334,3.14779,1.0334,2.7823,1.0334,3.27521,1.0334,3.7497
1.1023,1.6898,1.1023,3.65464,1.1023,2.67521,1.1023,3.0761,1.1023,2.82082,1.1023,3.3480
1.1712,1.1123,1.1712,2.67118,1.1712,3.06377,1.1712,2.4993,1.1712,2.24522,1.1712,4.3820
1.2401,1.2402,1.2401,2.50061,1.2401,2.64786,1.2401,2.4075,1.2401,2.86360,1.2401,5.4350
1.3090,1.5421,1.3090,1.54534,1.3090,2.24255,1.3090,2.1759,1.3090,2.94667,1.3090,5.5871
1.3779,1.1615,1.3779,1.10630,1.3779,2.94726,1.3779,2.1188,1.3779,2.48538,1.3779,5.5131
1.4468,1.2391,1.4468,1.58347,1.4468,3.12118,1.4468,2.2337,1.4468,2.37930,1.4468,4.7909
1.5157,1.6052,1.5157,1.23672,1.5157,2.82082,1.5157,2.6041,1.5157,2.47367,1.5157,3.4858
1.5846,1.8662,1.5846,1.61107,1.5846,2.69618,1.5846,2.4030,1.5846,2.74848,1.5846,2.6866
1.6535,1.5468,1.6535,1.82406,1.6535,3.19902,1.6535,2.3397,1.6535,2.43642,1.6535,2.6030
1.7224,1.5015,1.7224,1.04124,1.7224,3.68981,1.7224,3.1076,1.7224,2.23276,1.7224,2.3465
1.7913,1.3693,1.7913,1.32123,1.7913,4.61059,1.7913,2.4077,1.7913,2.76267,1.7913,2.0383
1.8602,1.2335,1.8602,1.08938,1.8602,3.84357,1.8602,2.4780,1.8602,2.86982,1.8602,1.7767
1.9290,1.7040,1.9290,0.94199,1.9290,3.43241,1.9290,2.3469,1.9290,2.63333,1.9290,2.2086
1.9979,1.5880,1.9979,1.60096,1.9979,3.52948,1.9979,2.2564,1.9979,2.51389,1.9979,3.1675
2.0668,1.7468,2.0668,1.69401,2.0668,3.01654,2.0668,2.7351,2.0668,2.62453,2.0668,3.3613
2.1357,1.9060,2.1357,1.36581,2.1357,2.78404,2.1357,3.3890,2.1357,2.61529,2.1357,2.8479
2.2046,1.6532,2.2046,1.34893,2.2046,2.75533,2.2046,3.4549,2.2046,3.15087,2.2046,3.5871
2.2735,1.9563,2.2735,1.09538,2.2735,2.76410,2.2735,2.9503,2.2735,4.50169,2.2735,3.7615
2.3424,1.7781,2.3424,1.17512,2.3424,2.19912,2.3424,3.1175,2.3424,4.36969,2.3424,3.1493
2.4113,2.2535,2.4113,1.12708,2.4113,2.26082,2.4113,3.3199,2.4113,4.45078,2.4113,2.9426
2.4802,2.7498,2.4802,1.60679,2.4802,2.45130,2.4802,4.2560,2.4802,4.90794,2.4802,2.1318
2.5491,2.7390,2.5491,1.49114,2.5491,2.33135,2.5491,5.0271,2.5491,4.61479,2.5491,2.4081
2.6180,3.5836,2.6180,1.12884,2.6180,2.57969,2.6180,5.4122,2.6180,4.17604,2.6180,2.3552
2.6869,3.0153,2.6869,0.85398,2.6869,2.46441,2.6869,6.0681,2.6869,4.18698,2.6869,2.4552
2.7558,2.7462,2.7558,1.21982,2.7558,2.68352,2.7558,6.0923,2.7558,4.87841,2.7558,2.4126
2.8247,3.0876,2.8247,1.36468,2.8247,2.93060,2.8247,6.1532,2.8247,4.09934,2.8247,2.6357
2.8936,3.2795,2.8936,1.71915,2.8936,2.30327,2.8936,5.9456,2.8936,4.09676,2.8936,3.1223
2.9625,4.2396,2.9625,1.21409,2.9625,2.28128,2.9625,6.1503,2.9625,4.25289,2.9625,3.2342
3.0314,4.5124,3.0314,1.67476,3.0314,3.29374,3.0314,5.6396,3.0314,4.20722,3.0314,2.1758
3.1003,3.9252,3.1003,1.28265,3.1003,4.52180,3.1003,5.7690,3.1003,3.95442,3.1003,2.6612
