Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,17.5800,0.0000,5.8316,0.0000,7.0087,0.0000,44.1250,0.0000,46.4157,0.0000,9.0932
0.0689,18.8760,0.0689,4.9320,0.0689,9.9467,0.0689,50.1023,0.0689,44.1707,0.0689,13.6100
0.1378,13.4421,0.1378,6.4831,0.1378,9.6962,0.1378,48.2847,0.1378,33.1051,0.1378,13.7617
0.2067,9.9939,0.2067,9.5692,0.2067,8.2108,0.2067,47.4004,0.2067,21.7801,0.2067,12.2588
0.2756,8.3084,0.2756,15.9593,0.2756,8.9988,0.2756,44.5980,0.2756,15.9924,0.2756,11.0803
0.3445,6.2128,0.3445,22.9022,0.3445,5.7566,0.3445,41.4276,0.3445,10.7871,0.3445,7.6921
0.4134,7.6736,0.4134,26.9289,0.4134,6.8521,0.4134,35.2186,0.4134,8.2756,0.4134,7.8987
0.4823,10.8739,0.4823,29.4979,0.4823,9.4948,0.4823,27.1028,0.4823,7.7737,0.4823,6.4029
0.5512,11.9634,0.5512,27.8128,0.5512,11.9851,0.5512,24.1592,0.5512,5.5687,0.5512,6.7970
0.6201,12.1239,0.6201,24.3289,0.6201,20.0111,0.6201,16.9044,0.6201,3.7166,0.6201,4.8171
0.6889,17.7113,0.6889,19.1174,0.6889,23.5621,0.6889,10.8057,0.6889,2.6420,0.6889,2.7742
0.7578,26.1901,0.7578,16.9535,0.7578,22.2858,0.7578,7.8516,0.7578,3.0081,0.7578,3.4440
0.8267,35.6146,0.8267,12.1067,0.8267,26.5137,0.8267,4.2709,0.8267,5.2386,0.8267,5.8137
0.8956,34.8638,0.8956,11.1862,0.8956,38.6400,0.8956,3.2291,0.8956,6.3580,0.8956,8.9700
0.9645,25.2234,0.9645,12.7826,0.9645,45.8508,0.9645,3.8125,0.9645,8.4815,0.9645,10.3475
1.0334,11.9284,1.0334,13.2139,1.0334,41.8015,1.0334,4.6071,1.0334,9.3356,1.0334,13.5615
1.1023,6.8099,1.1023,11.3229,1.1023,40.4302,1.1023,5.5845,1.1023,14.8293,1.1023,11.3119
1.1712,7.3071,1.1712,11.4497,1.1712,28.4196,1.1712,4.1140,1.1712,25.4633,1.1712,9.0151
1.2401,9.8939,1.2401,7.6274,1.2401,23.3190,1.2401,3.7046,1.2401,35.6625,1.2401,5.3995
1.3090,15.9690,1.3090,7.7164,1.3090,22.9669,1.3090,1.3294,1.3090,39.8248,1.3090,5.0014
1.3779,19.9288,1.3779,7.9741,1.3779,19.7102,1.3779,1.7173,1.3779,42.5245,1.3779,3.2158
1.4468,23.4916,1.4468,9.1196,1.4468,15.8295,1.4468,2.0347,1.4468,32.5643,1.4468,3.5707
