Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,12.8496,0.0000,21.5030,0.0000,3.6918,0.0000,18.9684,0.0000,19.9988,0.0000,8.4544
0.0689,20.7764,0.0689,18.7182,0.0689,4.1360,0.0689,13.6413,0.0689,20.3231,0.0689,8.8475
0.1378,29.6401,0.1378,16.3311,0.1378,6.0231,0.1378,9.7642,0.1378,22.7413,0.1378,8.9422
0.2067,40.0266,0.2067,13.7714,0.2067,7.9850,0.2067,8.5088,0.2067,35.7367,0.2067,8.7107
0.2756,42.2816,0.2756,12.0782,0.2756,9.1258,0.2756,8.5654,0.2756,60.6575,0.2756,20.0929
0.3445,32.6458,0.3445,13.1815,0.3445,9.7415,0.3445,7.3623,0.3445,80.5504,0.3445,20.8259
0.4134,22.9842,0.4134,12.6223,0.4134,10.9511,0.4134,6.4277,0.4134,82.2103,0.4134,27.2951
0.4823,17.7956,0.4823,16.1132,0.4823,12.7242,0.4823,4.7742,0.4823,63.5010,0.4823,30.5132
0.5512,15.3719,0.5512,12.0901,0.5512,11.5581,0.5512,6.0631,0.5512,50.4014,0.5512,23.3882
0.6201,15.2672,0.6201,6.7880,0.6201,10.7164,0.6201,4.7211,0.6201,34.7581,0.6201,18.1397
0.6889,14.1686,0.6889,8.7646,0.6889,12.3806,0.6889,4.6075,0.6889,23.6095,0.6889,21.8327
0.7578,9.8455,0.7578,6.2938,0.7578,9.0689,0.7578,6.9667,0.7578,17.2812,0.7578,17.7007
0.8267,11.6990,0.8267,5.8563,0.8267,5.5555,0.8267,6.5823,0.8267,14.3451,0.8267,12.3955
0.8956,12.7315,0.8956,8.7464,0.8956,5.9838,0.8956,5.0501,0.8956,15.5259,0.8956,8.2581
0.9645,16.1815,0.9645,9.8249,0.9645,4.0854,0.9645,3.4557,0.9645,19.4356,0.9645,3.0340
1.0334,14.2516,1.0334,9.0009,1.0334,4.6331,1.0334,2.7547,1.0334,28.6986,1.0334,2.6726
1.1023,13.2946,1.1023,7.9410,1.1023,4.6506,1.1023,3.4955,1.1023,32.9390,1.1023,3.0948
1.1712,12.5622,1.1712,5.9023,1.1712,4.5625,1.1712,3.1702,1.1712,36.5993,1.1712,1.8360
1.2401,14.4278,1.2401,5.6807,1.2401,5.0857,1.2401,3.9645,1.2401,29.0962,1.2401,3.2039
1.3090,18.2974,1.3090,7.9908,1.3090,4.5545,1.3090,4.0443,1.3090,19.8702,1.3090,4.0925
1.3779,20.7244,1.3779,8.7246,1.3779,4.2091,1.3779,4.5761,1.3779,12.6857,1.3779,4.7490
1.4468,22.5059,1.4468,6.7446,1.4468,5.0914,1.4468,3.4990,1.4468,9.9558,1.4468,4.8675
1.5157,17.6802,1.5157,5.4180,1.5157,5.2950,1.5157,3.8299,1.5157,10.5506,1.5157,5.4847
1.5846,16.2157,1.5846,4.4613,1.5846,5.9221,1.5846,4.0813,1.5846,15.3679,1.5846,5.9804
1.6535,17.4446,1.6535,7.1981,1.6535,4.5162,1.6535,7.0660,1.6535,22.4823,1.6535,5.4044
1.7224,18.7069,1.7224,12.4066,1.7224,4.7014,1.7224,8.0862,1.7224,21.4656,1.7224,7.2642
1.7913,21.0353,1.7913,13.0537,1.7913,2.8360,1.7913,14.3918,1.7913,17.8847,1.7913,9.1251
1.8602,24.1438,1.8602,10.6078,1.8602,2.0917,1.8602,22.0624,1.8602,8.6434,1.8602,11.0348
1.9290,23.4577,1.9290,5.2076,1.9290,3.8222,1.9290,23.3626,1.9290,5.4076,1.9290,12.2859
1.9979,17.3557,1.9979,3.0140,1.9979,4.8623,1.9979,27.9415,1.9979,4.9537,1.9979,13.5914
2.0668,14.7402,2.0668,4.1271,2.0668,5.0217,2.0668,24.5640,2.0668,3.7748,2.0668,9.5668
2.1357,9.5755,2.1357,3.7901,2.1357,6.3089,2.1357,21.7553,2.1357,3.7404,2.1357,6.1377
2.2046,9.4345,2.2046,4.0791,2.2046,7.5539,2.2046,18.0677,2.2046,3.5041,2.2046,3.7233
2.2735,8.4851,2.2735,5.6315,2.2735,8.5943,2.2735,11.5451,2.2735,4.6894,2.2735,6.1550
2.3424,8.4230,2.3424,5.1365,2.3424,8.6549,2.3424,9.4229,2.3424,7.9051,2.3424,8.5838
2.4113,7.9541,2.4113,4.1253,2.4113,10.4443,2.4113,6.6417,2.4113,8.9952,2.4113,9.0791
2.4802,8.5419,2.4802,3.6558,2.4802,15.8385,2.4802,6.1189,2.4802,11.4917,2.4802,11.3617
2.5491,8.6220,2.5491,5.1585,2.5491,19.6211,2.5491,7.1383,2.5491,14.5589,2.5491,12.3816
2.6180,11.1348,2.6180,7.2645,2.6180,20.0303,2.6180,7.3616,2.6180,11.7122,2.6180,17.6579
2.6869,10.7138,2.6869,7.3988,2.6869,16.3397,2.6869,5.9606,2.6869,6.9797,2.6869,18.9326
2.7558,10.7169,2.7558,8.8231,2.7558,12.3434,2.7558,4.9252,2.7558,8.3294,2.7558,21.4745
2.8247,8.0335,2.8247,8.3864,2.8247,10.5881,2.8247,5.5692,2.8247,6.6639,2.8247,17.2092
2.8936,5.4267,2.8936,7.9603,2.8936,14.0223,2.8936,5.2666,2.8936,4.5913,2.8936,12.5785
2.9625,5.1640,2.9625,7.8793,2.9625,13.8100,2.9625,8.7204,2.9625,4.3964,2.9625,6.5359
3.0314,4.5261,3.0314,8.7477,3.0314,14.1355,3.0314,13.2007,3.0314,3.9269,3.0314,6.0621
