Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
0.0000,3.88075,0.00000,2.32494,0.0000,4.13165,0.0000,5.21517,0.0000,2.65355,0.0000,4.74129,0.0000,4.13950,0.0000,2.9365,0.0000,7.13338,0.00000,4.29082
0.0689,5.04988,0.06889,2.38024,0.0689,4.49098,0.0689,5.09649,0.0689,3.52215,0.0689,4.54535,0.0689,4.67199,0.0689,4.5042,0.0689,5.84094,0.06889,4.18961
0.1378,4.85435,0.13779,2.39065,0.1378,5.04978,0.1378,4.43023,0.1378,4.26730,0.1378,3.65150,0.1378,4.58232,0.1378,3.7443,0.1378,4.64340,0.13779,4.07463
0.2067,4.88925,0.20668,3.55860,0.2067,6.32129,0.2067,3.79102,0.2067,3.62390,0.2067,3.41587,0.2067,4.41475,0.2067,3.9824,0.2067,3.75270,0.20668,4.10528
0.2756,4.05270,0.27558,3.27259,0.2756,5.22605,0.2756,3.63025,0.2756,3.81653,0.2756,2.53739,0.2756,5.09855,0.2756,2.9708,0.2756,3.45747,0.27558,2.43058
0.3445,2.88145,0.34447,3.37034,0.3445,5.04838,0.3445,2.72992,0.3445,3.21296,0.3445,2.36106,0.3445,4.55272,0.3445,2.3324,0.3445,2.98705,0.34447,2.04720
0.4134,1.69609,0.41337,2.89152,0.4134,4.22128,0.4134,2.96150,0.4134,2.49754,0.4134,1.49773,0.4134,3.38678,0.4134,1.6084,0.4134,3.32642,0.41337,2.78341
0.4823,1.42051,0.48226,3.65257,0.4823,3.70922,0.4823,2.64375,0.4823,2.76107,0.4823,0.90109,0.4823,3.14419,0.4823,1.3109,0.4823,2.05803,0.48226,1.60554
0.5512,0.64450,0.55116,3.62600,0.5512,3.27090,0.5512,2.62318,0.5512,2.16190,0.5512,1.41475,0.5512,1.76679,0.5512,1.2891,0.5512,1.66167,0.55116,1.58516
0.6201,0.82863,0.62005,3.11455,0.6201,2.45060,0.6201,2.40866,0.6201,1.25096,0.6201,1.58972,0.6201,1.40259,0.6201,0.9895,0.6201,1.62436,0.62005,1.49561
0.6889,0.74349,0.68894,3.91950,0.6889,2.81415,0.6889,1.42038,0.6889,1.16102,0.6889,1.99821,0.6889,1.35114,0.6889,0.3845,0.6889,1.63189,0.68894,2.25259
0.7578,0.90586,0.75784,2.85328,0.7578,2.16590,0.7578,1.42495,0.7578,1.36594,0.7578,3.03631,0.7578,1.69314,0.7578,0.5513,0.7578,1.63424,0.75784,2.20512
0.8267,1.31275,0.82673,3.00454,0.8267,2.00816,0.8267,1.82957,0.8267,1.19389,0.8267,2.95675,0.8267,1.97568,0.8267,0.5937,0.8267,1.27047,0.82673,3.64379
0.8956,1.40927,0.89563,2.33952,0.8956,1.99063,0.8956,1.53062,0.8956,0.97473,0.8956,2.93921,0.8956,2.30191,0.8956,0.6128,0.8956,1.50046,0.89563,3.70436
0.9645,1.50426,0.96452,1.78776,0.9645,2.03700,0.9645,0.95416,0.9645,1.15140,0.9645,2.28004,0.9645,1.55819,0.9645,0.7019,0.9645,1.92872,0.96452,3.49841
1.0334,1.42150,1.03342,1.77472,1.0334,1.81994,1.0334,0.92156,1.0334,1.94526,1.0334,1.24460,1.0334,2.06051,1.0334,0.8768,1.0334,3.21378,1.03342,4.21574
1.1023,1.14136,1.10231,1.52167,1.1023,1.33617,1.1023,1.06411,1.1023,1.97204,1.1023,0.56213,1.1023,1.94641,1.1023,0.7806,1.1023,3.65678,1.10231,4.34210
1.1712,0.83614,1.17121,1.55571,1.1712,1.91538,1.1712,1.04202,1.1712,1.50101,1.1712,0.61379,1.1712,2.92209,1.1712,0.8606,1.1712,3.94168,1.17121,4.21935
1.2401,0.54877,1.24010,1.47105,1.2401,2.11191,1.2401,1.10294,1.2401,0.90750,1.2401,0.35452,1.2401,2.38013,1.2401,0.8836,1.2401,2.74931,1.24010,3.24164
1.3090,0.81792,1.30900,1.09996,1.3090,2.09715,1.3090,0.86582,1.3090,0.82186,1.3090,0.65292,1.3090,2.63530,1.3090,0.9614,1.3090,3.45337,1.30900,3.50108
1.3779,1.31262,1.37789,2.06098,1.3779,2.22342,1.3779,1.61513,1.3779,0.72049,1.3779,1.99714,1.3779,2.41393,1.3779,0.8619,1.3779,1.86566,1.37789,3.06618
1.4468,1.26214,1.44678,2.21424,1.4468,2.56232,1.4468,1.64001,1.4468,1.21320,1.4468,1.83336,1.4468,2.39173,1.4468,0.5653,1.4468,2.45978,1.44678,2.87151
1.5157,1.76552,1.51568,2.55693,1.5157,3.24374,1.5157,1.92217,1.5157,0.91762,1.5157,1.84830,1.5157,1.71123,1.5157,0.8526,1.5157,3.41100,1.51568,2.85279
1.5846,2.36367,1.58457,2.08847,1.5846,3.21922,1.5846,1.09803,1.5846,1.26513,1.5846,2.37072,1.5846,1.06347,1.5846,1.2891,1.5846,3.60145,1.58457,2.88386
1.6535,2.84099,1.65347,2.05334,1.6535,2.96462,1.6535,1.19788,1.6535,1.51642,1.6535,2.83043,1.6535,0.99252,1.6535,1.8951,1.6535,2.97959,1.65347,2.46792
1.7224,2.97542,1.72236,1.32866,1.7224,2.27016,1.7224,1.64304,1.7224,1.85713,1.7224,3.45790,1.7224,1.22764,1.7224,1.3031,1.7224,3.29217,1.72236,2.20726
1.7913,3.66209,1.79126,1.74302,1.7913,2.36601,1.7913,2.47128,1.7913,2.47935,1.7913,3.26640,1.7913,1.22639,1.7913,1.5678,1.7913,3.10987,1.79126,2.31658
1.8602,4.01342,1.86015,2.00636,1.8602,2.10519,1.8602,3.07890,1.8602,1.88175,1.8602,2.91454,1.8602,1.28979,1.8602,0.9192,1.8602,2.22640,1.86015,2.79107
1.9290,3.67017,1.92905,1.73117,1.9290,2.14551,1.9290,3.72544,1.9290,2.23372,1.9290,1.89866,1.9290,1.54161,1.9290,1.1932,1.9290,2.72951,1.92905,2.94729
1.9979,3.00932,1.99794,2.42707,1.9979,2.18251,1.9979,3.34642,1.9979,2.13067,1.9979,1.74168,1.9979,1.65400,1.9979,1.3975,1.9979,3.84415,1.99794,2.44266
2.0668,2.53902,2.06683,2.25051,2.0668,1.46506,2.0668,4.18058,2.0668,2.11855,2.0668,1.58273,2.0668,1.97972,2.0668,1.8177,2.0668,5.97432,2.06683,2.71784
2.1357,1.73777,2.13573,1.91135,2.1357,1.71641,2.1357,5.07562,2.1357,2.05676,2.1357,1.64594,2.1357,2.52465,2.1357,2.0580,2.1357,6.03078,2.13573,1.83176
2.2046,1.34264,2.20462,1.86860,2.2046,1.82437,2.2046,4.71830,2.2046,1.79595,2.2046,1.54190,2.2046,2.72375,2.2046,1.4634,2.2046,5.79775,2.20462,2.99014
2.2735,1.59702,2.27352,1.25765,2.2735,1.76736,2.2735,4.68263,2.2735,1.68083,2.2735,1.52625,2.2735,2.56334,2.2735,1.2612,2.2735,5.01337,2.27352,2.37470
2.3424,1.36683,2.34241,1.23231,2.3424,2.36605,2.3424,4.23522,2.3424,1.67177,2.3424,1.37929,2.3424,1.84531,2.3424,1.6420,2.3424,4.07159,2.34241,2.49892
2.4113,2.16912,2.41131,1.27127,2.4113,2.15678,2.4113,4.30512,2.4113,1.74026,2.4113,1.58018,2.4113,1.60903,2.4113,1.3916,2.4113,2.62850,2.41131,1.92846
2.4802,2.53777,2.48020,1.32410,2.4802,1.96887,2.4802,3.66882,2.4802,1.92639,2.4802,1.58187,2.4802,1.89277,2.4802,1.6031,2.4802,2.06488,2.48020,1.66875
2.5491,2.98916,2.54910,1.70667,2.5491,1.75051,2.5491,3.77721,2.5491,1.74744,2.5491,1.22481,2.5491,2.95460,2.5491,1.8119,2.5491,1.77844,2.54910,0.94770
2.6180,2.94612,2.61799,1.82087,2.6180,1.73074,2.6180,3.75037,2.6180,1.76619,2.6180,1.54845,2.6180,2.84221,2.6180,1.8921,2.6180,1.10297,2.61799,1.61080
2.6869,1.89635,2.68689,1.37528,2.6869,2.54447,2.6869,3.66589,2.6869,2.55312,2.6869,0.94128,2.6869,2.57345,2.6869,2.0409,2.6869,1.60834,2.68689,2.34822
2.7558,1.25832,2.75578,1.70660,2.7558,2.13694,2.7558,3.46231,2.7558,2.29415,2.7558,1.73513,2.7558,1.89041,2.7558,1.4472,2.7558,1.13521,2.75578,3.51396
2.8247,0.93842,2.82467,1.76520,2.8247,1.69636,2.8247,3.19380,2.8247,2.02333,2.8247,1.96661,2.8247,2.12198,2.8247,1.8237,2.8247,0.96581,2.82467,3.72351
2.8936,0.70976,2.89357,1.97399,2.8936,0.93913,2.8936,2.84166,2.8936,1.79113,2.8936,2.56403,2.8936,2.06831,2.8936,2.0494,2.8936,1.21192,2.89357,3.84578
2.9625,0.58451,2.96246,2.30495,2.9625,1.00772,2.9625,2.09171,2.9625,1.97406,2.9625,1.39460,2.9625,2.55093,2.9625,2.8432,2.9625,1.43759,2.96246,4.23306
3.0314,0.90232,3.03136,2.62419,3.0314,1.04558,3.0314,2.14733,3.0314,1.80523,3.0314,1.57908,3.0314,2.05669,3.0314,2.5914,3.0314,1.93423,3.03136,4.91772
3.1003,1.13644,3.10025,2.80797,3.1003,1.19651,3.1003,1.48674,3.1003,2.32136,3.1003,1.58224,3.1003,1.82069,3.1003,2.2339,3.1003,1.43615,3.10025,4.00897
3.1691,0.98815,3.16915,3.13205,3.1691,1.00765,3.1691,1.90255,3.1691,2.89707,3.1691,2.44465,3.1691,2.72423,3.1691,1.7229,3.1691,1.07839,3.16915,3.54158
3.2380,1.39890,3.23804,3.25228,3.2380,1.17372,3.2380,1.92440,3.2380,2.76069,3.2380,1.66110,3.2380,2.70636,3.2380,2.2412,3.2380,1.00036,3.23804,2.98240
3.3069,2.07057,3.30694,2.63652,3.3069,1.05100,3.3069,1.85457,3.3069,2.08938,3.3069,1.72053,3.3069,2.93017,3.3069,1.9135,3.3069,1.24568,3.30694,3.39034
3.3758,1.43204,3.37583,2.46080,3.3758,1.30992,3.3758,1.90796,3.3758,2.60642,3.3758,1.79761,3.3758,3.57513,3.3758,1.8931,3.3758,0.93550,3.37583,4.57835
