Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
3.5825,1.1910,3.5825,3.82463,3.5825,2.82897,3.5825,5.2078,3.5825,4.5819,3.5825,2.7260
3.6514,1.8822,3.6514,3.51499,3.6514,3.03359,3.6514,5.0576,3.6514,4.8755,3.6514,2.7669
3.7203,3.1802,3.7203,3.46952,3.7203,3.44238,3.7203,4.8099,3.7203,5.6731,3.7203,3.4322
3.7892,3.2123,3.7892,3.57455,3.7892,3.78725,3.7892,4.5164,3.7892,4.7811,3.7892,3.5646
3.8581,3.6437,3.8581,3.36563,3.8581,3.57863,3.8581,4.2381,3.8581,4.8442,3.8581,3.7695
3.9270,3.7715,3.9270,2.84997,3.9270,2.97272,3.9270,4.3620,3.9270,4.6852,3.9270,4.4145
3.9959,3.5310,3.9959,3.06840,3.9959,3.20945,3.9959,5.2237,3.9959,3.3088,3.9959,3.3510
4.0648,3.3272,4.0648,2.78234,4.0648,4.22488,4.0648,5.1885,4.0648,2.8954,4.0648,3.0082
4.1337,3.0888,4.1337,1.89229,4.1337,3.40370,4.1337,5.3695,4.1337,3.0403,4.1337,2.9261
4.2026,2.8772,4.2026,2.13549,4.2026,3.96966,4.2026,5.1161,4.2026,3.5250,4.2026,2.0178
4.2715,3.5010,4.2715,1.98074,4.2715,5.16633,4.2715,3.9212,4.2715,2.7767,4.2715,2.4730
4.3404,2.8345,4.3404,1.68638,4.3404,6.08554,4.3404,3.8066,4.3404,2.5132,4.3404,3.2956
4.4092,2.7234,4.4092,1.73266,4.4092,7.51316,4.4092,4.4252,4.4092,2.7253,4.4092,3.2883
4.4781,2.7407,4.4781,1.09815,4.4781,7.17482,4.4781,6.4252,4.4781,3.5230,4.4781,2.7351
4.5470,1.5982,4.5470,1.68115,4.5470,7.26781,4.5470,6.8728,4.5470,3.6844,4.5470,2.3591
4.6159,1.5351,4.6159,1.54915,4.6159,6.77035,4.6159,7.9940,4.6159,4.2157,4.6159,2.0623
4.6848,1.9918,4.6848,1.34745,4.6848,5.17225,4.6848,7.7099,4.6848,3.6722,4.6848,2.5488
4.7537,3.0755,4.7537,1.26794,4.7537,4.17197,4.7537,6.5679,4.7537,2.4037,4.7537,2.1001
4.8226,3.3288,4.8226,0.67732,4.8226,3.69713,4.8226,4.8508,4.8226,2.3138,4.8226,2.3914
