Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
0.0000,71.2614,0.0000,25.2901,0.0000,17.2237,0.0000,8.1628,0.0000,7.5230,0.0000,8.4837
0.0689,75.9841,0.0689,25.8311,0.0689,23.7686,0.0689,10.6976,0.0689,6.0409,0.0689,11.5646
0.1378,61.6035,0.1378,28.0018,0.1378,31.0724,0.1378,14.8378,0.1378,4.6382,0.1378,16.7092
0.2067,36.6809,0.2067,34.6782,0.2067,33.7501,0.2067,12.6769,0.2067,4.7689,0.2067,24.0851
0.2756,18.8083,0.2756,42.0031,0.2756,32.3722,0.2756,13.3066,0.2756,4.5762,0.2756,26.7300
0.3445,11.7261,0.3445,48.6668,0.3445,31.2007,0.3445,14.5413,0.3445,5.6450,0.3445,27.9322
0.4134,7.1976,0.4134,47.2965,0.4134,35.4827,0.4134,13.3555,0.4134,3.9804,0.4134,33.3328
0.4823,4.0691,0.4823,42.9945,0.4823,37.6459,0.4823,10.6763,0.4823,3.6414,0.4823,32.3689
0.5512,3.6791,0.5512,30.3993,0.5512,32.4303,0.5512,9.5794,0.5512,6.3461,0.5512,28.2738
0.6201,1.1830,0.6201,18.7172,0.6201,23.3909,0.6201,8.1106,0.6201,8.6243,0.6201,29.0490
0.6889,1.5557,0.6889,12.0215,0.6889,18.8318,0.6889,6.4988,0.6889,12.4197,0.6889,32.6235
0.7578,1.5145,0.7578,10.9142,0.7578,14.4521,0.7578,7.1213,0.7578,18.7650,0.7578,35.3125
0.8267,0.9134,0.8267,10.6403,0.8267,11.7990,0.8267,7.0916,0.8267,19.7491,0.8267,40.2638
0.8956,1.2478,0.8956,10.8418,0.8956,11.0625,0.8956,11.5278,0.8956,13.8732,0.8956,36.9508
0.9645,1.1209,0.9645,14.1141,0.9645,9.4294,0.9645,17.3442,0.9645,12.9052,0.9645,28.3799
1.0334,1.6845,1.0334,17.1735,1.0334,10.5051,1.0334,17.3310,1.0334,10.1768,1.0334,22.0652
1.1023,1.0849,1.1023,18.6187,1.1023,12.0597,1.1023,14.6448,1.1023,7.1692,1.1023,15.6606
1.1712,1.3641,1.1712,16.1803,1.1712,12.6421,1.1712,9.6130,1.1712,6.5621,1.1712,15.5297
1.2401,1.9607,1.2401,11.0911,1.2401,11.8274,1.2401,7.2271,1.2401,6.8174,1.2401,19.7417
1.3090,2.5644,1.3090,7.4499,1.3090,10.5076,1.3090,5.3945,1.3090,7.9825,1.3090,21.0474
1.3779,2.2838,1.3779,3.9773,1.3779,7.8232,1.3779,3.6768,1.3779,6.0199,1.3779,23.4711
1.4468,1.0490,1.4468,3.7491,1.4468,6.0374,1.4468,3.2637,1.4468,6.9714,1.4468,20.8500
1.5157,1.6677,1.5157,4.6565,1.5157,5.0728,1.5157,3.2581,1.5157,11.1356,1.5157,13.8546
1.5846,1.1250,1.5846,5.7496,1.5846,6.3127,1.5846,3.5331,1.5846,11.7829,1.5846,14.1445
1.6535,1.9432,1.6535,6.6605,1.6535,8.0074,1.6535,3.1080,1.6535,11.5406,1.6535,10.8096
1.7224,1.2643,1.7224,7.1274,1.7224,12.7239,1.7224,2.9369,1.7224,14.0508,1.7224,9.2411
1.7913,1.5675,1.7913,5.8545,1.7913,11.2672,1.7913,2.5437,1.7913,17.6337,1.7913,9.6971
1.8602,1.7371,1.8602,5.7007,1.8602,12.1910,1.8602,3.3293,1.8602,18.2146,1.8602,9.9880
1.9290,2.1220,1.9290,4.4211,1.9290,11.0532,1.9290,2.7031,1.9290,19.0296,1.9290,10.3300
1.9979,1.7927,1.9979,4.6785,1.9979,8.0905,1.9979,3.3062,1.9979,13.8402,1.9979,9.8970
2.0668,1.9720,2.0668,5.1478,2.0668,6.1435,2.0668,3.7387,2.0668,16.0806,2.0668,9.6874
2.1357,2.1115,2.1357,5.0520,2.1357,6.3383,2.1357,7.3894,2.1357,27.7043,2.1357,9.5065
2.2046,2.6075,2.2046,4.7105,2.2046,6.7265,2.2046,7.7218,2.2046,36.1000,2.2046,8.6015
2.2735,2.8257,2.2735,5.9655,2.2735,5.7568,2.2735,6.1143,2.2735,43.6510,2.2735,7.9015
2.3424,2.3162,2.3424,6.9722,2.3424,5.3105,2.3424,7.3818,2.3424,44.9126,2.3424,9.4602
2.4113,3.1644,2.4113,6.6289,2.4113,5.2024,2.4113,9.1859,2.4113,33.8978,2.4113,7.4938
2.4802,3.3237,2.4802,5.6581,2.4802,6.0375,2.4802,10.5618,2.4802,22.8419,2.4802,7.3350
2.5491,4.6145,2.5491,5.1276,2.5491,6.6113,2.5491,13.9634,2.5491,17.3912,2.5491,4.3650
2.6180,3.8078,2.6180,2.4238,2.6180,8.0861,2.6180,20.2412,2.6180,18.7948,2.6180,4.5731
2.6869,3.7284,2.6869,2.5438,2.6869,7.5859,2.6869,22.3040,2.6869,21.5324,2.6869,7.1129
2.7558,5.3570,2.7558,2.7020,2.7558,7.0692,2.7558,25.5481,2.7558,21.8842,2.7558,8.2832
2.8247,5.9031,2.8247,1.6135,2.8247,5.3438,2.8247,24.7542,2.8247,20.0132,2.8247,10.0962
2.8936,7.7065,2.8936,2.0858,2.8936,4.9088,2.8936,20.7505,2.8936,16.7072,2.8936,8.9965
2.9625,9.3856,2.9625,1.8033,2.9625,5.7187,2.9625,17.5141,2.9625,11.6355,2.9625,7.4930
3.0314,12.3123,3.0314,2.8578,3.0314,9.2578,3.0314,15.6926,3.0314,9.6318,3.0314,8.3303
3.1003,18.4821,3.1003,3.4692,3.1003,13.6343,3.1003,15.0088,3.1003,9.3419,3.1003,6.7290
3.1691,30.8872,3.1691,4.7661,3.1691,19.1309,3.1691,19.9006,3.1691,8.6752,3.1691,5.9691
3.2380,47.2055,3.2380,4.3055,3.2380,23.9215,3.2380,21.3735,3.2380,6.1271,3.2380,5.8113
3.3069,56.0723,3.3069,5.0425,3.3069,25.8285,3.3069,23.0853,3.3069,5.8034,3.3069,5.0411
3.3758,59.2005,3.3758,6.2221,3.3758,28.8717,3.3758,26.9313,3.3758,5.1579,3.3758,7.2025
3.4447,48.6173,3.4447,4.5424,3.4447,30.8903,3.4447,26.7268,3.4447,3.3733,3.4447,8.2245
3.5136,34.4304,3.5136,4.0378,3.5136,29.9817,3.5136,28.9131,3.5136,1.9347,3.5136,7.5913
3.5825,22.6687,3.5825,3.1984,3.5825,24.2687,3.5825,26.8812,3.5825,2.7711,3.5825,5.3767
3.6514,16.2759,3.6514,3.4657,3.6514,22.2583,3.6514,21.3026,3.6514,4.0146,3.6514,4.0893
3.7203,15.3762,3.7203,4.2670,3.7203,16.8753,3.7203,24.7946,3.7203,3.6949,3.7203,2.9114
3.7892,11.8530,3.7892,4.2781,3.7892,14.8988,3.7892,25.2095,3.7892,3.1986,3.7892,3.1608
3.8581,12.2561,3.8581,3.9801,3.8581,9.8866,3.8581,21.3486,3.8581,3.3787,3.8581,1.2333
3.9270,13.5824,3.9270,3.0360,3.9270,5.2877,3.9270,15.8407,3.9270,4.6431,3.9270,1.8642
3.9959,15.1631,3.9959,2.8698,3.9959,3.2744,3.9959,11.7428,3.9959,5.1533,3.9959,1.7810
4.0648,14.5686,4.0648,4.0236,4.0648,2.8883,4.0648,8.5937,4.0648,8.1710,4.0648,2.6692
4.1337,9.5374,4.1337,4.1035,4.1337,3.9660,4.1337,6.9366,4.1337,11.4243,4.1337,4.1163
4.2026,6.9158,4.2026,3.7067,4.2026,6.0766,4.2026,5.5994,4.2026,10.6873,4.2026,5.5103
4.2715,4.6421,4.2715,1.5361,4.2715,4.5713,4.2715,4.4230,4.2715,7.7442,4.2715,3.8664
4.3404,2.6339,4.3404,2.1640,4.3404,5.3586,4.3404,5.1784,4.3404,4.9564,4.3404,2.5314
4.4092,3.2380,4.4092,2.4278,4.4092,4.5107,4.4092,9.3670,4.4092,6.3665,4.4092,3.9331
4.4781,6.2680,4.4781,1.4535,4.4781,5.7478,4.4781,8.7753,4.4781,9.3635,4.4781,5.7954
4.5470,5.6300,4.5470,1.5630,4.5470,4.9391,4.5470,10.7930,4.5470,11.2952,4.5470,7.3819
4.6159,5.8692,4.6159,1.7465,4.6159,5.1007,4.6159,10.8930,4.6159,16.5619,4.6159,5.6676
4.6848,6.2489,4.6848,1.5711,4.6848,3.9776,4.6848,15.0978,4.6848,16.6928,4.6848,4.0956
4.7537,8.5571,4.7537,2.2342,4.7537,4.1954,4.7537,17.2550,4.7537,15.1803,4.7537,2.9595
4.8226,11.5373,4.8226,2.2238,4.8226,4.4395,4.8226,18.7129,4.8226,14.0447,4.8226,2.8717
4.8915,12.6032,4.8915,1.7103,4.8915,2.8131,4.8915,26.4531,4.8915,10.3608,4.8915,1.5374
4.9604,9.7611,4.9604,1.0921,4.9604,4.2022,4.9604,30.1588,4.9604,6.5676,4.9604,3.8314
5.0293,9.1217,5.0293,1.9367,5.0293,4.0645,5.0293,24.6589,5.0293,4.5259,5.0293,10.0946
