Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
0.0000,24.0600,0.00000,17.0430,0.0000,12.0982,0.0000,17.012,0.0000,31.3630,0.0000,56.9310,0.0000,31.9497,0.0000,30.0506,0.0000,29.0488,0.00000,39.1247
0.0689,28.9459,0.06889,17.7073,0.0689,15.6490,0.0689,13.612,0.0689,42.0328,0.0689,55.4297,0.0689,33.3234,0.0689,24.4751,0.0689,27.8097,0.06889,31.9949
0.1378,35.2892,0.13779,18.2772,0.1378,17.3511,0.1378,10.455,0.1378,45.1205,0.1378,49.2298,0.1378,33.7305,0.1378,17.2527,0.1378,27.6359,0.13779,26.1103
0.2067,31.8143,0.20668,14.5778,0.2067,25.2271,0.2067,11.850,0.2067,35.2262,0.2067,36.8722,0.2067,27.9784,0.2067,13.2605,0.2067,23.6040,0.20668,16.3668
0.2756,25.0964,0.27558,16.0773,0.2756,34.9516,0.2756,13.515,0.2756,23.6397,0.2756,25.6529,0.2756,22.9927,0.2756,14.0924,0.2756,21.8777,0.27558,9.1636
0.3445,16.6195,0.34447,18.6988,0.3445,33.3712,0.3445,10.749,0.3445,17.0040,0.3445,17.4886,0.3445,20.0259,0.3445,17.2694,0.3445,14.4575,0.34447,6.6366
0.4134,8.7308,0.41337,27.6013,0.4134,24.6385,0.4134,11.526,0.4134,11.4525,0.4134,11.9060,0.4134,17.4647,0.4134,15.4394,0.4134,9.9579,0.41337,7.9089
0.4823,5.5127,0.48226,28.5564,0.4823,17.4783,0.4823,13.993,0.4823,5.8731,0.4823,8.4843,0.4823,12.5969,0.4823,14.1811,0.4823,9.4165,0.48226,8.2680
0.5512,2.3349,0.55116,23.2946,0.5512,14.1233,0.5512,14.947,0.5512,2.5986,0.5512,6.4905,0.5512,7.9750,0.5512,7.7858,0.5512,12.8623,0.55116,8.7676
0.6201,2.2539,0.62005,21.6257,0.6201,10.2947,0.6201,10.807,0.6201,2.5659,0.6201,5.0178,0.6201,3.7157,0.6201,4.5798,0.6201,16.3452,0.62005,11.2016
0.6889,2.3672,0.68894,22.4891,0.6889,10.2631,0.6889,7.973,0.6889,3.5141,0.6889,6.6679,0.6889,3.4539,0.6889,3.0422,0.6889,17.4413,0.68894,13.0554
0.7578,2.3759,0.75784,19.0180,0.7578,6.1595,0.7578,10.180,0.7578,4.1884,0.7578,8.0051,0.7578,3.0243,0.7578,2.7483,0.7578,17.3943,0.75784,17.4588
0.8267,2.7632,0.82673,13.3221,0.8267,5.7866,0.8267,10.932,0.8267,4.6254,0.8267,7.5552,0.8267,5.5759,0.8267,3.3572,0.8267,20.9037,0.82673,21.0241
0.8956,3.0776,0.89563,11.3515,0.8956,7.0847,0.8956,7.448,0.8956,10.0681,0.8956,7.0940,0.8956,7.5020,0.8956,4.2607,0.8956,25.7149,0.89563,20.7776
0.9645,2.9651,0.96452,9.6141,0.9645,7.4436,0.9645,6.604,0.9645,12.5445,0.9645,6.1981,0.9645,7.7932,0.9645,6.0987,0.9645,29.9424,0.96452,15.7970
1.0334,2.9700,1.03342,9.0869,1.0334,8.4550,1.0334,3.538,1.0334,11.2043,1.0334,3.7333,1.0334,6.7712,1.0334,6.7623,1.0334,30.1428,1.03342,15.8294
1.1023,4.3484,1.10231,9.2755,1.1023,6.2469,1.1023,2.554,1.1023,10.5898,1.1023,2.4811,1.1023,7.1721,1.1023,4.3904,1.1023,26.5738,1.10231,15.6236
1.1712,4.8444,1.17121,8.1571,1.1712,3.6560,1.1712,1.611,1.1712,12.3255,1.1712,3.7092,1.1712,5.8927,1.1712,3.2931,1.1712,21.0218,1.17121,17.1532
1.2401,3.6942,1.24010,8.4407,1.2401,3.4896,1.2401,1.476,1.2401,13.0896,1.2401,4.8472,1.2401,6.2540,1.2401,3.2352,1.2401,15.1869,1.24010,16.4483
1.3090,3.4400,1.30900,11.5368,1.3090,5.4117,1.3090,2.192,1.3090,10.1907,1.3090,6.7005,1.3090,7.9451,1.3090,3.6149,1.3090,10.2602,1.30900,10.7424
1.3779,4.5454,1.37789,10.1162,1.3779,7.7803,1.3779,1.708,1.3779,7.5380,1.3779,7.0212,1.3779,10.1155,1.3779,3.4911,1.3779,8.4198,1.37789,10.0245
1.4468,5.0266,1.44678,8.3628,1.4468,8.5685,1.4468,2.645,1.4468,5.9181,1.4468,6.3551,1.4468,10.8671,1.4468,3.0941,1.4468,11.3921,1.44678,10.8142
1.5157,5.5106,1.51568,8.0140,1.5157,9.8340,1.5157,3.466,1.5157,7.5985,1.5157,6.6817,1.5157,8.9749,1.5157,4.5541,1.5157,18.4644,1.51568,11.3193
1.5846,5.6868,1.58457,6.2742,1.5846,6.3329,1.5846,6.331,1.5846,7.7423,1.5846,6.5290,1.5846,8.0107,1.5846,7.4721,1.5846,23.9155,1.58457,12.8095
1.6535,5.9784,1.65347,6.0038,1.6535,4.5982,1.6535,10.676,1.6535,10.7079,1.6535,5.9033,1.6535,5.8164,1.6535,5.7287,1.6535,24.3037,1.65347,14.1690
1.7224,10.9706,1.72236,4.4705,1.7224,6.1046,1.7224,15.019,1.7224,14.9948,1.7224,5.4540,1.7224,2.8008,1.7224,4.9736,1.7224,28.5736,1.72236,11.5633
1.7913,12.2166,1.79126,3.6534,1.7913,7.4143,1.7913,21.345,1.7913,17.2602,1.7913,4.2489,1.7913,2.3007,1.7913,5.7915,1.7913,25.8720,1.79126,13.4154
1.8602,11.3585,1.86015,2.9184,1.8602,6.3901,1.8602,27.133,1.8602,11.4754,1.8602,2.6024,1.8602,2.6597,1.8602,5.1176,1.8602,31.7274,1.86015,12.1186
1.9290,7.7436,1.92905,6.2043,1.9290,5.5726,1.9290,31.652,1.9290,7.9005,1.9290,2.7119,1.9290,6.6943,1.9290,6.3431,1.9290,31.9226,1.92905,10.0030
1.9979,5.8394,1.99794,10.3042,1.9979,5.4071,1.9979,34.286,1.9979,5.4567,1.9979,2.4035,1.9979,6.3804,1.9979,5.4619,1.9979,30.4684,1.99794,8.0999
2.0668,5.5505,2.06683,13.7902,2.0668,4.8130,2.0668,33.988,2.0668,4.2087,2.0668,2.5317,2.0668,7.5317,2.0668,9.2648,2.0668,28.8086,2.06683,7.7357
2.1357,6.4609,2.13573,17.6220,2.1357,7.5515,2.1357,33.820,2.1357,5.3960,2.1357,1.3643,2.1357,7.6340,2.1357,10.7267,2.1357,29.1982,2.13573,8.1600
2.2046,5.1254,2.20462,19.2827,2.2046,12.2042,2.2046,33.634,2.2046,6.0579,2.2046,0.7489,2.2046,9.0257,2.2046,10.6108,2.2046,27.1894,2.20462,7.9137
