,position (um),Fat2 intensity,Abi intensity
0,0.0,49.1128,3.5902
1,0.0689,48.816,3.1387
2,0.1378,37.2775,4.4631
3,0.2067,19.2733,4.6273
4,0.2756,11.0135,4.0302
5,0.3445,9.3672,3.174
6,0.4134,7.8229,2.4647
7,0.4823,6.4537,1.7566
8,0.5512,3.5126,1.1448
9,0.6201,2.7167,1.7241
10,0.6889,2.5059,1.662
11,0.7578,3.0591,1.8352
12,0.8267,3.1502,2.2732
13,0.8956,4.102,2.4587
14,0.9645,4.8987,2.5379
15,1.0334,6.4004,2.6563
16,1.1023,11.1625,2.8092
17,1.1712,14.2233,4.0875
18,1.2401,15.4689,4.7807
19,1.309,19.538,4.2454
20,1.3779,20.1187,3.6433
21,1.4468,14.9593,2.9487
22,1.5157,14.9804,2.2154
23,1.5846,11.7866,2.1074
24,1.6535,11.0599,1.8276
25,1.7224,13.3352,1.6231
26,1.7913,14.2111,1.6815
27,1.8602,15.844,2.536
28,1.929,14.23,3.0871
29,1.9979,10.617,3.288
30,2.0668,11.087,3.0822
31,2.1357,11.5112,2.6561
32,2.2046,11.107,3.6246
33,2.2735,9.1644,3.3567
34,2.3424,8.0857,2.9939
35,2.4113,4.6339,1.7741
36,2.4802,4.424,2.0135
37,2.5491,4.5178,1.7496
38,2.618,6.3738,1.8245
39,2.6869,7.9335,2.5984
40,2.7558,8.5402,3.0337
41,2.8247,7.1376,2.9218
42,2.8936,6.956,2.3663
43,2.9625,6.086,1.9533
44,3.0314,5.0594,1.5591
45,3.1003,3.9634,1.961
46,3.1691,4.1907,1.9192
47,3.238,5.6466,2.4726
48,3.3069,6.6075,3.2069
49,3.3758,5.217,2.9088
50,3.4447,5.6056,2.8787
51,3.5136,3.8426,3.1085
52,3.5825,2.2094,1.5418
53,3.6514,2.684,1.5651
54,3.7203,3.1058,1.2797
55,3.7892,3.4501,1.0856
56,3.8581,5.6244,1.2602
57,3.927,4.6044,1.008
58,3.9959,4.7152,1.5812
59,4.0648,3.35,1.6559
60,4.1337,2.4364,2.0497
61,4.2026,2.1479,1.9335
62,4.2715,2.8303,2.1987
63,4.3404,6.3762,1.9962
64,4.4092,7.0288,1.844
65,4.4781,8.1493,2.2101
66,4.547,8.64,2.0083
67,4.6159,6.468,2.0812
68,4.6848,3.8498,2.0422
69,4.7537,1.9557,1.9684
70,4.8226,1.6293,1.6325
71,4.8915,2.8756,1.2425
72,4.9604,3.3993,1.0979
73,5.0293,6.4607,1.5731
74,5.0982,6.5863,1.4957
75,5.1671,7.1251,1.9688
76,5.236,11.2009,2.4333
77,5.3049,18.5893,2.995
78,5.3738,23.173,3.7406
79,5.4427,25.4902,4.4552
80,5.5116,26.8633,6.0587
81,5.5805,24.7477,7.1531
82,5.6493,29.1596,6.5727
83,5.7182,32.4321,5.3741
84,5.7871,33.1983,3.9618
85,5.856,26.6613,3.722
86,5.9249,14.7341,3.1926
87,5.9938,6.5518,1.7638
88,6.0627,4.0392,1.9193
89,6.1316,3.3123,1.632
90,6.2005,1.6812,2.2906
91,6.2694,0.8152,1.6978
92,6.3383,2.3423,2.1946
93,6.4072,2.0656,1.5501
94,6.4761,1.9772,0.9454
95,6.545,1.5619,0.9063
96,6.6139,1.1457,0.5716
97,6.6828,2.6949,0.5041
98,6.7517,1.6309,0.4992
99,6.8206,1.6682,1.3372
100,6.8894,1.7676,1.3618
101,6.9583,3.1905,1.3768
102,7.0272,4.3737,1.2624
103,7.0961,4.2693,1.3468
104,7.165,4.9957,1.8446
105,7.2339,7.1729,1.9554
106,7.3028,11.27,3.0797
107,7.3717,12.5401,2.7757
108,7.4406,9.1798,2.3678
109,7.5095,6.29,1.1381
110,7.5784,3.6408,1.0624
111,7.6473,2.9778,1.5205
112,7.7162,3.3645,1.3182
113,7.7851,5.7476,1.0259
114,7.854,8.0004,1.4852
115,7.9229,11.574,1.1667
116,7.9918,10.9678,1.415
117,8.0607,14.7303,2.3116
118,8.1296,27.5671,3.1436
119,8.1984,36.0781,3.8856
120,8.2673,39.2397,3.2575
121,8.3362,30.8449,3.4546
122,8.4051,21.3144,2.74
123,8.474,17.0933,2.0612
124,8.5429,14.4463,2.2583
125,8.6118,10.2434,1.8823
126,8.6807,8.0431,0.9478
127,8.7496,5.1715,1.3046
128,8.8185,5.7617,1.327
129,8.8874,8.3547,2.2301
130,8.9563,5.7084,1.9803
131,9.0252,6.4146,2.3629
132,9.0941,5.1143,1.958
133,9.163,7.4244,2.2888
134,9.2319,8.5745,1.6688
135,9.3008,6.4143,2.2264
136,9.3697,4.7567,1.3829
137,9.4385,2.0869,1.3708
138,9.5074,1.6786,0.9597
139,9.5763,1.4284,0.9923
140,9.6452,2.6396,1.1217
141,9.7141,3.3391,1.1042
142,9.783,7.1244,1.4224
143,9.8519,13.6946,2.1776
144,9.9208,14.1482,2.661
145,9.9897,10.6626,3.6597
146,10.0586,8.8602,3.9508
147,10.1275,5.8564,3.0029
148,10.1964,5.3667,3.812
149,10.2653,3.7125,2.482
150,10.3342,3.2322,1.6997
151,10.4031,2.7229,1.3842
152,10.472,2.0195,1.0167
153,10.5409,1.3875,1.1212
154,10.6098,2.0911,1.4792
155,10.6786,2.1103,1.5663
156,10.7475,2.2374,1.6939
157,10.8164,2.8722,1.2007
158,10.8853,3.7132,1.3114
159,10.9542,4.3056,1.9086
160,11.0231,5.4015,1.4179
161,11.092,6.2889,1.3014
162,11.1609,7.695,1.4713
163,11.2298,10.903,2.1103
164,11.2987,11.2697,2.1273
165,11.3676,14.2992,2.6125
166,11.4365,20.2981,2.5085
167,11.5054,24.0251,3.0172
168,11.5743,23.5975,3.1262
169,11.6432,15.668,3.4696
170,11.7121,7.7886,2.944
171,11.781,4.8018,2.652
172,11.8499,4.48,2.9145
173,11.9187,4.1696,2.7567
174,11.9876,3.4091,2.1046
175,12.0565,2.9232,2.0125
176,12.1254,2.71,1.5128
177,12.1943,4.0659,2.3465
178,12.2632,2.7697,2.35
179,12.3321,2.5982,2.0171
180,12.401,2.1435,1.3266
181,12.4699,1.5787,2.0746
182,12.5388,1.8815,2.2417
183,12.6077,2.676,2.3227
184,12.6766,4.2928,2.5528
185,12.7455,5.2937,2.3531
186,12.8144,4.6012,2.3847
187,12.8833,6.3673,2.5062
188,12.9522,6.6864,2.3026
189,13.0211,7.8053,2.4888
190,13.09,9.106,2.5836
191,13.1588,7.8979,2.0936
192,13.2277,6.8702,2.5276
193,13.2966,6.7178,1.7485
194,13.3655,6.3454,1.2395
195,13.4344,3.9746,1.2309
196,13.5033,2.9856,1.632
197,13.5722,2.3102,1.638
198,13.6411,2.6847,1.4564
199,13.71,2.6296,0.7265
200,13.7789,4.4222,0.6642
201,13.8478,1.4683,1.213
202,13.9167,2.0007,1.5879
203,13.9856,2.6264,1.173
204,14.0545,1.9434,1.0006
205,14.1234,2.6773,1.0985
206,14.1923,5.0607,1.3854
207,14.2612,6.5912,1.2215
208,14.3301,5.3963,1.8232
209,14.3989,5.4703,2.0183
210,14.4678,5.6787,1.1304
211,14.5367,3.8205,0.8547
212,14.6056,2.4292,0.7793
213,14.6745,1.9457,0.9627
214,14.7434,2.3707,1.1663
215,14.8123,1.7274,1.0981
216,14.8812,1.6953,0.98
217,14.9501,2.7441,0.7463
218,15.019,4.1036,1.0167
219,15.0879,4.9519,1.1324
220,15.1568,4.3791,1.272
221,15.2257,4.7559,1.1323
222,15.2946,8.2973,1.7519
223,15.3635,12.6848,2.4911
224,15.4324,22.2341,3.0509
225,15.5013,25.6865,3.729
226,15.5702,21.2362,3.2467
227,15.6391,9.9679,2.171
228,15.7079,4.6603,2.3381
229,15.7768,2.7781,1.3461
230,15.8457,5.0726,1.9943
231,15.9146,9.6141,3.0692
232,15.9835,18.431,3.4166
233,16.0524,21.6827,3.3676
234,16.1213,20.5079,3.23
235,16.1902,13.3542,2.0901
236,16.2591,7.3048,1.9189
237,16.328,4.7018,1.4538
238,16.3969,4.1659,1.3347
239,16.4658,6.2692,1.9459
240,16.5347,14.1671,2.5379
241,16.6036,19.1347,3.4159
242,16.6725,20.7393,3.6117
243,16.7414,17.3904,2.9715
244,16.8103,15.3286,1.8974
245,16.8792,13.9935,1.8343
246,16.948,13.0882,2.3719
247,17.0169,12.3704,1.6174
248,17.0858,12.1635,1.6429
249,17.1547,15.3261,1.9822
250,17.2236,11.1041,2.6434
251,17.2925,11.2195,2.4351
252,17.3614,10.9771,2.3316
253,17.4303,9.5254,1.5763
254,17.4992,10.1395,1.2412
255,17.5681,10.7101,1.2165
256,17.637,11.7126,1.3903
257,17.7059,10.3231,1.5809
258,17.7748,8.5545,1.8353
259,17.8437,7.5843,1.9178
260,17.9126,8.988,2.0166
261,17.9815,10.5572,2.4033
262,18.0504,9.3429,1.6127
263,18.1193,9.7235,1.9441
264,18.1881,9.7097,2.4726
265,18.257,10.0507,2.2174
266,18.3259,10.4381,2.1906
267,18.3948,10.8778,3.1972
268,18.4637,10.4964,2.7204
269,18.5326,11.1316,1.6551
270,18.6015,12.3932,1.7928
271,18.6704,11.0964,1.9131
272,18.7393,8.0089,2.2582
273,18.8082,6.086,2.4648
274,18.8771,5.0641,1.7225
275,18.946,3.6175,1.3119
276,19.0149,3.1305,1.2123
277,19.0838,2.7946,1.0932
278,19.1527,3.3177,1.4018
279,19.2216,4.5242,1.9723
280,19.2905,5.7363,1.9608
281,19.3594,9.2827,2.3787
282,19.4282,10.3311,3.0953
283,19.4971,9.2487,4.1171
284,19.566,7.9903,3.858
285,19.6349,7.4818,3.1615
286,19.7038,8.423,2.5585
287,19.7727,7.4308,3.2798
288,19.8416,5.0392,3.1728
289,19.9105,4.6602,3.0697
290,19.9794,6.0594,2.764
291,20.0483,7.1116,2.7434
292,20.1172,7.9701,2.6855
293,20.1861,8.2473,1.9682
294,20.255,8.4352,2.1238
295,20.3239,13.9698,2.5567
296,20.3928,20.5034,3.0226
297,20.4617,21.6685,3.7976
298,20.5306,26.979,4.0515
299,20.5995,28.0039,3.3694
300,20.6683,24.1169,3.2535
301,20.7372,23.3545,3.4271
302,20.8061,23.8555,2.8004
303,20.875,26.6428,2.4038
304,20.9439,25.3658,2.1585
305,21.0128,20.0688,1.2283
306,21.0817,11.7644,1.4136
307,21.1506,7.4637,1.2742
308,21.2195,5.9926,1.0306
309,21.2884,4.6745,1.166
310,21.3573,3.558,1.1794
311,21.4262,2.5984,0.7127
312,21.4951,2.8161,0.6234
313,21.564,3.3191,0.3946
314,21.6329,4.9789,0.5194
315,21.7018,4.3428,0.8588
316,21.7707,4.3068,0.7579
317,21.8396,5.1773,0.8241
318,21.9084,6.1136,1.0193
319,21.9773,7.6079,1.31
320,22.0462,11.609,1.9075
321,22.1151,12.6885,2.9234
322,22.184,9.2294,2.1433
323,22.2529,8.577,2.4054
324,22.3218,7.5035,3.2329
325,22.3907,9.381,3.323
326,22.4596,10.7947,3.6253
327,22.5285,11.3566,3.8143
328,22.5974,9.57,3.8656
329,22.6663,8.4848,4.2343
330,22.7352,10.6124,3.1187
331,22.8041,11.8324,3.7616
332,22.873,9.7465,2.8634
333,22.9419,7.2383,2.2171
334,23.0108,3.7258,2.3462
335,23.0797,2.8278,1.3553
336,23.1486,4.1914,1.0728
337,23.2174,5.0056,1.3681
338,23.2863,5.469,1.8569
339,23.3552,6.7292,2.838
340,23.4241,7.1028,3.107
341,23.493,6.5603,3.7343
342,23.5619,8.312,3.5809
343,23.6308,9.3996,3.0655
344,23.6997,12.8458,2.7783
345,23.7686,9.7529,2.6132
346,23.8375,7.4056,2.196
347,23.9064,5.2224,2.2215
348,23.9753,4.3384,2.6997
349,24.0442,2.943,1.8026
350,24.1131,2.7328,2.1899
351,24.182,4.0842,2.6242
352,24.2509,6.1969,3.1068
353,24.3198,5.8965,3.0217
354,24.3887,6.8019,3.012
355,24.4575,5.4364,3.2187
356,24.5264,6.0779,3.4524
357,24.5953,9.1786,3.4707
358,24.6642,9.862,3.8911
359,24.7331,8.2306,3.6159
360,24.802,6.5811,3.6826
361,24.8709,4.9423,2.3829
362,24.9398,3.6318,1.9415
363,25.0087,3.0792,1.9213
364,25.0776,1.8736,2.0972
365,25.1465,2.4567,2.1093
366,25.2154,2.9464,1.9067
367,25.2843,2.7996,2.0569
368,25.3532,3.6731,2.2304
369,25.4221,4.5682,3.4847
370,25.491,2.5187,4.1067
371,25.5599,2.73,4.1757
372,25.6288,4.0132,3.6936
373,25.6976,3.2698,2.4415
374,25.7665,3.0694,1.2254
375,25.8354,3.6578,1.3885
376,25.9043,4.3862,1.2869
377,25.9732,6.6029,1.2106
378,26.0421,8.7645,2.0575
379,26.111,8.5789,3.81
380,26.1799,6.2126,2.5017
381,26.2488,3.2836,2.247
382,26.3177,2.0327,1.6651
383,26.3866,2.652,2.1659
384,26.4555,3.2512,3.6421
385,26.5244,2.7615,4.0689
386,26.5933,3.5043,2.9979
387,26.6622,5.0329,2.6066
388,26.7311,5.5413,3.1474
389,26.8,4.7347,2.6054
390,26.8689,3.127,2.0179
391,26.9377,1.2371,2.0351
392,27.0066,1.8451,1.4106
393,27.0755,1.2408,1.2374
394,27.1444,1.3565,1.4199
395,27.2133,1.1148,1.3991
396,27.2822,1.1334,3.0555
397,27.3511,2.1442,1.8256
398,27.42,2.4379,1.584
399,27.4889,3.5638,1.7939
400,27.5578,3.2731,1.4815
401,27.6267,2.1002,1.7656
402,27.6956,1.8634,1.3035
403,27.7645,0.9922,2.2604
404,27.8334,1.0504,2.119
405,27.9023,1.0696,2.3163
406,27.9712,1.1744,1.993
407,28.0401,0.9958,1.7263
408,28.109,1.2007,1.6553
409,28.1778,2.2066,1.6507
410,28.2467,2.9829,1.0487
411,28.3156,3.6138,0.9387
412,28.3845,1.8023,1.4308
