,condition,sample_num,mean_intensity_0to10,mean_intensity_80to90,lt_over_side_enrichment
0,fat2,1,2.53890942074894,1.8029764550668501,1.4081766922767736
1,fat2,2,2.7420442674587946,2.410486947283416,1.1375478595928674
2,fat2,3,1.9540908660059042,1.5883977847153776,1.2302276449951448
3,fat2,4,1.6254353654959948,1.562496644892346,1.0402808676801896
4,fat2,5,1.8091090227751818,1.6046126770905589,1.1274428082267245
5,fat2,6,1.9924140396049177,2.0587983310772144,0.9677558066420411
6,fat2,7,2.46112016066899,2.8810201034913403,0.8542530326971692
7,fat2,8,1.4453986455072052,1.1646281575037463,1.2410816587203763
8,fat2,9,2.0406145865326732,1.9865175355207327,1.0272321034396306
9,fat2,10,2.408221435184166,2.3649707230909733,1.018288053915807
10,fat2,11,3.4439008950937895,1.855358862022357,1.8561912552808832
11,fat2,12,2.0672084176993613,1.9098053042892569,1.0824184083354416
12,fat2,13,1.56925488323484,1.600993049063469,0.9801759502658711
13,fat2,14,1.9959027606685829,1.9191041271310847,1.0400179606993532
14,fat2,15,1.4270476753951913,1.001057456486751,1.4255402286332985
15,fat2,16,1.233719390379412,1.3665403436247203,0.9028049527663388
16,fat2,17,2.5714991068762423,2.3222826019621063,1.1073153218749396
17,fat2,18,1.7283305431205456,1.5289223815211768,1.1304239927477358
18,fat2,19,0.5644111163789287,1.0830657449384204,0.5211235966206459
19,fat2,20,2.1576645833177213,1.5530296374508972,1.389326083215808
20,wt,1,3.8853390507102388,2.2530075132147744,1.7245122477049892
21,wt,2,3.730699609358755,1.9774090463248166,1.8866605350534724
22,wt,3,3.2608121690892635,1.9784130907956756,1.6481958112083834
23,wt,4,3.9311467347961955,2.5917034220904798,1.5168196720693121
24,wt,5,4.857738936079474,2.888533751389031,1.681731755339018
25,wt,6,5.268331002813247,1.8499616258027871,2.847805559494817
26,wt,7,7.078889092833368,1.825129245947967,3.8785686594795714
27,wt,8,5.095207381785343,2.586592925451537,1.9698528251776926
28,wt,9,6.511195554805871,2.2643708390617374,2.875498766581822
29,wt,10,6.267394339424862,2.2640334051408697,2.768242873622662
30,wt,11,5.2043972821804125,1.807549733651955,2.8792553727777666
31,wt,12,5.89334940740594,1.6054498098155343,3.6708400171557427
32,wt,13,4.418791771803819,2.2032052356913945,2.0056196763789664
33,wt,14,6.681111085823858,2.595349180683172,2.574262891309752
34,wt,15,5.8106435151632745,2.0210029498116047,2.875128666044221
35,wt,16,6.491454567136844,1.5534694356951197,4.178681870385277
36,wt,17,5.63937933418703,1.8741059559800881,3.009103789565539
37,wt,18,4.430015213694218,2.422892035821786,1.8283997587171334
38,wt,19,4.43673116532791,2.7132393578721543,1.6352155413252578
