,condition,sample_num,mean_intensity_0to10,mean_intensity_80to90,lt_over_side_enrichment
0,fat2,14,1.9959027606685829,1.919104127131085,1.040017960699353
1,wt,9,6.511195554805871,2.2643708390617365,2.8754987665818232
