,condition,sample_num,cell_a,cell_b,edge_angle_rad,mean_intensity,mean_int_minus_bkgd,mean_int_no_verts,mean_int_no_verts_minus_bkgd
0,fat2,01,11,5,0.6478114269270985,7.43993993993994,1.9673012620041392,6.62962962962963,1.156990951693829
1,fat2,01,11,7,0.8135032108579039,7.260251046025105,1.7876123680893041,6.818815331010453,1.346176653074652
2,fat2,01,12,5,0.7188299996216245,7.798130841121496,2.325492163185695,6.316582914572864,0.8439442366370633
3,fat2,01,12,8,1.541564889422676,7.5,2.0273613220641993,6.712328767123288,1.2396900891874871
4,fat2,01,13,5,0.05826730296953331,9.172242874845105,3.6996041969093048,8.457983193277311,2.9853445153415104
5,fat2,01,13,11,1.2793395323170293,10.349019607843138,4.876380929907337,9.213973799126638,3.741335121190837
6,fat2,01,13,12,1.1856388204314225,8.155405405405405,2.6827667274696045,7.086181277860327,1.6135425999245259
7,fat2,01,15,7,0.5673633328475177,7.3591370558375635,1.8864983779017628,7.221238938053097,1.7486002601172963
8,fat2,01,15,11,1.4636810034426648,8.0790273556231,2.6063886776873,8.076923076923077,2.604284398987276
9,fat2,01,15,14,1.4259838285559574,5.431413612565445,-0.041225065370356084,5.033980582524272,-0.43865809541152867
10,fat2,01,18,8,0.15586820139832236,9.284818941504179,3.8121802635683784,8.652372262773723,3.179733584837922
11,fat2,01,19,8,0.7853981633974483,11.837719298245615,6.365080620309814,,
12,fat2,01,19,18,1.2336623706176593,8.906569343065694,3.4339306651298935,7.941747572815534,2.4691088948797333
13,fat2,01,20,8,0.2650428598974545,7.623300970873786,2.1506622929379855,7.114285714285714,1.6416470363499132
14,fat2,01,20,12,0.10257985241829459,7.414634146341464,1.941995468405663,6.336996336996337,0.864357659060536
15,fat2,01,20,13,0.9765826229944627,9.653846153846153,4.181207475910353,7.15884476534296,1.6862060874071592
16,fat2,01,20,18,1.3122526042957146,8.780821917808218,3.3081832398724176,7.926062846580407,2.453424168644606
17,fat2,01,21,11,0.5977583915930818,9.339920948616601,3.8672822706808008,8.296482412060302,2.823843734124501
18,fat2,01,21,13,0.5123894603107377,8.988272921108742,3.515634243172941,7.69449081803005,2.2218521400942493
19,fat2,01,22,14,0.9526521008597091,5.7609289617486334,0.2882902838128327,5.32225063938619,-0.15038803854961103
20,fat2,01,22,15,0.707431529565906,6.415032679738562,0.9423940018027617,5.92962962962963,0.45699095169382886
21,fat2,01,23,11,0.5463600244489791,6.4236706689536875,0.9510319910178868,6.209016393442623,0.7363777155068219
22,fat2,01,23,15,0.5434775947130435,6.840104849279161,1.3674661713433602,6.694174757281553,1.2215360793457526
23,fat2,01,23,21,1.4536875822280324,6.5772005772005775,1.1045618992647768,6.258333333333334,0.785694655397533
24,fat2,01,23,22,1.2722973952087173,5.617619493908154,0.14498081597235313,5.181179775280899,-0.2914589026549015
25,fat2,01,24,19,1.5469913006098266,7.368544600938967,1.8959059230031663,7.712890625,2.2402519470641993
26,fat2,01,26,13,0.13640260440094742,10.606382978723405,5.133744300787604,8.48,3.0073613220641997
27,fat2,01,26,20,0.6186443509247471,8.301825993555317,2.8291873156195164,7.8961474036850925,2.4235087257492918
28,fat2,01,26,21,1.371714427902711,7.205194805194806,1.7325561272590049,5.821100917431193,0.348462239495392
29,fat2,01,27,14,0.31099828060554097,6.852201257861635,1.3795625799258344,5.940322580645161,0.46768390270936067
30,fat2,01,27,22,1.479216476652211,7.1977671451355665,1.7251284671997658,7.105945945945946,1.633307268010145
31,fat2,01,29,18,1.0687061277729024,9.327137546468402,3.854498868532601,8.611353711790393,3.1387150338545924
32,fat2,01,29,20,0.19856789225536575,8.486964618249534,3.014325940313733,8.240268456375839,2.767629778440038
33,fat2,01,29,26,1.4141944498128811,8.235294117647058,2.7626554397112573,7.868852459016393,2.3962137810805926
34,fat2,01,31,18,0.6556956262415361,11.425531914893616,5.952893236957816,10.870192307692308,5.397553629756508
35,fat2,01,31,19,0.41342532622864886,9.699194270367055,4.226555592431255,7.8615782664941785,2.3889395885583777
36,fat2,01,32,21,0.43240777557053783,7.8879598662207355,2.415321188284935,6.473484848484849,1.000846170549048
37,fat2,01,32,23,0.6370703292756836,7.066997518610422,1.5943588406746212,6.279569892473118,0.8069312145373173
38,fat2,01,33,19,0.6010737544977491,9.488745980707396,4.016107302771595,9.115942028985508,3.643303351049707
39,fat2,01,33,24,0.6150895730566925,6.414379084967321,0.9417404070315198,5.965753424657534,0.4931147467217336
40,fat2,01,33,31,1.5335001965752295,11.088169642857142,5.615530964921342,10.065140845070422,4.592502167134621
41,fat2,01,34,32,1.173855443298278,9.004291845493562,3.531653167557761,8.74018691588785,3.2675482379520497
42,fat2,01,34,21,0.14444157837464378,8.77016129032258,3.2975226123867794,8.470588235294118,2.997949557358317
43,fat2,01,34,26,0.8396085628721117,7.087565674255692,1.6149269963198911,6.936959208899877,1.464320530964076
44,fat2,01,37,18,0.11379200714370806,10.23448275862069,4.761844080684889,9.878947368421052,4.406308690485251
45,fat2,01,37,29,0.8552432133141892,9.125335720680393,3.6526970427445926,9.02948717948718,3.5568485015513795
46,fat2,01,37,31,1.5642174743418802,8.275100401606426,2.8024617236706257,7.793984962406015,2.3213462844702146
47,fat2,01,38,32,1.1033099650570937,7.403181189488244,1.930542511552443,7.094117647058823,1.6214789691230225
48,fat2,01,38,22,0.9736196687022192,8.351783517835178,2.8791448398993778,7.004237288135593,1.5315986101997927
49,fat2,01,38,23,0.25168997175818675,8.065292096219931,2.5926534182841303,,
50,fat2,01,39,38,1.4940244355251187,8.125119388729704,2.6524807107939035,6.763869132290185,1.291230454354384
51,fat2,01,39,22,0.2825549524695875,10.901538461538461,5.4288997836026605,11.195652173913043,5.723013495977242
52,fat2,01,39,27,0.5926974047350626,7.572877059569075,2.1002383816332744,5.576923076923077,0.10428439898727593
53,fat2,01,40,34,1.0759088843638223,8.374749498997996,2.9021108210621955,7.152439024390244,1.679800346454443
54,fat2,01,40,37,1.3356453570859528,7.335832083958021,1.8631934060222202,6.477064220183486,1.0044255422476853
55,fat2,01,40,26,0.4816636775548613,8.281578947368422,2.808940269432621,7.553191489361702,2.0805528114259015
56,fat2,01,40,29,0.35122047817061597,7.82853982300885,2.355901145073049,7.271453590192644,1.7988149122568435
57,fat2,01,42,39,1.403885536666638,8.663025210084033,3.1903865321482323,8.07308584686775,2.6004471689319493
58,fat2,01,42,27,0.08245723746706603,10.503694581280788,5.0310559033449875,8.807531380753138,3.3348927028173376
59,fat2,01,43,33,0.9907935525872157,8.407650273224045,2.935011595288244,7.535901926444834,2.063263248509033
60,fat2,01,43,31,0.39479111969976133,8.073529411764707,2.600890733828906,7.795620437956204,2.3229817600204035
61,fat2,01,44,33,1.1324597669369387,7.030555555555556,1.5579168776197552,6.123711340206185,0.6510726622703844
62,fat2,01,45,37,0.6162969373960712,8.090909090909092,2.618270412973291,7.355658198614319,1.883019520678518
63,fat2,01,45,43,1.3734007669450157,7.860772357723577,2.388133679787776,7.862559241706161,2.38992056377036
64,fat2,01,45,31,0.07632204874501546,8.222424794895169,2.749786116959368,8.288770053475936,2.8161313755401354
65,fat2,01,46,32,1.1629283588209864,10.274247491638796,4.8016088137029955,7.662835249042145,2.1901965711063447
66,fat2,01,46,34,0.15660187698201522,8.880616174582798,3.407977496646997,8.135011441647597,2.6623727637117964
67,fat2,01,46,40,0.9314104211087237,7.1786600496277915,1.7060213716919908,6.751146788990826,1.2785081110550252
68,fat2,01,49,37,0.07982998571223732,8.785507246376811,3.3128685684410106,9.485714285714286,4.013075607778485
69,fat2,01,49,40,0.9700825434839029,7.634396355353076,2.161757677417275,7.292307692307692,1.8196690143718914
70,fat2,01,49,45,1.4663392033212754,7.132442284325638,1.6598036063898371,6.831325301204819,1.3586866232690182
71,fat2,01,50,32,0.25854372249918195,10.44927536231884,4.976636684383039,9.537037037037036,4.064398359101236
72,fat2,01,50,38,0.7571570861926604,8.206896551724139,2.734257873788338,8.124463519313304,2.651824841377503
73,fat2,01,50,46,1.0623070027152066,13.877300613496933,8.404661935561133,12.922077922077921,7.449439244142121
74,fat2,01,51,33,0.16910122600137711,10.248677248677248,4.776038570741448,9.379310344827585,3.9066716668917847
75,fat2,01,51,43,1.0318198269657501,8.957854406130268,3.4852157281944676,8.627539503386005,3.1549008254502047
76,fat2,01,51,44,1.0262446186388599,6.415127528583993,0.9424888506481919,5.50761421319797,0.03497553526216901
77,fat2,01,52,38,0.43240777557053783,8.117035110533159,2.6443964325973583,7.37962962962963,1.906990951693829
78,fat2,01,52,39,0.7754974968094595,10.071197411003237,4.598558733067436,9.519434628975265,4.046795951039464
79,fat2,01,52,50,1.2268272070715354,8.258510638297873,2.785871960362072,8.216123499142368,2.7434848212065672
80,fat2,01,53,43,0.3337981642508282,7.61441647597254,2.141777798036739,7.481343283582089,2.0087046056462885
81,fat2,01,53,45,0.5543074962015511,7.103664921465969,1.631026243530168,7.109477124183006,1.6368384462472054
