,position (um),Ena intensity,Abi intensity,phal intensity
0,0.0,0.0,2.0,9.0
1,0.07345,0.96,4.56,9.08
2,0.14689,1.6,6.4,8.24
3,0.22034,4.4,7.28,8.96
4,0.29379,5.2,8.92,13.88
5,0.36723,19.0,9.0,16.0
6,0.44068,46.96,15.56,26.24
7,0.51413,64.68,25.8,42.96
8,0.58758,61.56,27.4,60.32
9,0.66102,35.64,24.76,83.52
10,0.73447,29.0,20.0,118.0
11,0.80792,17.44,15.36,125.4
12,0.88136,12.16,10.24,124.32
13,0.95481,16.56,8.12,139.36
14,1.02826,7.2,5.88,155.76
15,1.1017,10.0,7.0,134.0
16,1.17515,3.2,6.68,152.16
17,1.2486,4.56,6.68,172.04
18,1.32204,5.84,7.04,187.08
19,1.39549,2.48,7.0,188.2
20,1.46894,4.0,8.0,218.0
21,1.54239,4.32,4.12,195.72
22,1.61583,6.24,4.32,198.72
23,1.68928,4.4,3.36,189.88
24,1.76273,2.88,4.0,147.48
25,1.83617,6.821e-12,4.0,133.0
26,1.90962,0.32,5.0,110.68
27,1.98307,0.48,4.72,90.72
28,2.05651,1.92,6.56,80.4
29,2.12996,0.28,7.44,61.36
30,2.20341,2.0,7.0,45.0
31,2.27685,3.4,6.32,45.6
32,2.3503,1.76,2.96,33.28
33,2.42375,3.68,4.8,25.28
34,2.4972,2.6,5.08,24.52
35,2.57064,1.592e-12,5.0,24.0
36,2.64409,1.44,3.04,22.28
37,2.71754,1.76,3.88,16.76
38,2.79098,2.32,3.4,10.76
39,2.86443,2.44,3.6,8.08
40,2.93788,9.095e-12,2.0,12.0
