,condition,sample_num,prot_len_mean_um,prot_len_25thQ_um,prot_len_75thQ_um,prot_len_sd_um
0,ck666,01,0.2562338414597814,0.1734278077897208,0.2956038069263248,0.13044698696654325
1,fat2N1032,05,0.5434413760754655,0.23848570720141576,0.6712042199774982,0.4787438837933238
2,w1118,03,0.6594470093567609,0.3049879729904534,0.8109387671828999,0.5848514802224516
