,condition,sample_num,cutoff_condition,cutoff_percentile,cutoff_prot_len_um,prot_hjs,total_hjs,prot_ratio
0,ck666,01,ck666,98,0.6671722874092983,152,7566,0.020089875759978854
1,fat2N1032,05,ck666,98,0.6671722874092983,2136,19151,0.11153464571040676
2,w1118,03,ck666,98,0.6671722874092983,1862,15304,0.1216675378985886
