,condition,sample_num,prot_avg_len_mean_um,prot_avg_len_25thQ_um,prot_avg_len_75thQ_um,prot_avg_len_sd_um
0,ck666,01,0.16854844455421644,0.12193161957358316,0.2028254322397404,0.050883539705288985
1,fat2N1032,05,0.20677819911935288,0.14009975605638858,0.2358164274494804,0.09481217144490797
2,w1118,03,0.22126711077905975,0.1536798091433789,0.2513141618586091,0.09637419574253317
