,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,um2_per_px2,prot_len_um,edge_len_strt_um,edge_len_nonstrt_um,cell_r_area_um2,cell_s_area_um2,t_sec,t_min
0,70.0,"(310, 413)","(312, 411)",2.4792385908269066,-0.7853981633974483,-45.0,35.74239401533084,36.124783736376884,0.7266423406817256,41.6335393365702,"(300.0, 400.0)","(324.0, 427.0)",18.0,11.0,1599.0,3494.0,0,0.08846580217295011,0.007826198154103544,0.21932783071563672,3.195807971562923,3.1619795581478938,12.514090848411566,27.34473635043778,0.0,0.0
1,35.0,"(317, 432)","(320, 433)",2.840382149318853,-1.892546881191539,-108.43494882292202,18.78382631240801,19.981241202688086,2.5882983282675007,148.2985703304943,"(313.5, 443.0)","(324.0, 426.0)",22.0,11.0,1599.0,2837.0,0,0.08846580217295011,0.007826198154103544,0.25127668531722047,1.7676565314070039,1.661726262604542,12.514090848411566,22.202924163191753,0.0,0.0
2,74.0,"(316, 334)","(317, 331)",2.8431163920994567,-0.3217505543966422,-18.43494882292201,42.43363443993843,42.80186911806539,0.9179496956941223,52.59464336859145,"(301.0, 321.0)","(335.0, 347.0)",17.0,12.0,2711.0,2746.0,0,0.08846580217295011,0.007826198154103544,0.2515185722981422,3.7865016860312752,3.7539255098428757,21.216823195774708,21.49074013116833,0.0,0.0
3,48.0,"(330, 369)","(330, 371)",1.55358957106105,3.141592653589793,180.0,35.05045604641933,36.04511062543712,1.9847953294070964,113.7203955723046,"(301.0, 384.0)","(334.0, 369.5)",18.0,12.0,2711.0,3494.0,0,0.08846580217295011,0.007826198154103544,0.13743954765144525,3.188759625892022,3.100766710674215,21.216823195774708,27.34473635043778,0.0,0.0
4,57.0,"(329, 357)","(334, 357)",4.502057613168726,-1.5707963267948966,-90.0,23.571353445693514,24.08318915758459,3.058451421701352,175.2363583092738,"(333.0, 370.0)","(335.0, 346.0)",24.0,12.0,2711.0,2198.0,0,0.08846580217295011,0.007826198154103544,0.3982781381778085,2.1305386477086157,2.0852586908754085,21.216823195774708,17.20198354271959,0.0,0.0
5,66.0,"(345, 287)","(345, 290)",2.3567891723253305,3.141592653589793,180.0,47.630907458969155,48.28301978956991,1.941687615607559,111.25050550713325,"(302.0, 306.0)","(347.0, 288.5)",17.0,14.0,2708.0,2746.0,0,0.08846580217295011,0.007826198154103544,0.2084952446822835,4.271396077016727,4.213706436583259,21.193344601312397,21.49074013116833,0.0,0.0
6,54.0,"(327, 251)","(328, 249)",1.9606425301795758,-0.4636476090008061,-26.56505117707799,38.347755929911315,38.48376280978771,1.1420182993488803,65.4328286793987,"(314.0, 243.0)","(349.0, 259.0)",21.0,14.0,2708.0,2863.0,0,0.08846580217295011,0.007826198154103544,0.17344981420673872,3.4044969476014146,3.3924649898721086,21.193344601312397,22.406405315198445,0.0,0.0
7,39.0,"(346, 282)","(348, 283)",1.958931206649466,-2.0344439357957027,-116.56505117707799,31.018069188200727,31.144823004794873,3.0451188784072065,174.47245984834385,"(346.0, 289.0)","(349.0, 258.0)",26.0,14.0,2708.0,3884.0,0,0.08846580217295011,0.007826198154103544,0.1732984205978701,2.755251750653729,2.7440383725902446,21.193344601312397,30.396953630538164,0.0,0.0
8,64.0,"(345, 528)","(345, 526)",1.5555555555555556,0.0,0.0,49.56879250027446,49.36598018878993,1.4489538897749794,83.01894259317021,"(307.0, 521.0)","(356.0, 527.0)",19.0,15.0,2581.0,2735.0,0,0.08846580217295011,0.007826198154103544,0.1376134700468113,4.367201037455264,4.385142991281294,20.199417435741246,21.40465195147319,0.0,0.0
9,92.0,"(350, 552)","(358, 552)",8.749109631725814,-1.5707963267948966,-90.0,27.185036915545762,26.5,2.5849933355795707,148.1092081981543,"(349.0, 568.5)","(363.0, 546.0)",27.0,15.0,2581.0,2391.0,0,0.08846580217295011,0.007826198154103544,0.7739970018697082,2.344343757583178,2.4049460978350172,20.199417435741246,18.712439786461573,0.0,0.0
