,condition,sample_num,mean_intensity_0to10,mean_intensity_80to90,lt_over_side_enrichment
0,fat2N1032,1,1.4707718225180213,1.3102520718808606,1.1225105871473535
1,fat2N1032,2,1.9104774408482927,1.5884592441395258,1.2027236127693068
2,fat2N1032,3,1.2592591674311695,1.7560884259657554,0.7170818671836777
3,fat2N1032,4,2.333177008670553,3.9889308890555513,0.5849128685262766
4,fat2N1032,5,2.7220559662769426,1.9594279799145635,1.38920950102776
5,fat2N1032,6,1.3093040752741059,0.6788214107439065,1.9287901862719186
6,fat2N1032,7,3.1112951008983942,4.681708715707388,0.664564006397884
7,fat2N1032,8,2.5126784815678698,2.44967630067245,1.0257185738695866
8,fat2N1032,9,5.3529627110263895,4.212950377773752,1.2705971423890954
9,fat2N1032,10,1.809310239236941,4.067724257066777,0.44479667865727673
10,fat2N1032,11,2.9797095161053555,2.6051788153177786,1.1437639130893562
11,fat2N1032,12,2.3766127010479545,3.256960516681333,0.7297026441909693
12,w1118,1,8.987343190571396,4.325153484792043,2.0779246845626136
13,w1118,2,12.91627949536282,5.106246452149689,2.5295056978546677
14,w1118,3,7.33108480321422,5.33882113632635,1.3731654640632427
15,w1118,4,8.849303142989411,2.794528225760813,3.1666536989728136
16,w1118,5,10.64805461592017,7.047429441734787,1.5109132633329434
17,w1118,6,6.735882881469877,3.567847469397133,1.8879402606883453
18,w1118,7,11.879540420323531,7.2550748478678875,1.6374111459118408
19,w1118,8,14.425492637812225,8.846266520719944,1.6306870931397421
20,w1118,9,12.523705905419204,5.7676183916119665,2.1713825456331914
21,w1118,10,10.79862058256681,6.0573164363342515,1.7827400460362752
22,w1118,11,13.0682969195781,4.67711523366484,2.794093424407291
