,position (um),Ecad intensity,Abi intensity
165,11.3676,8.9423,0.8821
166,11.4365,8.3712,1.3737
167,11.5054,8.2109,2.3088
168,11.5743,9.5604,2.399
169,11.6432,10.8276,2.314
170,11.7121,10.4376,2.6684
171,11.781,8.5641,2.2375
172,11.8499,7.9549,1.0005
173,11.9187,6.3804,0.6352
174,11.9876,5.9425,1.3153
175,12.0565,5.8655,1.8626
176,12.1254,5.7157,1.6817
177,12.1943,6.9193,1.9318
178,12.2632,8.4334,2.9519
179,12.3321,7.9696,2.1681
180,12.401,6.2332,1.7654
181,12.4699,7.7052,1.195
182,12.5388,7.5412,1.2345
183,12.6077,8.9684,1.1874
184,12.6766,9.9173,1.1029
185,12.7455,9.8063,1.2192
186,12.8144,11.1191,0.9529
187,12.8833,11.2652,1.0022
188,12.9522,11.4855,0.846
189,13.0211,9.3428,1.0868
190,13.09,11.5508,0.9491
191,13.1588,10.3838,1.2241
192,13.2277,11.9695,0.9993
193,13.2966,11.9093,1.184
194,13.3655,9.7144,1.3428
195,13.4344,10.8598,0.9278
196,13.5033,8.3111,0.7469
197,13.5722,7.9373,1.1286
198,13.6411,7.94,1.0619
199,13.71,6.9864,0.8433
200,13.7789,7.9633,1.1758
201,13.8478,8.7498,1.2063
202,13.9167,8.7813,1.5617
203,13.9856,11.4722,1.6273
204,14.0545,14.1027,1.2559
205,14.1234,13.2127,2.6188
206,14.1923,14.155,2.6987
207,14.2612,14.5476,4.0593
208,14.3301,19.8734,4.9847
209,14.3989,20.0117,6.3718
210,14.4678,24.4372,6.0199
211,14.5367,23.4953,4.9678
212,14.6056,31.063,4.3024
213,14.6745,28.1316,4.0002
214,14.7434,21.3192,3.4416
215,14.8123,15.8744,4.0236
216,14.8812,14.5323,3.9823
217,14.9501,14.7525,3.2563
218,15.019,14.2267,3.0978
219,15.0879,14.2002,3.8265
220,15.1568,11.1547,3.9141
221,15.2257,7.2624,3.532
222,15.2946,5.8952,2.8484
223,15.3635,7.4154,2.3186
224,15.4324,6.4168,2.1824
225,15.5013,7.4043,1.8727
226,15.5702,7.5534,1.6153
227,15.6391,8.6541,1.2691
228,15.7079,10.1031,1.9666
229,15.7768,9.0818,2.0444
230,15.8457,10.274,2.2607
231,15.9146,12.3134,2.0857
232,15.9835,13.0069,3.1934
233,16.0524,13.3549,3.2427
234,16.1213,10.8996,3.1467
235,16.1902,11.2412,3.6516
236,16.2591,12.6593,3.5619
237,16.328,15.7341,3.2721
238,16.3969,16.276,2.4349
239,16.4658,12.954,3.0235
240,16.5347,14.6267,3.1984
241,16.6036,17.1359,3.4132
242,16.6725,13.7436,2.6369
243,16.7414,13.6874,3.1188
244,16.8103,17.0126,4.2472
245,16.8792,17.4642,4.7334
246,16.948,14.1857,4.7759
247,17.0169,12.5341,3.9403
248,17.0858,11.7975,3.4826
249,17.1547,11.994,3.3821
250,17.2236,14.5642,3.2353
251,17.2925,16.092,3.5592
252,17.3614,17.301,3.951
253,17.4303,16.7777,4.9958
254,17.4992,16.6789,7.083
255,17.5681,23.1644,8.2997
256,17.637,26.8463,7.7122
257,17.7059,22.5754,6.7202
