,position (um),Ecad intensity,Abi intensity
0,0.0,19.4898,1.92543
1,0.0689,17.2465,2.25904
2,0.1378,14.3545,1.9305
3,0.2067,12.5247,2.20513
4,0.2756,12.2225,2.47963
5,0.3445,13.0398,3.79346
6,0.4134,12.4538,4.25551
7,0.4823,8.7046,3.10916
8,0.5512,9.578,2.45574
9,0.6201,9.9836,1.63634
10,0.6889,11.1882,1.40825
11,0.7578,11.7413,0.89796
12,0.8267,12.0654,1.16171
13,0.8956,9.2121,1.09707
14,0.9645,8.5082,1.05785
15,1.0334,8.9971,1.27282
16,1.1023,7.9608,1.46685
17,1.1712,7.5964,1.98039
18,1.2401,9.8608,1.71564
19,1.309,8.1784,1.84421
20,1.3779,8.2238,2.3278
21,1.4468,6.4285,2.4991
22,1.5157,6.1735,2.13864
23,1.5846,6.6843,1.32457
24,1.6535,6.1371,1.69042
25,1.7224,6.8241,1.68206
26,1.7913,9.0005,2.40923
27,1.8602,8.0043,2.35873
28,1.929,7.3488,2.42192
29,1.9979,5.8562,2.69374
30,2.0668,4.7079,2.45721
31,2.1357,3.0583,1.61238
32,2.2046,3.3229,0.80649
33,2.2735,3.039,0.57173
34,2.3424,4.2653,0.74907
35,2.4113,4.0775,0.96424
36,2.4802,3.9106,0.93301
37,2.5491,3.2843,0.84722
38,2.618,3.9695,0.76972
39,2.6869,3.3717,0.5162
40,2.7558,5.1998,1.30806
41,2.8247,7.5295,0.98787
42,2.8936,8.1614,1.21866
43,2.9625,10.5412,2.10778
44,3.0314,12.6198,1.92571
45,3.1003,10.9502,2.38913
46,3.1691,8.8431,2.54501
47,3.238,8.4605,3.28307
48,3.3069,10.651,2.75184
49,3.3758,14.2615,2.48788
50,3.4447,12.5475,2.04716
51,3.5136,10.2989,2.2286
52,3.5825,10.2423,1.97967
53,3.6514,10.3178,1.90628
54,3.7203,9.4724,2.18256
55,3.7892,11.3966,1.68306
56,3.8581,12.5636,1.69487
57,3.927,15.418,2.36126
58,3.9959,20.1702,3.3591
59,4.0648,24.0444,4.57367
60,4.1337,22.0449,6.02439
61,4.2026,19.3491,5.84216
62,4.2715,19.6806,4.92211
63,4.3404,16.6305,4.48271
64,4.4092,16.9263,2.96823
65,4.4781,13.4719,2.62197
66,4.547,11.8891,1.89272
67,4.6159,12.8792,1.79514
68,4.6848,9.897,1.78627
69,4.7537,7.1267,1.53205
70,4.8226,10.2321,1.24848
71,4.8915,8.4589,1.44661
72,4.9604,8.0786,1.16971
73,5.0293,7.8326,1.30495
74,5.0982,9.334,1.36737
75,5.1671,8.9472,1.97675
76,5.236,10.1293,2.37027
77,5.3049,10.5698,2.05527
78,5.3738,10.0372,2.14748
79,5.4427,10.4432,2.05332
80,5.5116,10.8353,1.41678
81,5.5805,13.787,1.52613
82,5.6493,13.3625,1.60676
83,5.7182,8.8055,1.78955
84,5.7871,6.9909,1.89971
85,5.856,8.3227,2.16748
86,5.9249,8.4418,2.6532
87,5.9938,9.2295,3.13768
88,6.0627,10.708,2.63206
89,6.1316,12.0952,3.07183
90,6.2005,13.2768,3.02183
91,6.2694,11.067,2.04023
92,6.3383,9.5662,2.52444
93,6.4072,9.7964,1.82211
94,6.4761,9.8938,1.89285
95,6.545,10.2306,2.43574
96,6.6139,12.4541,2.12251
97,6.6828,11.0853,2.67196
98,6.7517,13.482,2.19427
99,6.8206,13.5765,2.38604
100,6.8894,14.507,2.75293
101,6.9583,16.2904,1.81741
102,7.0272,13.0146,1.36661
103,7.0961,14.0988,2.03415
104,7.165,14.3844,2.0585
105,7.2339,12.8933,2.45771
106,7.3028,11.6267,2.71636
107,7.3717,14.1081,2.61614
108,7.4406,15.2468,2.64083
109,7.5095,14.824,2.35226
110,7.5784,10.5665,2.86464
111,7.6473,10.0014,3.61898
112,7.7162,8.9564,3.74002
113,7.7851,8.9149,2.7404
114,7.854,7.7095,2.30499
115,7.9229,5.175,1.36421
116,7.9918,7.6957,1.37956
117,8.0607,5.8754,2.31617
