,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.0279,0.2778,7.639
1,0.06889,1.0401,1.52326,5.182
2,0.13779,0.5449,0.8535,3.078
3,0.20668,1.0244,0.36537,7.02
4,0.27558,0.5694,0.89312,6.115
5,0.34447,1.8377,0.49597,1.001
6,0.41337,0.9918,0.47155,2.984
7,0.48226,0.7689,0.76313,6.091
8,0.55116,6.5489,2.38105,5.576
9,0.62005,17.5807,2.55287,3.431
10,0.68894,22.2593,3.49259,4.33
11,0.75784,32.9613,4.97257,7.907
12,0.82673,33.2138,8.25208,19.871
13,0.89563,17.7194,9.17483,36.285
14,0.96452,8.3672,6.70489,47.98
15,1.03342,6.3095,3.81805,59.65
16,1.10231,5.4829,1.78239,80.668
17,1.17121,5.2485,0.7267,90.46
18,1.2401,3.566,1.17419,95.845
19,1.309,5.1701,1.74798,106.17
20,1.37789,4.994,2.14633,115.725
21,1.44678,5.1645,1.5189,105.037
22,1.51568,3.8549,1.50753,100.856
23,1.58457,5.5205,1.32565,93.689
24,1.65347,7.4615,1.59474,86.027
25,1.72236,6.4861,2.05691,73.568
26,1.79126,4.6058,1.41057,66.186
27,1.86015,4.2043,1.47594,54.9
28,1.92905,2.8644,1.3767,42.579
29,1.99794,2.6445,1.11124,30.884
30,2.06683,3.0036,1.46583,24.189
31,2.13573,2.4021,1.52578,22.746
32,2.20462,1.6081,1.08073,20.642
33,2.27352,0.565,1.1382,16.945
34,2.34241,0.0,1.08189,14.6
35,2.41131,0.1192,0.26424,18.011
36,2.4802,0.1341,0.13407,18.646
37,2.5491,0.0,0.57581,19.441
38,2.61799,0.205,0.63738,18.788
39,2.68689,0.302,0.0,16.138
40,2.75578,0.093,0.58186,14.237
41,2.82467,0.25,1.08334,10.917
