,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,4.5276,1.83331,2.2223
1,0.06889,1.5549,0.57888,2.7356
2,0.13779,3.2988,2.31642,3.1952
3,0.20668,6.8222,2.19122,4.1163
4,0.27558,13.3971,1.49331,5.0444
5,0.34447,32.8499,1.75998,4.89
6,0.41337,47.1144,2.79811,3.9334
7,0.48226,94.7632,5.14492,7.8115
8,0.55116,84.9406,5.59081,15.6988
9,0.62005,56.1086,7.85998,23.7859
10,0.68894,37.4167,8.91556,34.99
11,0.75784,30.6936,7.2588,37.9928
12,0.82673,21.1431,7.4608,42.9232
13,0.89563,14.6839,8.78,56.2632
14,0.96452,11.3036,6.96,59.7232
15,1.03342,7.7667,5.21779,53.1589
16,1.10231,7.6467,4.89292,50.0579
17,1.17121,5.8832,4.19839,44.7233
18,1.2401,4.5182,3.42995,35.8605
19,1.309,1.2648,2.06286,29.399
20,1.37789,1.62,2.38,21.8501
21,1.44678,1.3415,2.57412,14.8017
22,1.51568,1.4327,2.21034,8.4289
23,1.58457,4.2752,1.11881,5.4365
24,1.65347,3.6011,1.95218,5.2284
25,1.72236,1.7778,3.1388,3.6391
