,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,12.0,2.25,7.75
1,0.06889,5.9412,1.67647,7.1176
2,0.13779,6.6471,1.38235,7.5588
3,0.20668,8.6176,1.41176,6.7059
4,0.27558,8.8971,1.88235,6.7941
5,0.34447,14.2353,2.17647,9.9412
6,0.41337,18.2206,2.5,13.9118
7,0.48226,18.2353,2.85294,13.1471
8,0.55116,22.4118,2.86765,12.2941
9,0.62005,26.1471,2.73529,18.7059
10,0.68894,34.8971,2.91176,27.0
11,0.75784,49.7941,5.82353,29.4118
12,0.82673,43.4118,6.57353,31.1324
13,0.89563,26.9118,3.35294,36.7647
14,0.96452,21.5147,3.04412,37.6471
15,1.03342,14.4118,3.88235,35.7353
16,1.10231,7.4853,3.89706,31.2941
17,1.17121,6.0,3.0,33.0
18,1.2401,7.9853,1.52941,33.0
19,1.309,8.4706,2.41176,32.2647
20,1.37789,4.5441,2.36765,29.6618
21,1.44678,4.1765,1.88235,21.5882
22,1.51568,4.7059,2.35294,20.0882
23,1.58457,7.1176,1.08824,19.1471
24,1.65347,7.5,0.60294,15.8088
25,1.72236,3.1765,0.5,11.7941
26,1.79126,2.6618,0.13235,11.6912
27,1.86015,3.5588,0.29412,10.3235
28,1.92905,1.6765,0.66176,8.4559
29,1.99794,0.6765,0.82353,10.4412
30,2.06683,0.5,0.30882,10.4412
31,2.13573,0.0,0.29412,6.9412
32,2.20462,0.5,0.77941,4.4412
33,2.27352,0.7353,1.02941,4.4118
34,2.34241,0.25,0.5,2.5
