,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,2.2223,0.30559,3.6945
1,0.06889,1.8118,0.9263,7.3762
2,0.13779,1.3471,0.66329,7.9898
3,0.20668,5.6801,0.4524,8.2259
4,0.27558,6.554,0.53629,11.882
5,0.34447,13.8699,0.63268,11.625
6,0.41337,13.0851,3.04877,16.0737
7,0.48226,7.3611,1.54167,19.5139
8,0.55116,5.7092,0.14286,23.3622
9,0.62005,3.2254,1.20866,18.1037
10,0.68894,4.356,2.98299,22.271
11,0.75784,1.0867,2.28824,26.3494
12,0.82673,3.7415,0.61168,17.3764
13,0.89563,8.3475,0.41412,22.0899
14,0.96452,5.0,1.0,25.5
15,1.03342,4.5933,1.58588,25.2636
16,1.10231,7.619,0.94672,18.1667
17,1.17121,12.5383,3.05354,26.9795
18,1.2401,5.9433,1.23358,22.559
19,1.309,4.1596,1.94189,15.6883
20,1.37789,3.0153,1.06634,13.7858
21,1.44678,2.0695,0.08334,8.7501
22,1.51568,4.4773,1.3356,5.5182
23,1.58457,2.7934,1.28574,8.0996
24,1.65347,0.2608,0.52891,4.4978
25,1.72236,0.3931,0.5476,3.284
26,1.79126,0.051,0.39798,2.8368
27,1.86015,0.8452,0.26192,3.9929
28,1.92905,1.2778,0.16669,2.0836
