,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.5,2.0,4.5
1,0.06889,1.4128,2.0291,2.0581
2,0.13779,1.6163,2.5,2.0581
3,0.20668,2.5872,3.0,2.5
4,0.27558,2.0,1.5,3.1163
5,0.34447,1.7907,0.5,4.1453
6,0.41337,3.0,0.8256,5.5233
7,0.48226,3.0,1.0,6.093
8,0.55116,3.3953,1.4302,5.1047
9,0.62005,6.9477,2.7151,3.9767
10,0.68894,13.407,3.2558,3.3372
11,0.75784,17.3023,3.5,5.4012
12,0.82673,22.5,4.093,6.5
13,0.89563,28.6686,5.2674,7.7326
14,0.96452,21.686,7.9419,11.2442
15,1.03342,11.7674,10.0523,15.6279
16,1.10231,9.1047,11.6163,26.5814
17,1.17121,8.9826,10.4419,34.343
18,1.2401,7.1628,5.4535,39.2791
19,1.309,4.314,2.5523,42.0058
20,1.37789,4.593,1.0814,35.1977
21,1.44678,5.4477,1.6105,35.9942
22,1.51568,3.2791,1.4186,37.9767
23,1.58457,3.1744,1.3372,34.0233
24,1.65347,2.6977,2.5,29.407
25,1.72236,2.6802,3.0,27.9651
26,1.79126,2.5,1.9884,26.4767
27,1.86015,1.2907,1.4302,18.9302
28,1.92905,0.9302,1.5,13.0349
29,1.99794,0.157,1.0,14.6686
30,2.06683,0.2558,0.8721,19.8605
31,2.13573,0.2965,0.9012,17.1047
32,2.20462,0.4186,1.3605,10.1395
33,2.27352,0.2035,1.4186,9.9593
34,2.34241,0.4884,1.4767,10.4651
35,2.41131,0.5,0.9826,9.4477
36,2.4802,0.186,0.4535,9.314
37,2.5491,0.7267,0.4244,6.3198
38,2.61799,1.1047,0.7907,3.8953
39,2.68689,1.1337,1.4651,4.1337
40,2.75578,0.8372,0.8372,5.1977
41,2.82467,1.0756,0.1919,6.157
42,2.89357,2.0581,0.6628,8.0465
43,2.96246,1.5,1.25,9.25
