,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.0554,1.1111,3.4999
1,0.06889,0.1438,1.4738,2.1764
2,0.13779,0.9706,1.0441,0.5883
3,0.20668,0.5752,1.3758,2.0588
4,0.27558,0.6814,1.4853,1.8202
5,0.34447,2.0882,0.8922,1.3726
6,0.41337,2.3563,1.3187,1.232
7,0.48226,5.0065,1.0817,1.8366
8,0.55116,4.5734,1.4608,1.1716
9,0.62005,5.5982,1.7745,1.1601
10,0.68894,13.9101,2.5474,0.2811
11,0.75784,18.167,2.5491,1.5196
12,0.82673,36.1162,5.8644,1.433
13,0.89563,44.8367,9.5065,4.1634
14,0.96452,45.1811,13.647,10.5639
15,1.03342,29.1504,11.2647,17.5262
16,1.10231,31.9885,11.6993,13.5851
17,1.17121,20.0001,10.3334,16.8334
18,1.2401,15.8074,10.4835,16.9381
19,1.309,15.9313,3.6275,21.422
20,1.37789,7.4512,5.5344,32.691
21,1.44678,7.219,5.7353,29.5853
22,1.51568,3.3431,4.1388,35.6831
23,1.58457,2.2941,3.2058,33.8729
24,1.65347,1.4902,2.0915,38.9966
25,1.72236,1.2746,0.951,33.0691
26,1.79126,4.0931,1.7353,40.5442
27,1.86015,2.2975,1.3301,38.072
28,1.92905,3.9248,2.8219,38.0232
29,1.99794,3.0294,1.3235,41.6862
30,2.06683,1.7419,0.3481,31.0752
31,2.13573,3.5817,1.8366,31.1405
32,2.20462,3.2255,1.1765,30.8677
33,2.27352,4.0393,0.8203,32.9574
34,2.34241,9.1389,0.8333,32.5557
35,2.41131,7.1077,0.0392,36.2254
36,2.4802,3.6732,0.7582,29.057
37,2.5491,7.2287,3.4803,19.6928
38,2.61799,9.7351,0.9951,21.6127
39,2.68689,4.0849,0.7941,20.5785
40,2.75578,0.982,0.3791,22.8428
41,2.82467,1.255,1.1667,13.3923
42,2.89357,4.6306,1.7418,20.784
43,2.96246,0.6863,0.6994,12.7352
44,3.03136,0.0,1.2402,8.1666
45,3.10025,0.2092,0.6274,7.2385
46,3.16915,1.42,0.482,7.6323
47,3.23804,2.5098,0.0,6.6078
48,3.30694,2.0082,0.0866,7.0
49,3.37583,1.9117,0.5686,6.7385
50,3.44472,0.0637,0.7843,5.0098
51,3.51362,0.6667,1.3889,3.3889
52,3.58251,2.1454,0.2386,5.402
53,3.65141,1.0196,1.5686,4.9509
54,3.7203,2.7125,1.5425,1.3415
55,3.7892,3.9052,0.3039,1.1144
56,3.85809,1.6078,0.9363,1.1814
57,3.92699,0.0327,0.3922,2.0261
58,3.99588,0.1651,1.8251,1.6813
59,4.06478,0.7843,1.0098,0.5491
60,4.13367,0.1487,1.2566,1.8464
61,4.20256,0.7026,1.8072,0.2811
62,4.27146,0.0686,0.6617,1.4559
63,4.34035,0.549,0.2092,0.6209
64,4.40925,0.6307,1.3186,0.0
65,4.47814,0.6275,1.0784,0.0588
66,4.54704,1.6666,0.0997,0.5016
67,4.61593,0.0,0.4575,1.0752
68,4.68483,0.0833,0.0833,1.5833
