,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.5,1.0,8.5
1,0.06889,1.0,0.76429,9.0
2,0.13779,0.7786,0.5,9.4429
3,0.20668,1.4143,0.5,6.5357
4,0.27558,2.0786,0.80714,4.0786
5,0.34447,5.1786,0.64286,3.5357
6,0.41337,6.9929,1.50714,5.1643
7,0.48226,5.75,1.5,6.0
8,0.55116,5.1357,1.54286,7.8143
9,0.62005,6.35,2.10714,13.7714
10,0.68894,10.1786,3.0,15.7143
11,0.75784,12.1286,3.22143,15.2214
12,0.82673,9.8429,1.92143,21.7429
13,0.89563,11.9214,1.80714,27.4571
14,0.96452,9.05,2.3,27.15
15,1.03342,3.5714,1.42857,30.8214
16,1.10231,2.5214,0.02143,29.3071
17,1.17121,0.5214,0.5,27.9214
18,1.2401,1.0,0.51429,37.9
19,1.309,0.5214,0.5,31.35
20,1.37789,1.0,1.46429,26.8214
21,1.44678,3.15,1.6,35.65
22,1.51568,3.6143,0.62857,32.1643
23,1.58457,2.6571,1.42143,27.0286
24,1.65347,3.3143,2.31429,26.0857
25,1.72236,5.0357,0.89286,22.25
26,1.79126,3.0143,0.12143,17.9071
27,1.86015,0.0,0.13571,14.6
28,1.92905,0.35,0.0,10.9
29,1.99794,0.3357,0.32857,6.5214
30,2.06683,0.3571,0.71429,5.8571
31,2.13573,0.6929,1.07857,5.4571
32,2.20462,2.7071,1.29286,2.9143
33,2.27352,3.1643,0.83571,0.6643
34,2.34241,1.2071,0.26429,0.7071
35,2.41131,1.0,0.0,0.75
