,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,1.5,0.5,3.0
1,0.06889,1.0366,0.502,2.117
2,0.13779,0.5081,0.2083,2.294
3,0.20668,0.5417,0.4818,2.0326
4,0.27558,0.9352,1.4329,3.2986
5,0.34447,3.252,2.4494,3.9538
6,0.41337,5.1875,2.0,3.5938
7,0.48226,6.5339,1.1885,5.8432
8,0.55116,16.1482,2.0,5.8518
9,0.62005,33.5157,1.7266,2.6797
10,0.68894,47.4323,1.4421,3.1169
11,0.75784,49.0043,4.5401,7.6891
12,0.82673,35.5833,9.5833,13.5625
13,0.89563,21.4672,10.7977,24.7918
14,0.96452,9.1354,9.6424,42.257
15,1.03342,4.8125,8.6106,47.7005
16,1.10231,4.75,4.4074,50.5001
17,1.17121,10.3562,4.74,56.3031
18,1.2401,10.0937,4.8437,50.2658
19,1.309,8.3681,2.5535,58.5717
20,1.37789,9.9004,1.0,53.7963
21,1.44678,5.707,1.7526,52.2733
22,1.51568,1.7419,2.3316,46.7177
23,1.58457,0.8542,0.4365,54.331
24,1.65347,1.3333,1.0,52.6667
25,1.72236,1.5376,0.6736,53.8564
26,1.79126,0.9803,0.0,53.1938
27,1.86015,0.7773,0.1367,46.4375
28,1.92905,0.5949,0.7616,46.111
29,1.99794,0.7014,1.4583,36.9654
30,2.06683,0.0,2.5157,28.1667
31,2.13573,0.0,3.7806,29.46
32,2.20462,0.0,0.8333,25.0647
33,2.27352,0.1862,1.4154,20.2422
34,2.34241,0.9705,2.6985,16.394
35,2.41131,1.5833,1.0376,13.0425
36,2.4802,1.0625,0.625,11.6874
37,2.5491,0.9117,0.1042,8.9973
38,2.61799,0.6117,0.0,13.5457
39,2.68689,1.2526,0.1862,10.4856
40,2.75578,0.1482,0.5185,6.8519
41,2.82467,1.1916,0.1121,9.1427
42,2.89357,1.6458,0.375,4.7604
43,2.96246,1.2312,0.4306,3.2418
44,3.03136,0.5348,1.0509,1.8982
45,3.10025,2.3593,0.9375,2.461
46,3.16915,0.6273,0.7917,4.941
47,3.23804,1.2519,0.6458,5.9881
48,3.30694,1.25,0.5833,4.9166
