,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.25,3.25,2.0
1,0.06889,2.0306,2.2551,2.5102
2,0.13779,2.0408,1.7602,1.0
3,0.20668,1.0,2.0,1.0
4,0.27558,1.5408,1.5,3.0408
5,0.34447,1.051,1.22449,3.3265
6,0.41337,2.3776,1.65816,2.0612
7,0.48226,2.7143,1.35714,2.2143
8,0.55116,2.6276,0.91837,3.0816
9,0.62005,6.6122,0.90816,2.3878
10,0.68894,12.7041,1.59694,4.1888
11,0.75784,12.1939,2.41837,4.4388
12,0.82673,12.8878,1.55612,2.7551
13,0.89563,16.6531,1.13265,3.9184
14,0.96452,21.1071,2.96429,3.6786
15,1.03342,25.3163,3.32653,3.6327
16,1.10231,19.8929,3.67347,4.6582
17,1.17121,15.0918,4.66327,10.5204
18,1.2401,9.9235,4.0,15.4439
19,1.309,6.4592,2.95918,18.7041
20,1.37789,5.852,1.94388,23.3163
21,1.44678,7.0714,2.78571,28.6429
22,1.51568,7.5867,3.5,27.5357
23,1.58457,4.5714,2.89796,23.7959
24,1.65347,5.352,2.38265,23.0408
25,1.72236,5.5102,2.37755,22.9694
26,1.79126,3.2347,2.88265,25.1735
27,1.86015,5.8878,1.88776,27.1633
28,1.92905,6.1071,0.39286,25.9643
29,1.99794,2.9082,0.5,22.4286
30,2.06683,2.3061,1.40306,22.148
31,2.13573,2.0408,1.90816,24.6837
32,2.20462,1.2398,1.91327,22.5867
33,2.27352,0.0,2.17347,16.3061
34,2.34241,0.4235,1.34694,16.8827
35,2.41131,0.5714,0.14286,17.3571
36,2.4802,1.4337,0.5,14.8673
37,2.5491,1.3163,0.93878,15.9388
38,2.61799,1.5,1.44388,13.6633
39,2.68689,1.7551,1.89796,7.2959
40,2.75578,0.2296,3.77041,8.3163
41,2.82467,0.9184,3.37755,11.1224
42,2.89357,1.3929,1.03571,5.8571
43,2.96246,0.5,1.09184,2.3061
44,3.03136,0.0255,0.57653,5.0765
45,3.10025,0.0,0.5,5.4592
46,3.16915,1.4694,1.5,4.0153
47,3.23804,1.4898,1.0,4.9592
48,3.30694,1.0102,0.5,2.9847
49,3.37583,1.0,0.5,0.5
