,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,0.0,0.0,3.0
1,0.06889,0.4725,0.0,5.5977
2,0.13779,1.2951,0.00584,5.1373
3,0.20668,1.2148,0.39057,5.1555
4,0.27558,1.6928,0.0,3.2213
5,0.34447,0.4329,0.0,1.3923
6,0.41337,3.8444,0.0,3.344
7,0.48226,11.6254,0.0473,1.803
8,0.55116,17.9974,1.02484,2.0022
9,0.62005,39.8635,1.60062,3.6984
10,0.68894,39.6359,5.13842,8.9584
11,0.75784,36.2305,6.60414,12.3279
12,0.82673,25.7491,4.83199,12.5774
13,0.89563,19.1167,3.92819,23.7506
14,0.96452,5.3663,2.7973,37.2487
15,1.03342,7.4731,0.32834,43.365
16,1.10231,3.9606,2.68006,39.6735
17,1.17121,9.4837,0.17211,49.2493
18,1.2401,8.0672,0.82286,52.5855
19,1.309,14.3396,0.49941,45.9976
20,1.37789,18.9164,0.97626,47.5051
21,1.44678,15.3323,0.8797,46.2136
22,1.51568,5.9266,1.30168,51.7202
23,1.58457,0.7957,0.32008,37.0689
24,1.65347,3.0383,0.79474,26.8729
25,1.72236,1.1913,1.5504,25.6008
26,1.79126,1.9978,1.3298,12.3152
27,1.86015,2.3413,1.96119,12.544
28,1.92905,1.3583,0.89518,15.7089
29,1.99794,1.2838,0.48767,17.5662
30,2.06683,0.7107,0.49196,10.1771
31,2.13573,1.4725,0.64212,6.4629
32,2.20462,1.511,1.0,4.4785
33,2.27352,1.2066,0.91413,3.9259
34,2.34241,1.0409,0.58035,2.7429
35,2.41131,0.0,0.24247,2.3129
36,2.4802,0.3813,0.06903,7.4803
37,2.5491,1.5,0.25,5.5625
