,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,3.1111,0.8611,5.1111
1,0.06889,3.2075,0.27165,6.3841
2,0.13779,2.414,1.08257,5.9138
3,0.20668,11.1337,1.65011,4.8505
4,0.27558,16.8763,0.17651,6.4774
5,0.34447,17.8031,0.32338,5.8479
6,0.41337,32.0393,1.66546,5.9303
7,0.48226,64.0591,4.44812,7.052
8,0.55116,91.0995,6.72571,11.0147
9,0.62005,89.2242,8.72301,16.1418
10,0.68894,59.8496,7.38237,25.4777
11,0.75784,38.6208,4.53418,33.7902
12,0.82673,12.6263,1.86307,33.608
13,0.89563,1.8824,2.96711,37.7907
14,0.96452,3.6305,1.1961,33.4832
15,1.03342,4.5076,1.32505,24.8951
16,1.10231,6.2854,0.09947,28.1461
17,1.17121,4.2778,0.88892,14.1111
18,1.2401,8.1921,1.72586,15.0992
19,1.309,7.3356,1.26647,17.3945
20,1.37789,5.2885,3.10449,16.9969
21,1.44678,2.1439,1.79355,14.3922
22,1.51568,0.4905,0.71885,15.5822
23,1.58457,1.2342,0.56498,16.7757
24,1.65347,2.2134,0.7202,13.2593
25,1.72236,2.218,0.19031,8.5813
26,1.79126,6.3972,0.0,9.5908
27,1.86015,6.8623,0.0,7.6757
28,1.92905,2.1998,0.0,5.6133
29,1.99794,2.2601,0.53941,5.5631
30,2.06683,2.9357,0.81805,4.4815
31,2.13573,1.0588,1.11938,4.6073
32,2.20462,0.0,1.25749,4.9236
33,2.27352,0.5094,0.99058,2.7445
34,2.34241,1.0,0.75,2.75
